,kcat,data_type,MW,kcat_MW
3HAD60_num1,8.881378260869566,Other_species,38093.82800000001,839.3213131305794
3HAD80_num1,8.881378260869566,Other_species,38093.82800000001,839.3213131305794
3NTD2pp,27.41375,Other_species,211548.026100001,466.51108885009603
3NTD4pp_num1,27.41375,Other_species,211548.026100001,466.51108885009603
3NTD7pp_num1,27.41375,Other_species,211548.026100001,466.51108885009603
3NTD9pp,27.41375,Other_species,211548.026100001,466.51108885009603
3OAR100,25.627636363636363,Other_species,102180.06919999993,902.9108282213903
3OAR120,25.627636363636363,Other_species,102180.06919999993,902.9108282213903
3OAR121,25.627636363636363,Other_species,102180.06919999993,902.9108282213903
3OAR140,25.627636363636363,Other_species,102180.06919999993,902.9108282213903
3OAR141,25.627636363636363,Other_species,102180.06919999993,902.9108282213903
3OAR160,25.627636363636363,Other_species,102180.06919999993,902.9108282213903
3OAR161,25.627636363636363,Other_species,102180.06919999993,902.9108282213903
23CAMPtex_num1,5079.242028470532,fill,116286.33299999998,157243.51117421442
23CCMPtex_num1,5079.242028470532,fill,116286.33299999998,157243.51117421442
23CGMPtex_num1,5079.242028470532,fill,116286.33299999998,157243.51117421442
23CUMPtex_num1,5079.242028470532,fill,116286.33299999998,157243.51117421442
3OAR180,25.627636363636363,Other_species,102180.06919999993,902.9108282213903
23DAPPAtex_num1,5079.242028470532,fill,116286.33299999998,157243.51117421442
12PPDRtex_num1,5079.242028470532,fill,116286.33299999998,157243.51117421442
12PPDRtpp,5079.242028470532,fill,83230.72649999998,219693.76060286968
12PPDStex_num1,5079.242028470532,fill,116286.33299999998,157243.51117421442
12PPDStpp,5079.242028470532,fill,83230.72649999998,219693.76060286968
23PDE2pp,10.12,Other_species,211548.026100001,172.2162133660288
23PDE4pp,10.12,Other_species,211548.026100001,172.2162133660288
23PDE7pp,10.12,Other_species,211548.026100001,172.2162133660288
23PDE9pp,10.12,Other_species,211548.026100001,172.2162133660288
26DAHtex_num1,5079.242028470532,fill,116286.33299999998,157243.51117421442
2AGPA120tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
2AGPA140tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
2AGPA141tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
2AGPA160tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
2AGPA161tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
2AGPA180tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
2AGPA181tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
14GLUCANabcpp,5079.242028470532,fill,173170.5883000001,105591.09073889948
2AGPE120tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
3OAR181,25.627636363636363,Other_species,102180.06919999993,902.9108282213903
2AGPE140tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
2AGPE141tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
3OAR40,25.627636363636363,Other_species,102180.06919999993,902.9108282213903
2AGPE160tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
3OAR60,25.627636363636363,Other_species,102180.06919999993,902.9108282213903
2AGPE161tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
2AGPE180tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
2AGPE181tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
2AGPEAT120,5079.242028470532,fill,161015.7380000008,113562.01281699448
ABUTtex_num1,5079.242028470532,fill,116286.33299999998,157243.51117421442
ACACtex_num1,5079.242028470532,fill,116286.33299999998,157243.51117421442
ACALD_num1,8.8213,Other_species,192428.4416000013,165.0311135711021
ACALDtex_num1,5079.242028470532,fill,116286.33299999998,157243.51117421442
ACALDtpp,5079.242028470532,fill,11531.941899999993,1585619.4438938275
2AGPEAT140,5079.242028470532,fill,161015.7380000008,113562.01281699448
3OAR80,25.627636363636363,Other_species,102180.06919999993,902.9108282213903
2AGPEAT141,5079.242028470532,fill,161015.7380000008,113562.01281699448
ACBIPGT,2.1918333333333333,Other_species,59705.11589999998,132.1595290630698
ACCOAC,10.213722222222222,Other_species,134507.57069999998,273.3630516754252
2AGPEAT161,5079.242028470532,fill,161015.7380000008,113562.01281699448
ACCOAL_num1,100.15042352941177,Other_species,138666.26740000033,2600.0665588398288
2AGPEAT181,5079.242028470532,fill,161015.7380000008,113562.01281699448
2AGPG120tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
ACGAL1Ptex_num1,5079.242028470532,fill,116286.33299999998,157243.51117421442
ACGALtex_num1,5079.242028470532,fill,116286.33299999998,157243.51117421442
2AGPG140tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
2AGPG141tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
2AGPG160tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
ACGAM1Ptex_num1,5079.242028470532,fill,116286.33299999998,157243.51117421442
ACGAMK,27.328875,Other_species,66118.50940000004,1487.994071445294
ACGAMT,5079.242028470532,fill,82172.22420000008,222523.74790280894
2AGPG161tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
2AGPG180tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
2AGPG181tipp,5079.242028470532,fill,83170.03540000002,219854.07622531697
ACGAptspp_num1,5079.242028470532,fill,204598.58340000053,89371.44626629839
ACGAtex_num1,5079.242028470532,fill,116286.33299999998,157243.51117421442
2AGPGAT120,5079.242028470532,fill,161015.7380000008,113562.01281699448
ACGK,63.46666666666667,Other_species,54014.02299999999,4230.012639495489
2AGPGAT140,5079.242028470532,fill,161015.7380000008,113562.01281699448
3OAS121,0.17085714285714285,Other_species,84745.12760000012,7.258065822839274
2AGPGAT141,5079.242028470532,fill,161015.7380000008,113562.01281699448
2AGPGAT160,5079.242028470532,fill,161015.7380000008,113562.01281699448
ACGS,2.1999998,Other_species,295667.38680000027,26.78685453176939
ACHBS_num1,64.40225,Other_species,71261.07220000011,3253.50282899616
ACKr_num1,635.9473684210526,Other_species,87434.76999999999,26184.211685074366
ACLS_num1,64.40225,Other_species,71261.07220000011,3253.50282899616
2AGPGAT161,5079.242028470532,fill,161015.7380000008,113562.01281699448
2AGPGAT180,5079.242028470532,fill,161015.7380000008,113562.01281699448
