metname,inchikey
apg161,NA
mn2,WAEMQWOKJMHJLA-UHFFFAOYSA-N
q8h2,LOJUQFSPYHMHEO-SGHXUWJISA-N
cdpglc,NA
but2eACP,NA
pmcoa,LYCRXMTYUZDUGA-UYRKPTJQSA-I
1tdecg3p,FAZBDRGXCKPVJU-MRXNPFEDSA-L
2ins,VYEGBDHSGHXOGT-HYFGLKJPSA-N
acmum,MNLRQHMNZILYPY-MKFCKLDKSA-M
tsul,DHCDFWKWKRSZHF-UHFFFAOYSA-M
ca2,BHPQYMZQTOCNFJ-UHFFFAOYSA-N
orot5p,KYOBSHFOBAOFBF-XVFCMESISA-K
2p4c2me,HTJXTKBIUVFUAR-XHIBXCGHSA-J
frmd,ZHNUHDYFZUAESO-UHFFFAOYSA-N
4ampm,SSWDVESQMBHOQT-UHFFFAOYSA-N
imp,GRSZFWQUAKGDAV-KQYNXXCUSA-L
mmcoa__R,MZFOKIKEPGUZEN-AGCMQPJKSA-I
24dhhed,APNIDHDQYISZAE-HYXAFXHYSA-L
cyst__L,ILRYLPWNYFXEMH-WHFBIAKZSA-N
1agpg161,NA
gly,DHMQDGOQFOQNFH-UHFFFAOYSA-N
trnaleu,NA
3hcpalm9eACP,NA
codscl7,GPKQHTAVLDBECX-HDPLZVLRSA-F
ac,QTBSBXVTEAMEQO-UHFFFAOYSA-M
rml1p,KNYGWWDTPGSEPD-OTWZMJIISA-L
3ump,FOGRQMPFHUHIGU-XVFCMESISA-L
pgp180,UZNYMWWMHBZMLI-IOLBBIBUSA-K
no,MWUXSHHQAYIFBG-UHFFFAOYSA-N
kdo2lipid4L,JVUUYJGQIVCMIU-ZODGSCPMSA-H
ps141,NA
codscl8x,DPVDDBUQBNNVPO-WTEINHRPSA-F
r1p,YXJDFQJKERBOBM-TXICZTDVSA-L
hcys__L,FFFHZYDWPBMWHY-UHFFFAOYSA-N
udcdp10Oag,NA
dgdp,CIKGWCTVFSRMJU-KVQBGUIXSA-K
23dhba,ULPVJDOMCRTJSN-RVXWVPLUSA-M
glyc2p,DHCLVCXQIBBOPH-UHFFFAOYSA-L
3c3hmp,BITYXLXUCSKTJS-ZETCQYMHSA-L
ppp9,KSFOVUSSGSKXFI-UJJXFSCMSA-L
gdpfuc,LQEBEXMHBLQMDB-JGQUBWHWSA-L
5cmhmsa,NLXIEJRQAIHYPN-IOBHVTPZSA-L
LalaDgluMdap,NA
cit,KRKNYBCHXYNGOX-UHFFFAOYSA-K
cpg180,ACOSNNHXZDLJJE-UHFFFAOYSA-M
udcdp16Oag,NA
1odec11eg3p,NA
trnamet,NA
hhlipa,HHPCMWTVGVTYIC-CFEULOSXSA-H
udcdp7Oag,NA
ctp,PCDQPRRSZKQHHS-XVFCMESISA-J
pa120,NA
tdec2eACP,NA
3hcinnm,KKSDGJDHHZEWEP-SNAWJCMRSA-M
3gmp,ZDPUTNZENXVHJC-UUOKFMHZSA-L
dpcoa,KDTSHFARGAKYJN-IBOSZNHHSA-L
2ddecg3p,NA
acg5sa,BCPSFKBPHHBDAI-LURJTMIESA-M
trnahis,NA
lac__L,JVTAAEKCZFNVCJ-REOHCLBHSA-M
athr__L,AYFVYJQAPQTCCC-HRFVKAFMSA-N
cdp4dh6doglc,PUBYMNIINUUJLL-JOCQNMFKSA-L
oc2coa,CPSDNAXXKWVYIY-NTLMCJQISA-J
xdp,YMOPVQQBWLGDOD-UUOKFMHZSA-K
3oddcoa,HQANBZHVWIDNQZ-GMHMEAMDSA-J
ps2_ST,NA
dsbdox,NA
octeACP,NA
h2o2,MHAJPDPJQMAIIY-UHFFFAOYSA-N
adp,XTWYTFMLZFPYCI-KQYNXXCUSA-K
anhgm3p,ZWZMFRJKRXDGBE-UHFFFAOYSA-L
eca4und,CVYQIROAIKSYLV-HBQGRVRBSA-H
clpn180,NA
ap5a,OIMACDRJUANHTJ-XPWFQUROSA-I
1agpg181,FQQQKGAFQIIGLQ-SNZQZGEVSA-M
3hcmrs7eACP,NA
td2coa,MBCVYCOKMMMWLX-YYMFEJJQSA-J
glyclt,AEMRFAOFKBGASW-UHFFFAOYSA-M
trnagln,NA
3hmrsACP,NA
hxan,FDGQSTZJBFJUBT-UHFFFAOYSA-N
pant__R,OTOIIPJYVQJATP-BYPYZUCNSA-M
3ohexACP,NA
tmrs2eACP,NA
malcoa,LTYOQGRJFJAKNA-DVVLENMVSA-I
malt6p,ITPHOIFCAFNCLL-ASMJPISFSA-L
so4,QAOWNCQODCNURD-UHFFFAOYSA-L
dtdp4d6dm,PSXWNITXWWECNY-LPVGZGSHSA-L
glyc,PEDCQBHIVMGVHV-UHFFFAOYSA-N
3hbcoa,QHHKKMYHDBRONY-VKBDFPRVSA-J
asntrna,NA
ttdcea,NA
ahdt,DGGUVLXVLHAAGT-XINAWCOVSA-J
man1p,HXXFSFRBOHSIMQ-RWOPYEJCSA-L
ps161,NA
seln,SPVXKVOXSXTJOY-UHFFFAOYSA-M
pacald,DTUQWGWMVIHBKE-UHFFFAOYSA-N
mercppyr,OJOLFAIGOXZBCI-UHFFFAOYSA-M
ggagicolipa,WLEFLXRCTUWFSD-CCRRCLIHSA-C
etha,HZAXFHJVJLSVMW-UHFFFAOYSA-O
sl26da,GLXUWZBUPATPBR-BQBZGAKWSA-L
amet,MEFKEPWMEQBLKI-AIRLBKTGSA-O
