metname,inchikey,Canonical_SMILES
apg161,NA,noinchikey_inpubchem
mn2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,[Mn+2]
q8h2,LOJUQFSPYHMHEO-SGHXUWJISA-N,CC1=C(C(=C(C(=C1O)OC)OC)O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
cdpglc,NA,noinchikey_inpubchem
but2eACP,NA,noinchikey_inpubchem
pmcoa,LYCRXMTYUZDUGA-UYRKPTJQSA-I,CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)[O-])O
1tdecg3p,FAZBDRGXCKPVJU-MRXNPFEDSA-L,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])[O-])O
2ins,VYEGBDHSGHXOGT-HYFGLKJPSA-N,noinchikey_inpubchem
acmum,MNLRQHMNZILYPY-MKFCKLDKSA-M,CC(C(=O)[O-])OC1C(C(OC(C1O)CO)O)NC(=O)C
tsul,DHCDFWKWKRSZHF-UHFFFAOYSA-M,OS(=O)(=S)[O-]
ca2,BHPQYMZQTOCNFJ-UHFFFAOYSA-N,[Ca+2]
orot5p,KYOBSHFOBAOFBF-XVFCMESISA-K,C1=C(N(C(=O)NC1=O)C2C(C(C(O2)COP(=O)([O-])[O-])O)O)C(=O)[O-]
2p4c2me,HTJXTKBIUVFUAR-XHIBXCGHSA-J,CC(CO)(C(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)OP(=O)([O-])[O-]
frmd,ZHNUHDYFZUAESO-UHFFFAOYSA-N,C(=O)N
4ampm,SSWDVESQMBHOQT-UHFFFAOYSA-N,noinchikey_inpubchem
imp,GRSZFWQUAKGDAV-KQYNXXCUSA-L,C1=NC(=O)C2=C(N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])[O-])O)O
mmcoa__R,MZFOKIKEPGUZEN-AGCMQPJKSA-I,CC(C(=O)[O-])C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
24dhhed,APNIDHDQYISZAE-HYXAFXHYSA-L,C(CC(=O)[O-])C(C=C(C(=O)[O-])O)O
cyst__L,ILRYLPWNYFXEMH-WHFBIAKZSA-N,C(CSCC(C(=O)O)N)C(C(=O)O)N
1agpg161,NA,noinchikey_inpubchem
gly,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C(C(=O)O)N
trnaleu,NA,noinchikey_inpubchem
3hcpalm9eACP,NA,noinchikey_inpubchem
codscl7,GPKQHTAVLDBECX-HDPLZVLRSA-F,CC1C2=NC(CC3=C(C(C(=CC4=NC(C5C(C(C1=N5)(C)CCC(=O)[O-])CC(=O)[O-])(C(C4CCC(=O)[O-])(C)CC(=O)[O-])C)[N-]3)(C)CC(=O)[O-])CCC(=O)[O-])(C(=C2CCC(=O)[O-])C)C.[Co+2]
ac,QTBSBXVTEAMEQO-UHFFFAOYSA-M,CC(=O)[O-]
rml1p,KNYGWWDTPGSEPD-OTWZMJIISA-L,CC(C(C(C(=O)COP(=O)([O-])[O-])O)O)O
3ump,FOGRQMPFHUHIGU-XVFCMESISA-L,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)OP(=O)([O-])[O-])O
pgp180,UZNYMWWMHBZMLI-IOLBBIBUSA-K,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(COP(=O)([O-])[O-])O)OC(=O)CCCCCCCCCCCCCCCCC
no,MWUXSHHQAYIFBG-UHFFFAOYSA-N,[N]=O
kdo2lipid4L,JVUUYJGQIVCMIU-ZODGSCPMSA-H,CCCCCCCCCCCC(CC(=O)NC1C(C(C(OC1OP(=O)([O-])[O-])COC2C(C(C(C(O2)COC3(CC(C(C(O3)C(CO)O)O)OC4(CC(C(C(O4)C(CO)O)O)O)C(=O)[O-])C(=O)[O-])OP(=O)([O-])[O-])OC(=O)CC(CCCCCCCCCCC)O)NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)O)OC(=O)CC(CCCCCCCCCCC)O)O
ps141,NA,noinchikey_inpubchem
codscl8x,DPVDDBUQBNNVPO-WTEINHRPSA-F,CC1C2=NC(CC3=C(C(C(=N3)C(=C4C(C(C([N-]4)(C5C(C(C1=N5)(C)CCC(=O)[O-])CC(=O)[O-])C)(C)CC(=O)[O-])CCC(=O)[O-])C)(C)CC(=O)[O-])CCC(=O)[O-])(C(=C2CCC(=O)[O-])C)C.[Co+2]
r1p,YXJDFQJKERBOBM-TXICZTDVSA-L,C(C1C(C(C(O1)OP(=O)([O-])[O-])O)O)O
hcys__L,FFFHZYDWPBMWHY-UHFFFAOYSA-N,C(CS)C(C(=O)O)N
udcdp10Oag,NA,noinchikey_inpubchem
dgdp,CIKGWCTVFSRMJU-KVQBGUIXSA-K,C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)COP(=O)([O-])OP(=O)([O-])[O-])O
23dhba,ULPVJDOMCRTJSN-RVXWVPLUSA-M,C1=CC(=C(C(=C1)O)O)C(=O)OP(=O)([O-])OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O
