reactions,data_type,kcat,MW,kcat_MW
ACHBS_num1,DLkcat,18584.6847,11037.608499999991,938869.7482999685
ACLS_num1,DLkcat,17122.8231,11037.608499999991,865018.7438521294
TKT1_num1,DLkcat,16151.0204,72132.73160000039,403032.52178515645
PUNP5_reverse,DLkcat,8527.2856,25977.67909999999,590857.7906792299
NNATr_reverse,DLkcat,6087.227,24393.446600000017,449178.3707186335
URDGLYCD,DLkcat,1791.6245,38043.0169,84770.46151405516
TYRt2rpp_num1,DLkcat,1638.425,42763.48270000007,68964.565414126
THRt4pp,DLkcat,1638.425,43412.05630000008,67934.23881190337
MTRPOX,DLkcat,1432.0004,40663.37730000005,126777.50305801562
MLTP3_reverse,DLkcat,1362.5164,90184.88960000056,27194.46163185174
PSSA180,DLkcat,1283.0895,52732.99629999995,87594.53329224163
PFL_num2,DLkcat,968.5665,85863.41940000044,17173.05442412136
SGSAD,DLkcat,968.5665,53016.68160000012,16442.18053058979
LEUabcpp_num1,DLkcat,736.8054,26281.9294,6264.623819729975
HPYRRx_num2,DLkcat,710.5647,35254.15980000003,36279.87355977206
OAP12pp,DLkcat,671.6871,47460.6900000001,12737.2440223688
DHPPDA2,DLkcat,631.9652,39730.02330000003,57263.36233988561
FDH4pp_num2,DLkcat,549.7317,32313.43790000003,5794.8232073696
CBPS,DLkcat,513.8044,118137.5236000006,11575.916585633664
CLPNS160pp_reverse_num2,DLkcat,496.0855,47301.621200000016,37755.74186873746
PUNP1_reverse,DLkcat,479.6686,25977.67909999999,33236.35944059377
UDCPDP_num2,DLkcat,454.8219,23140.1374,70758.3888417188
LPLIPAL2ATG181,DLkcat,434.3188,38923.65820000003,20084.798709901308
TRDR_num1,DLkcat,419.9795,11806.481899999984,12967.524994735026
MALTabcpp,DLkcat,405.2867,56966.748100000026,8425.403726598064
ACGAptspp_num1,DLkcat,382.5784,18246.846600000008,
4HOXPACMON_num2,DLkcat,380.1709,58930.24370000009,11612.163416184872
DMSOR2pp_num3,DLkcat,376.3684,28659.04110000002,2962.182130541626
GLYCL,DLkcat,361.6352,50638.87150000004,5014.565070101875
GLCNt2rpp_num2,DLkcat,361.6352,45885.49190000006,14186.256549643727
TMDPP_reverse,DLkcat,355.9707,47001.25530000012,13632.556320256374
APRAUR,DLkcat,351.2945,39730.02330000003,31831.348057628733
GLNabcpp,DLkcat,344.7629,26701.6727,15855.73609058444
F6PA_reverse,DLkcat,333.911,23524.9232,5109.813068380176
GLCP2_num2,DLkcat,311.1031,93341.79710000045,5999.301464059741
GLYCLTDx_num1,DLkcat,311.1031,35254.15980000003,15884.24126902606
