,kcat,data_type,MW,kcat_MW
ASPCT,97.48194416666666,Other_species,242049.46920000028,1449.8482486240443
ASPK,38.15484090909091,Other_species,50968.25460000005,2694.9603895740847
ASPTA,215.27663636363636,Other_species,41519.35050000003,18665.89630078848
ASPTRS,53.05801282051282,Other_species,101590.81060000003,1880.178384498943
ATGH_num1,344421.74764432514,fill,43426.21140000004,28552301.74464562
ATIH_num1,344421.74764432514,fill,43426.21140000004,28552301.74464562
ATPPRT,0.986125,Other_species,62922.584000000046,56.41932950496752
ATPS1_num1,31.35,Other_species,89195.82330000057,1265.3058834426306
ATPS4r_num1,107.38777777777777,Other_species,164619.46360000005,2348.4221825638356
ATRZCH,3.464545454545455,Other_species,187877.34600000022,66.38567076822355
ATSH_num1,344421.74764432514,fill,43426.21140000004,28552301.74464562
ACS2,16.3828,Other_species,63550.79710000011,928.0462667871068
BACCL,81000.15677,Other_species,36223.68280000004,8049997.73164974
BLAT,344421.74764432514,fill,37051.5413,33464688.59365833
BRFAPS,344421.74764432514,fill,34335.87830000004,36111448.22585095
ACYP,1304.6818181818182,Other_species,10307.665799999992,455666.16502589267
BTS3r,168.81702745,Other_species,80016.98720000006,7595.153480359975
ACYP_2,1304.6818181818182,Other_species,10307.665799999992,455666.16502589267
ABTA,8.732202934090909,Other_species,52235.39440000006,601.8128306259565
ACACT1r,156546.321875,Other_species,40981.955100000036,13751583.04123952
ACBIPGT,2.1918333333333333,Other_species,22340.683100000013,353.19421365410244
ACGK,63.46666666666667,Other_species,35204.96970000003,6489.992803487622
ACGS_num1,2.1999998,Other_species,16996.669299999987,465.97360578169315
ACHBS_num1,53.1078,Other_species,17659.347799999992,10826.451925931267
ADCYRS,4.5,Other_species,53301.66859999997,303.9304476858349
CA2abc_num1,134.631875,Other_species,100465.41700000071,4824.294413668701
ADD,42.45509770113793,Other_species,60379.49310000009,2531.2957078153463
ADK1,284.16387499875,Other_species,23957.32260000001,42700.512368418815
ACKr,1030.6264864864866,Other_species,88342.56560000003,41998.50124515006
CAT,116983401.29000017,Brenda_SA,114130.14760000016,3690000000.0000005
ACLDC_num1,18.785,Other_species,14241.99709999999,4748.350917723474
ACLS_num1,53.1078,Other_species,17659.347799999992,10826.451925931267
CAt6_num1,344421.74764432514,fill,45019.69869999999,27541683.4702088
CBIAT,192.14760812307694,Other_species,19903.009399999995,34755.11543711963
ACONT,202.78,Other_species,102901.5694000008,7094.235824162215
ACOTA_num1,1.185,Other_species,43951.957399999934,97.06052363438098
