reactions,data_type,kcat,MW,kcat_MW
HCO3E_reverse,DLkcat,5211.7022,26265.194200000005,357167.12728512764
CSND_num2,DLkcat,2657.9981,6503.394900000001,735676.7739876906
YUMPS_num2,DLkcat,948.8289,30648.570600000032,18575.004603966732
GLUS_F420_num3,DLkcat,818.5624,39194.07040000002,14543.727769277706
MTSPCMMT_reverse,DLkcat,569.6314,26804.523400000002,11919.376073379153
ACKr_reverse,DLkcat,473.2436,44171.282800000015,19284.893396847412
ACHBS_num1,DLkcat,412.8091,17659.347799999992,84154.45331452166
HISTP,DLkcat,386.8268,20957.641800000012,66447.19350055879
GOFUCR_num1,DLkcat,375.2569,17523.867299999998,9636.320688185078
MTSPCMMT,DLkcat,368.5657,26804.523400000002,7712.133119853012
DHORTS_reverse,DLkcat,307.288,51912.6088000001,5327.399381246267
PTAr_reverse,DLkcat,300.4464,35348.09030000001,15299.370218028436
GLUS_F420_num1,DLkcat,237.4585,26479.161099999998,32283.900414050506
ACLS_num1,DLkcat,236.7151,17659.347799999992,48256.27591977097
FRTT2_num2,DLkcat,232.3216,25639.210600000002,16310.130858709043
FRTT_num2,DLkcat,232.3216,25639.210600000002,16310.130858709043
GRTT2_num2,DLkcat,232.3216,25639.210600000002,16310.130858709043
GRTT_num3,DLkcat,232.3216,25639.210600000002,16310.130858709043
ASPCT,DLkcat,231.6322,34578.49560000004,3445.064030737395
GARFT_reverse_num2,DLkcat,214.7291,22451.630400000024,8607.66842126529
ADPT,DLkcat,206.8001,20788.1068,17906.40117357873
DHORTS,DLkcat,186.7394,51912.6088000001,3237.468967269464
PROabc,DLkcat,184.9615,34558.664000000004,2782.1283603054026
ACKr,DLkcat,180.6214,44171.282800000015,7360.404756005861
ACYP_2,DLkcat,168.5499,10307.665799999992,29433.416438472446
ALCD20y_reverse_num2,DLkcat,163.3624,38773.79369999997,15167.580571307379
CS,DLkcat,162.927,39931.47900000001,7344.295962591317
TMAMT_num1,DLkcat,158.4476,53899.24910000011,5291.459245950783
TMAMT_num3,DLkcat,158.4476,53899.24910000011,5291.459245950783
GLYBabc,DLkcat,155.4015,34558.664000000004,2337.496832497574
GARFT_num2,DLkcat,154.733,22451.630400000024,6202.654217931534
PPAKr,DLkcat,128.2012,44171.282800000015,5224.2576029510265
POR3_num2,DLkcat,125.0635,32055.402100000007,11528.893633399583
FEDCabc_num1,DLkcat,118.8964,43547.219000000005,9829.03271044702
MCMMT_num6,DLkcat,118.881,27856.619500000008,7681.685855672471
GAPD_num2,DLkcat,115.9655,36958.09850000007,2823.9805140407807
GAPDi_nadp_reverse_num2,DLkcat,115.9655,36958.09850000007,2823.9805140407807
POR3_num3,DLkcat,111.1885,51707.31920000008,1872.4544549191476
GTHOr_num2,DLkcat,110.9435,49187.699700000056,8119.847084453098
ALCD20y_reverse_num3,DLkcat,109.2416,37679.46259999999,10437.24439955256
ALCD2y_num2,DLkcat,104.9599,38773.79369999997,9745.129479037803
ALCD20y_reverse_num1,DLkcat,103.4013,33556.94570000004,11092.924944000479
ACONMT,DLkcat,100.0754,30251.235600000007,5954.656609133676
NADS2_num1,DLkcat,97.816,37241.640100000026,4727.740226456887
PSP_L_num1,DLkcat,97.4923,10224.7923,17162.807307098064
GTHOr_num1,DLkcat,94.8149,49280.396300000095,6926.357448955809
POR3_num1,DLkcat,94.2927,44502.59359999998,3068.368438340695
PHETA1_num2,DLkcat,91.8369,41631.006600000095,3970.752415100134
TRPTA_num2,DLkcat,91.8369,41631.006600000095,3970.752415100134
TYRTA_num1,DLkcat,91.8369,41631.006600000095,3970.752415100134
ACHBS_num2,DLkcat,91.3845,16173.593099999995,inf
GMPS2_num4,DLkcat,88.1074,21047.863800000014,15069.778245144278
ORNTAC,DLkcat,88.1023,41603.393300000025,3811.8078219355216
ORNTAC_reverse,DLkcat,86.2622,41603.393300000025,3732.1946044242486
MDH_reverse,DLkcat,83.7948,85836.26620000045,1757.1901327646424
METS_num1,DLkcat,83.6505,38833.8283,3877.312811830092
CODHr_num2,DLkcat,82.7403,18554.296599999994,inf
PSP_L_num3,DLkcat,82.4912,36946.26420000003,4018.9221620950757
VOR,DLkcat,82.4483,51707.31920000008,1388.459117943945
SHK3Dr,DLkcat,81.5001,29426.68050000001,4985.277901121058
