reactions,metabolites,metabolitestotal,gpr,genes
3HOPCD_num1,3hpimcoa_c,3hpimcoa,Gmet_2203,Gmet_2203
3MBt2pp_num1,3mb_p,3mb,Gmet_3031,Gmet_3031
3MBt4pp_num1,3mb_p,3mb,Gmet_3031,Gmet_3031
3MMD,r3mmal_c,r3mmal,Gmet_0602,Gmet_0602
3OAR100_num1,3odecACP_c,3odecACP,Gmet_1694,Gmet_1694
3OAR120_num1,3oddecACP_c,3oddecACP,Gmet_1694,Gmet_1694
3OAR121_num1,3ocddec5eACP_c,3ocddec5eACP,Gmet_1694,Gmet_1694
3OAR140_num1,3omrsACP_c,3omrsACP,Gmet_1694,Gmet_1694
3OAR141_num1,3ocmrs7eACP_c,3ocmrs7eACP,Gmet_1694,Gmet_1694
3OAR160_num1,3opalmACP_c,3opalmACP,Gmet_1694,Gmet_1694
3OAR161_num1,3ocpalm9eACP_c,3ocpalm9eACP,Gmet_1694,Gmet_1694
3OAR180_num1,3ooctdACP_c,3ooctdACP,Gmet_1694,Gmet_1694
3OAR181_num1,3ocvac11eACP_c,3ocvac11eACP,Gmet_1694,Gmet_1694
3OAR40_num1,actACP_c,actACP,Gmet_1694,Gmet_1694
3OAR60_num1,3ohexACP_c,3ohexACP,Gmet_1694,Gmet_1694
3OAR80_num1,3ooctACP_c,3ooctACP,Gmet_1694,Gmet_1694
3OAS100_num1,malACP_c,malACP,Gmet_1695,Gmet_1695
3OAS100_num1,ocACP_c,ocACP,Gmet_1695,Gmet_1695
3OAS120_num1,dcaACP_c,dcaACP,Gmet_1695,Gmet_1695
3OAS120_num1,malACP_c,malACP,Gmet_1695,Gmet_1695
3OAS121_num1,cdec3eACP_c,cdec3eACP,Gmet_1695,Gmet_1695
3OAS121_num1,malACP_c,malACP,Gmet_1695,Gmet_1695
3OAS140_num1,ddcaACP_c,ddcaACP,Gmet_1695,Gmet_1695
3OAS140_num1,malACP_c,malACP,Gmet_1695,Gmet_1695
3OAS141_num1,cddec5eACP_c,cddec5eACP,Gmet_1695,Gmet_1695
3OAS141_num1,malACP_c,malACP,Gmet_1695,Gmet_1695
3OAS160_num1,malACP_c,malACP,Gmet_1695,Gmet_1695
3OAS160_num1,myrsACP_c,myrsACP,Gmet_1695,Gmet_1695
3OAS161_num1,malACP_c,malACP,Gmet_1695,Gmet_1695
3OAS161_num1,tdeACP_c,tdeACP,Gmet_1695,Gmet_1695
3OAS180_num1,malACP_c,malACP,Gmet_1695,Gmet_1695
3OAS180_num1,palmACP_c,palmACP,Gmet_1695,Gmet_1695
3OAS181_num1,hdeACP_c,hdeACP,Gmet_1695,Gmet_1695
3OAS181_num1,malACP_c,malACP,Gmet_1695,Gmet_1695
3OAS60_num1,butACP_c,butACP,Gmet_1695,Gmet_1695
3OAS60_num1,malACP_c,malACP,Gmet_1695,Gmet_1695
3OAS80_num1,hexACP_c,hexACP,Gmet_1695,Gmet_1695
3OAS80_num1,malACP_c,malACP,Gmet_1695,Gmet_1695
4HBZR,4hbzcoa_c,4hbzcoa,Gmet_2134 and Gmet_2135 and Gmet_2136,Gmet_2134
4HBZR,4hbzcoa_c,4hbzcoa,Gmet_2134 and Gmet_2135 and Gmet_2136,Gmet_2136
4HBZR,4hbzcoa_c,4hbzcoa,Gmet_2134 and Gmet_2135 and Gmet_2136,Gmet_2135
4HBZR,fdxr_42_c,fdxr_42,Gmet_2134 and Gmet_2135 and Gmet_2136,Gmet_2134
4HBZR,fdxr_42_c,fdxr_42,Gmet_2134 and Gmet_2135 and Gmet_2136,Gmet_2136
4HBZR,fdxr_42_c,fdxr_42,Gmet_2134 and Gmet_2135 and Gmet_2136,Gmet_2135
