,UniProtID,proteinNames,txt_subunit,geneNames
0,['Q8I430'],[],,[]
1,['Q8I2J3'],[],,[]
2,['Q76NL8'],[],,[]
3,['C0H4A1'],[],,[]
4,['Q8IL11'],[],,[]
5,['Q8ID61'],[],,[]
6,['Q8ILB8'],[],,[]
7,['Q8I0V0'],[],,[]
8,['Q8IL65'],[],,[]
9,['A0A144A2H0'],[],,[]
10,['Q8I6T4'],[],,[]
11,['Q8IM75'],[],,[]
12,['Q8I523'],[],,[]
13,['Q8I2S7'],[],,[]
14,['Q8I513'],[],,[]
15,['Q8IE53'],[],,[]
16,['Q8ID69'],[],,[]
17,['Q8IJP2'],[],,[]
18,['Q5MYR6'],[],,[]
19,['Q8IL97'],[],,[]
20,['C6KT99'],[],,[]
21,['Q8I1V2'],[],,[]
22,['O96142'],[],,[]
23,['C0H4F3'],[],,[]
24,['Q8I0V1'],[],,[]
25,['A0A144A2G5'],[],,[]
26,['Q8I384'],[],,[]
27,['Q8IBB7'],[],,[]
28,['Q8I3J2'],[],,[]
29,['Q8IIK1'],[],,[]
30,['Q8IAP0'],[],,[]
31,['C6KSS3'],[],,[]
32,['Q8IBV0'],[],,[]
33,['Q8IHW5'],[],,[]
34,['Q8I585'],[],,[]
35,['Q8IKW7'],[],,[]
36,['Q8ILB4'],[],,[]
37,['Q8I0W6'],[],,[]
38,['Q8IKE1'],[],,[]
39,['Q8IHS6'],[],,[]
40,['C6KTB1'],[],,[]
41,['Q8I527'],[],,[]
42,['C6S3D7'],[],,[]
43,['C6KT76'],[],,[]
44,['O77330'],[],,[]
45,['Q8I5V3'],[],,[]
46,['Q8IKN1'],[],,[]
47,['Q8I3Q5'],[],,[]
48,['Q8IJ40'],[],,[]
49,['Q8IDP8'],[],,[]
50,['A0A144A6G1'],[],,[]
51,['Q8IDC6'],[],,[]
52,['Q8I6T2'],[],,[]
53,['Q8I6T7'],[],,[]
54,['Q8II63'],[],,[]
55,['Q8I2U5'],[],,[]
56,['C0H532'],[],,[]
57,['C0H4K2'],[],,[]
58,['Q8IKI3'],[],,[]
59,['C6KT83'],[],,[]
60,['Q76NM3'],[],,[]
61,['Q8IE66'],[],,[]
62,['O96252'],[],,[]
63,['Q8IIM5'],[],,[]
64,['Q7KWI9'],[],,[]
65,['C6KSP5'],[],,[]
66,['Q8IDR8'],[],,[]
67,['Q8IJY2'],[],,[]
68,['Q8I2S0'],[],,[]
69,['Q8IEG9'],[],,[]
70,['Q8IHP4'],[],,[]
71,['Q8ILG1'],[],,[]
72,['Q8IB70'],[],,[]
73,['Q8IM55'],[],,[]
74,['Q8I0V2'],[],,[]
75,['Q8IDQ0'],[],,[]
76,['Q8IEL5'],[],,[]
77,['Q8IJ22'],[],,[]
78,['Q8IBU5'],[],,[]
79,['Q8I1N7'],[],,[]
80,['Q8I2E8'],[],,[]
81,['C6KTB4'],[],,[]
82,['C0H4L0'],[],,[]
83,['Q8IK68'],[],,[]
84,['C6S3F0'],[],,[]
85,['Q8IJA9'],[],,[]
86,['Q8I2H3'],[],,[]
87,['C0H4Q4'],[],,[]
88,['Q8IE84'],[],,[]
89,['Q8IK69'],[],,[]
90,['Q8IKP7'],[],,[]
91,['Q8IDS0'],[],,[]
92,['Q8I4R0'],[],,[]
93,['Q8IAQ8'],[],,[]
94,['Q6ZMA8'],[],,[]
95,['Q8IKJ0'],[],,[]
96,['Q8IDF7'],[],,[]
97,['Q8I2T0'],[],,[]
98,['Q8IDM6'],[],,[]
99,['Q8I236'],[],,[]
100,['Q8IB06'],[],,[]
101,['Q8IK22'],[],,[]
102,['Q76NM6'],[],,[]
103,['Q8I2F3'],[],,[]
104,['Q8IEP9'],[],,[]
105,['Q8I3R7'],[],,[]
106,['O97242'],[],,[]
107,['Q8IM74'],[],,[]
108,['Q8IJV6'],[],,[]
109,['Q8IC45'],[],,[]
110,['Q8I280'],[],,[]
111,['Q8IBZ2'],[],,[]
112,['Q8IHW4'],[],,[]
113,['Q8I1T1'],[],,[]
114,['Q8I1X1'],[],,[]
115,['Q8IJ77'],[],,[]
116,['Q8IJY9'],[],,[]
117,['Q8I1V0'],[],,[]
118,['Q8ILP1'],[],,[]
119,['Q8IJ34'],[],,[]
120,['C0H4R1'],[],,[]
