,kcat,data_type,MW,kcat_MW
F6PP_num1,2273.2096662028243,fill,36822.89720000001,222240.9267223592
FACOAL140_num1,2273.2096662028243,fill,99088.82180000065,82588.07249568199
FACOAL1821_num1,0.6263333333333333,Other_species,99088.82180000065,22.75534171302444
FACOAL160_num1,0.6263333333333333,Other_species,99088.82180000065,22.75534171302444
FACOAL180_num1,0.6263333333333333,Other_species,99088.82180000065,22.75534171302444
FACOAL181_num1,2273.2096662028243,fill,99088.82180000065,82588.07249568199
GP4GH1,2273.2096662028243,fill,17749.959699999996,461046.3875211035
GPAM_pf_16_0_num1,2273.2096662028243,fill,66918.2659000001,122291.79415018516
GPAM_pf_18_0_num1,2273.2096662028243,fill,66918.2659000001,122291.79415018516
3DSPHR,1.07,Other_species,46789.35189999999,82.32642350406228
3HAD100_1,8.881378260869566,Other_species,26210.3984,1219.8579072010764
3HAD120_1,8.881378260869566,Other_species,26210.3984,1219.8579072010764
3HAD140_1,8.881378260869566,Other_species,26210.3984,1219.8579072010764
3HAD160_1,8.881378260869566,Other_species,26210.3984,1219.8579072010764
3HAD40c,2273.2096662028243,fill,26210.3984,312225.5020103078
3HAD60_1,8.881378260869566,Other_species,26210.3984,1219.8579072010764
3HAD80_1,8.881378260869566,Other_species,26210.3984,1219.8579072010764
3HBCOAHL,376.0,Other_species,63854.93469999998,21198.048457169596
3OAR100_1,219.846,Database,33346.93950000004,23733.680267719894
3OAR120_1,219.846,Database,33346.93950000004,23733.680267719894
3OAR140_1,219.846,Database,33346.93950000004,23733.680267719894
3OAR160_1,219.846,Database,33346.93950000004,23733.680267719894
ACCOAC_num1,9.1091875,Other_species,34652.52240000004,946.3402006198535
3OAR40c,2273.2096662028243,fill,33346.93950000004,245406.4727088421
3OAR60_1,219.846,Database,33346.93950000004,23733.680267719894
3OAR80_1,219.846,Database,33346.93950000004,23733.680267719894
ACCOAC_h_num1,2273.2096662028243,fill,34652.52240000004,236160.4359955672
3OAS100_h,2273.2096662028243,fill,52655.92349999993,155415.65420137733
3OAS120_h,2273.2096662028243,fill,52655.92349999993,155415.65420137733
3OAS140_h,2273.2096662028243,fill,52655.92349999993,155415.65420137733
3OAS160_h,2273.2096662028243,fill,52655.92349999993,155415.65420137733
3OAS60_h,2273.2096662028243,fill,52655.92349999993,155415.65420137733
3OAS80_h,2273.2096662028243,fill,52655.92349999993,155415.65420137733
3PGP,2273.2096662028243,fill,35232.02940000005,232275.99822365487
3SALATAi,174.57206896551725,Other_species,47004.58769999996,13370.17255181376
ACCOAtm_1,2273.2096662028243,fill,69795.25320000022,117250.87915190974
ASNS1,3.514,Other_species,69863.4578000002,181.07320190498737
ACGAMPM,15.053333333333333,Other_species,111656.83720000072,485.34421499805524
4ABZt2r_num1,2273.2096662028243,fill,51354.04519999998,159355.60220152183
4NPHPP,2273.2096662028243,fill,36822.89720000001,222240.9267223592
ACGPID_18_0_18_1_num1,2273.2096662028243,fill,33906.77330000003,241354.57319762598
ASNTA,2273.2096662028243,fill,47004.58769999996,174101.1930699304
ACOATA_1,1.4916666666666667,Database,42324.04629999994,126.87822808661862
ACN_a_m,2273.2096662028243,fill,103377.98780000069,79161.4827535859
ACONTa,3.3,Database,103377.98780000069,114.91808123585784
ACONTb,3.3,Database,103377.98780000069,114.91808123585784
ACN_b_m,2273.2096662028243,fill,103377.98780000069,79161.4827535859
5FTHFt,2273.2096662028243,fill,51354.04519999998,159355.60220152183
r2532_num1,2273.2096662028243,fill,68857.50270000019,118847.6851097033
ACACT1r,361.8090909090909,Other_species,44372.85500000002,29353.81839353647
ACP1_FMN_num1,765.4411785714286,Other_species,35218.829200000044,78241.90370465636
ACPS1c,2273.2096662028243,fill,70384.69380000024,116268.95503138695
ACS,424.1152962962963,Other_species,113879.35130000088,13407.303863581588
ASPCT,97.48194416666666,Other_species,18.0153,19479830.97700288
ASPTA,174.57206896551725,Other_species,47004.58769999996,13370.17255181376
ACYP,1085.964285825,Other_species,15080.136999999984,259246.41327661704
CYOOm2,331.95238095238096,Other_species,92710.755,12889.859126145304
CYOR_mqn4m,2273.2096662028243,fill,238279.5882000002,34344.338347023215
CYOR_u8m,2273.2096662028243,fill,238279.5882000002,34344.338347023215
ATPS4m,107.38777777777777,Other_species,289681.87220000045,1334.5536504027034
ADA,6.704,Database,42465.42670000001,568.330566192097
CYStec_num1,2273.2096662028243,fill,68857.50270000019,118847.6851097033
ADCS,0.1845,Other_species,116534.34860000073,5.699607094212529
ATPasel_1,2273.2096662028243,fill,510975.9681000011,16015.537538408453
ADEt,2273.2096662028243,fill,47630.63810000002,171812.83150456398
ADK1_num1,5.4,Database,27610.382900000033,704.0829556912801
CYTK1,91.2311111111111,Other_species,44244.35039999997,7423.139836628729
CYTK2,91.2311111111111,Other_species,44244.35039999997,7423.139836628729
ADK3m,145.316,Other_species,26737.753300000033,19565.503284077327
ADMDC,0.088,Database,168167.83310000075,1.8838323248870987
ADNt,2273.2096662028243,fill,47630.63810000002,171812.83150456398
D_LACt2_num1,2273.2096662028243,fill,51860.3955000001,157799.69896932528
ATPt_num1,2273.2096662028243,fill,41009.38690000001,199553.21005616314
DADA,6.704,Database,42465.42670000001,568.330566192097
ADSL1r,4.433333333333334,Database,55175.536100000034,289.2586303298282
ADSL2r,4.433333333333334,Database,55175.536100000034,289.2586303298282
DADK_num1,5.4,Database,27610.382900000033,704.0829556912801
ADSS,1.185,Database,50064.30309999992,85.2104141243905
ATPtm_num1,198.5,Other_species,33725.875899999985,21188.478606718716
AGPAT1_16_0_16_2,2273.2096662028243,fill,33746.50800000002,242500.7884765488
DCTPD,257.71,Other_species,27041.785600000047,34308.23739686769
AGPAT1_16_0_18_5,2273.2096662028243,fill,33746.50800000002,242500.7884765488
CA2abc1,134.631875,Other_species,140260.5020000005,3455.5326915912383
AGPAT1_16_0_18_6,2273.2096662028243,fill,33746.50800000002,242500.7884765488
AGPAT1_16_0_18_7,2273.2096662028243,fill,33746.50800000002,242500.7884765488
AGPAT1_18_0_18_3,2273.2096662028243,fill,33746.50800000002,242500.7884765488
AGPAT1_18_0_18_4,2273.2096662028243,fill,33746.50800000002,242500.7884765488
AGPAT1_18_1_18_5,2273.2096662028243,fill,33746.50800000002,242500.7884765488
AGPAT1_18_1_18_6,2273.2096662028243,fill,33746.50800000002,242500.7884765488
DESAT18,0.28333396666666666,Other_species,174910.38110000096,5.831570851228306
DGATpf_16_0_18_0_stcoa,2273.2096662028243,fill,78113.24020000035,104765.27125717839
DGATpf_18_1_18_2_lnlccoa,2273.2096662028243,fill,78113.24020000035,104765.27125717839
DGK1_num1,494.5,Database,23514.583100000033,75706.21143608527
AGPAT1_18_2_18_3,2273.2096662028243,fill,33746.50800000002,242500.7884765488
CAt4,2273.2096662028243,fill,48918.350300000064,167290.08129144038
DHAt,2273.2096662028243,fill,28296.825600000026,289203.98754304653
DHFR,30.524,Database,71736.38190000012,1531.808506221859
DHFS,0.5219166666666667,Other_species,60063.58199999996,31.28185062289494
CAt8,2273.2096662028243,fill,48918.350300000064,167290.08129144038
DHORD10m,2273.2096662028243,fill,65557.68300000014,124829.83570865601
AKGCITtm_num1,2273.2096662028243,fill,35386.172599999976,231264.19720029776
CBPS,209.49533332,Other_species,273434.3813000031,2758.1871612719224
AKGDm_num1,245.6,Database,121148.77680000073,7298.133942034111
DHORD9m,2273.2096662028243,fill,65557.68300000014,124829.83570865601
DHORTS,0.7825,Database,41717.45000000003,67.52569967723333
DHORtm,2273.2096662028243,fill,33266.35370000003,246000.95556400463
DHPS2,0.042,Database,83373.00790000022,1.8135365846624278
AKGMALtm,2273.2096662028243,fill,35386.172599999976,231264.19720029776
DHPTt_num1,2273.2096662028243,fill,51354.04519999998,159355.60220152183
CDIPTr_16_0_16_1,2273.2096662028243,fill,23924.423200000023,342058.6038759823
OAAAKGtm,2273.2096662028243,fill,35386.172599999976,231264.19720029776
CDIPTr_16_0_18_3,2273.2096662028243,fill,23924.423200000023,342058.6038759823
DIK1,2273.2096662028243,fill,24690.797500000026,331441.49346857506
AKGtm,2273.2096662028243,fill,35386.172599999976,231264.19720029776
DMATT,0.5995714285714286,Other_species,44461.35389999999,48.54681545937232
