metname,inchikey
lgnccoa,NA
pa_pf_18_0_18_0,NA
ps_pf_18_0_20_4,NA
ahcys,ZJUKTBDSGOFHSH-WFMPWKQPSA-N
s7p,JDTUMPKOJBQPKX-GBNDHIKLSA-L
pyam5p,ZMJGSOSNSPKHNH-UHFFFAOYSA-M
cdpdag_pf_16_0_18_0,NA
Lcyst,XVOYSCVBGLVSOL-REOHCLBHSA-M
pdx5p,WHOMFKWHIQZTHY-UHFFFAOYSA-L
succ,KDYFGRWQOYBRFD-UHFFFAOYSA-L
ppi_m,NA
frdp_m,NA
lpchol_pf_18_1,NA
phpyr,BTNMPGBKDVTSJY-UHFFFAOYSA-M
3dsphgn,KBUNOSOGGAARKZ-KRWDZBQOSA-O
lgt__S,VDYDCVUWILIYQF-CSMHCCOUSA-M
dxyl5p_h,NA
h2o2_m,NA
pail3p_pf_18_0_18_1,NA
r1p,YXJDFQJKERBOBM-TXICZTDVSA-L
gacpail,NA
uppg3_h,NA
2p4c2me_h,NA
dsbgrd_r,NA
adp_h,NA
h2o2,MHAJPDPJQMAIIY-UHFFFAOYSA-N
gly_m,NA
his__L,HNDVDQJCIGZPNO-YFKPBYRVSA-N
ru5p__D,FNZLKVNUWIIPSJ-UHNVWZDZSA-L
ahcys_m,NA
mmet,YDBYJHTYSHBBAU-YFKPBYRVSA-O
thf,MSTNYGQPCMXVAQ-RYUDHWBXSA-L
4mhetz,BKAWJIRCKVUVED-UHFFFAOYSA-N
dag_pf_18_0_16_0,NA
dag_pf_18_1_20_4,NA
dag_pf_18_1_16_0,NA
4pyrdx,NA
orn,AHLPHDHHMVZTML-BYPYZUCNSA-O
sprm,PFNFFQXMRSDOHW-UHFFFAOYSA-R
acald,IKHGUXGNUITLKF-UHFFFAOYSA-N
lgn,NA
chtn,NA
dag,NA
uppg1_h,NA
lgt__S_h,NA
35cdamp,MKMZAENVDZADSW-RRKCRQDMSA-M
2ohph_m,NA
lpe_pf_18_2,NA
ivcoa_m,NA
phe__L,COLNVLDHVKWLRT-QMMMGPOBSA-N
pchol_pf_16_0_18_1,NA
nadh_m,NA
2mp2coa,NPALUEYCDZWBOV-NDZSKPAWSA-J
icit_m,NA
cu2,JPVYNHNXODAKFH-UHFFFAOYSA-N
2fe2s_h,NA
o2_l,NA
gam,MSWZFWKMSRAUBD-IVMDWMLBSA-O
acgam1p,FZLJPEPAYPUMMR-RTRLPJTCSA-L
icit,ODBLHEXUDAPZAU-UHFFFAOYSA-K
lpchol_pf_16_0,NA
grxrd_h,NA
3hbcoa__R,NA
nadh_h,NA
thmpp,AYEKOFBPNLCAJY-UHFFFAOYSA-L
coa_m,NA
glyald_h,NA
mthgxl,AIJULSRZWUXGPQ-UHFFFAOYSA-N
pydx,RADKZDMFGJYCBB-UHFFFAOYSA-N
grxox_h,NA
o2_h,NA
h_h,NA
h2o_m,NA
dol12manp_r,NA
cholp,YHHSONZFOIEMCP-UHFFFAOYSA-M
thbpt4acam,NA
orot,PXQPEWDEAKTCGB-UHFFFAOYSA-M
dag_pf_16_0_20_4,NA
