metname,inchikey,Canonical_SMILES
lgnccoa,NA,noinchikey_inpubchem
pa_pf_18_0_18_0,NA,noinchikey_inpubchem
ps_pf_18_0_20_4,NA,noinchikey_inpubchem
ahcys,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N
s7p,JDTUMPKOJBQPKX-GBNDHIKLSA-L,C(C(C(C(C(C(=O)CO)O)O)O)O)OP(=O)([O-])[O-]
pyam5p,ZMJGSOSNSPKHNH-UHFFFAOYSA-M,CC1=NC=C(C(=C1O)C[NH3+])COP(=O)([O-])[O-]
cdpdag_pf_16_0_18_0,NA,noinchikey_inpubchem
Lcyst,XVOYSCVBGLVSOL-REOHCLBHSA-M,C(C(C(=O)[O-])[NH3+])S(=O)(=O)[O-]
pdx5p,WHOMFKWHIQZTHY-UHFFFAOYSA-L,CC1=NC=C(C(=C1O)CO)COP(=O)([O-])[O-]
succ,KDYFGRWQOYBRFD-UHFFFAOYSA-L,C(CC(=O)[O-])C(=O)[O-]
ppi_m,NA,noinchikey_inpubchem
frdp_m,NA,noinchikey_inpubchem
lpchol_pf_18_1,NA,noinchikey_inpubchem
phpyr,BTNMPGBKDVTSJY-UHFFFAOYSA-M,C1=CC=C(C=C1)CC(=O)C(=O)[O-]
3dsphgn,KBUNOSOGGAARKZ-KRWDZBQOSA-O,CCCCCCCCCCCCCCCC(=O)C(CO)[NH3+]
lgt__S,VDYDCVUWILIYQF-CSMHCCOUSA-M,CC(C(=O)SCC(C(=O)NCC(=O)[O-])NC(=O)CCC(C(=O)[O-])[NH3+])O
dxyl5p_h,NA,noinchikey_inpubchem
h2o2_m,NA,noinchikey_inpubchem
pail3p_pf_18_0_18_1,NA,noinchikey_inpubchem
r1p,YXJDFQJKERBOBM-TXICZTDVSA-L,C(C1C(C(C(O1)OP(=O)([O-])[O-])O)O)O
gacpail,NA,noinchikey_inpubchem
uppg3_h,NA,noinchikey_inpubchem
2p4c2me_h,NA,noinchikey_inpubchem
dsbgrd_r,NA,noinchikey_inpubchem
adp_h,NA,noinchikey_inpubchem
h2o2,MHAJPDPJQMAIIY-UHFFFAOYSA-N,OO
gly_m,NA,noinchikey_inpubchem
