reactions,metabolites,metabolitestotal,gpr,genes
F6PP_num1,f6p_c,f6p,PF3D7_0715000,PF3D7_0715000
FACOAL140_num1,ttdca_c,ttdca,PF3D7_1372400,PF3D7_1372400
FACOAL1821_num1,lnlc_c,lnlc,PF3D7_1372400,PF3D7_1372400
FACOAL160_num1,hdca_c,hdca,PF3D7_1372400,PF3D7_1372400
FACOAL180_num1,ocdca_c,ocdca,PF3D7_1372400,PF3D7_1372400
FACOAL181_num1,ocdcea_c,ocdcea,PF3D7_1372400,PF3D7_1372400
GP4GH1,gp4g_c,gp4g,PF3D7_0520600,PF3D7_0520600
GPAM_pf_16_0_num1,glyc3p_c,glyc3p,PF3D7_1212500,PF3D7_1212500
GPAM_pf_16_0_num1,pmtcoa_c,pmtcoa,PF3D7_1212500,PF3D7_1212500
GPAM_pf_18_0_num1,glyc3p_c,glyc3p,PF3D7_1212500,PF3D7_1212500
GPAM_pf_18_0_num1,stcoa_c,stcoa,PF3D7_1212500,PF3D7_1212500
3DSPHR,3dsphgn_c,3dsphgn,PF3D7_0409500,PF3D7_0409500
3HBCOAHL,3hibutcoa_c,3hibutcoa,PF3D7_1240000,PF3D7_1240000
3OAR100_1,3odecACP_h,3odecACP_h,PF3D7_0922900,PF3D7_0922900
3OAR100_1,h_h,h_h,PF3D7_0922900,PF3D7_0922900
3OAR100_1,nadph_h,nadph_h,PF3D7_0922900,PF3D7_0922900
3OAR120_1,3oddecACP_h,3oddecACP_h,PF3D7_0922900,PF3D7_0922900
3OAR120_1,h_h,h_h,PF3D7_0922900,PF3D7_0922900
3OAR120_1,nadph_h,nadph_h,PF3D7_0922900,PF3D7_0922900
3OAR140_1,3omrsACP_h,3omrsACP_h,PF3D7_0922900,PF3D7_0922900
3OAR140_1,h_h,h_h,PF3D7_0922900,PF3D7_0922900
3OAR140_1,nadph_h,nadph_h,PF3D7_0922900,PF3D7_0922900
3OAR160_1,3opalmACP_h,3opalmACP_h,PF3D7_0922900,PF3D7_0922900
3OAR160_1,h_h,h_h,PF3D7_0922900,PF3D7_0922900
3OAR160_1,nadph_h,nadph_h,PF3D7_0922900,PF3D7_0922900
ACCOAC_num1,accoa_c,accoa,PF3D7_1460000,PF3D7_1460000
ACCOAC_num1,hco3_c,hco3,PF3D7_1460000,PF3D7_1460000
3OAR40c,actACP_h,actACP_h,PF3D7_0922900,PF3D7_0922900
3OAR40c,h_h,h_h,PF3D7_0922900,PF3D7_0922900
3OAR40c,nadph_h,nadph_h,PF3D7_0922900,PF3D7_0922900
3OAR60_1,3ohexACP_h,3ohexACP_h,PF3D7_0922900,PF3D7_0922900
3OAR60_1,h_h,h_h,PF3D7_0922900,PF3D7_0922900
3OAR60_1,nadph_h,nadph_h,PF3D7_0922900,PF3D7_0922900
3OAR80_1,3ooctACP_h,3ooctACP_h,PF3D7_0922900,PF3D7_0922900
3OAR80_1,h_h,h_h,PF3D7_0922900,PF3D7_0922900
3OAR80_1,nadph_h,nadph_h,PF3D7_0922900,PF3D7_0922900
ACCOAC_h_num1,accoa_h,accoa_h,PF3D7_1460000,PF3D7_1460000
ACCOAC_h_num1,atp_h,atp_h,PF3D7_1460000,PF3D7_1460000
ACCOAC_h_num1,hco3_h,hco3_h,PF3D7_1460000,PF3D7_1460000
3OAS100_h,h_h,h_h,PF3D7_0626300,PF3D7_0626300
3OAS100_h,malACP_h,malACP_h,PF3D7_0626300,PF3D7_0626300
3OAS100_h,ocACP_h,ocACP_h,PF3D7_0626300,PF3D7_0626300
3OAS120_h,dcaACP_h,dcaACP_h,PF3D7_0626300,PF3D7_0626300
3OAS120_h,h_h,h_h,PF3D7_0626300,PF3D7_0626300
3OAS120_h,malACP_h,malACP_h,PF3D7_0626300,PF3D7_0626300
3OAS140_h,ddcaACP_h,ddcaACP_h,PF3D7_0626300,PF3D7_0626300
3OAS140_h,h_h,h_h,PF3D7_0626300,PF3D7_0626300
3OAS140_h,malACP_h,malACP_h,PF3D7_0626300,PF3D7_0626300
3OAS160_h,h_h,h_h,PF3D7_0626300,PF3D7_0626300
3OAS160_h,malACP_h,malACP_h,PF3D7_0626300,PF3D7_0626300
3OAS160_h,myrsACP_h,myrsACP_h,PF3D7_0626300,PF3D7_0626300
3OAS60_h,butACP_h,butACP_h,PF3D7_0626300,PF3D7_0626300
3OAS60_h,h_h,h_h,PF3D7_0626300,PF3D7_0626300
3OAS60_h,malACP_h,malACP_h,PF3D7_0626300,PF3D7_0626300
3OAS80_h,h_h,h_h,PF3D7_0626300,PF3D7_0626300
3OAS80_h,hexACP_h,hexACP_h,PF3D7_0626300,PF3D7_0626300
3OAS80_h,malACP_h,malACP_h,PF3D7_0626300,PF3D7_0626300
3PGP,3pg_c,3pg,PF3D7_0413500,PF3D7_0413500
3SALATAi,3sala_c,3sala,PF3D7_0204500,PF3D7_0204500
3SALATAi,akg_c,akg,PF3D7_0204500,PF3D7_0204500
ASNS1,asp__L_c,asp__L,PF3D7_0309500,PF3D7_0309500
ASNS1,gln__L_c,gln__L,PF3D7_0309500,PF3D7_0309500
4ABZt2r_num1,4abz_e,4abz,PF3D7_1116500,PF3D7_1116500
4NPHPP,4nphp_c,4nphp,PF3D7_0715000,PF3D7_0715000
ACGPID_18_0_18_1_num1,acgpail_pf_18_0_18_1_c,acgpail_pf_18_0_18_1,PF3D7_0911000,PF3D7_0911000
ASNTA,akg_c,akg,PF3D7_0204500,PF3D7_0204500
ASNTA,asn__L_c,asn__L,PF3D7_0204500,PF3D7_0204500
ACOATA_1,ACP_h,ACP_h,PF3D7_0211400,PF3D7_0211400
ACOATA_1,accoa_h,accoa_h,PF3D7_0211400,PF3D7_0211400
ACN_a_m,acon_C_m,acon_C_m,PF3D7_1342100,PF3D7_1342100
ACN_a_m,h2o_m,h2o_m,PF3D7_1342100,PF3D7_1342100
ACONTb,acon_C_c,acon_C,PF3D7_1342100,PF3D7_1342100
ACN_b_m,acon_C_m,acon_C_m,PF3D7_1342100,PF3D7_1342100
ACN_b_m,h2o_m,h2o_m,PF3D7_1342100,PF3D7_1342100
5FTHFt,5fthf_e,5fthf,PF3D7_1116500,PF3D7_1116500
ACP1_FMN_num1,fmn_c,fmn,PF3D7_1403900,PF3D7_1403900
ACPS1c,apoACP_h,apoACP_h,PF3D7_0420200,PF3D7_0420200
ACPS1c,coa_h,coa_h,PF3D7_0420200,PF3D7_0420200
ACS,ac_c,ac,PF3D7_0627800,PF3D7_0627800
ASPCT,asp__L_c,asp__L,PF3D7_1344800,PF3D7_1344800
ASPCT,cbp_c,cbp,PF3D7_1344800,PF3D7_1344800
ASPTA,akg_c,akg,PF3D7_0204500,PF3D7_0204500
ASPTA,asp__L_c,asp__L,PF3D7_0204500,PF3D7_0204500
ACYP,13dpg_c,13dpg,PF3D7_1111500,PF3D7_1111500
CYOOm2,focytC_m,focytC_m,PF3D7_1430900 and PF3D7_0927800 and PF3D7_0928000 and PF3D7_1361700 and mal_mito_2 and mal_mito_1 and PF3D7_1475300 and PF3D7_1010300,PF3D7_1475300
