reactions,data_type,kcat,MW,kcat_MW
ACN_b_m,DLkcat,41.9246,103377.98780000069,1459.9680571457109
ACN_a_m,DLkcat,41.9246,103377.98780000069,1459.9680571457109
ACONTb,DLkcat,37.829,103377.98780000069,1317.344271233717
GP4GH1,DLkcat,30.6463,17749.959699999996,6215.601717676015
4NPHPP,DLkcat,26.6331,36822.89720000001,2603.7918602450427
F6PP_num1,DLkcat,18.265,36822.89720000001,1785.6824150164912
3DSPHR,DLkcat,15.9471,46789.35189999999,1226.9791665996559
3SALATAi,DLkcat,15.8628,47004.58769999996,1214.904391130316
ASNTA,DLkcat,15.8628,47004.58769999996,1214.904391130316
3PGP,DLkcat,6.8841,35232.02940000005,703.4156255557612
ACCOAC_h_num1,DLkcat,4.6861,34652.52240000004,486.83209277717634
ACCOAC_num1,DLkcat,4.1999,34652.52240000004,436.3214840602768
FACOAL1821_num1,DLkcat,3.8436,99088.82180000065,139.64198734674943
GPAM_pf_16_0_num1,DLkcat,3.751,66918.2659000001,201.79243766088058
GPAM_pf_18_0_num1,DLkcat,3.751,66918.2659000001,201.79243766088058
ASNS1,DLkcat,3.049,69863.4578000002,157.11217774852204
FACOAL180_num1,DLkcat,2.9573,99088.82180000065,107.44178613293322
FACOAL160_num1,DLkcat,2.9112,99088.82180000065,105.76692516491231
ACOATA_1,DLkcat,2.7673,42324.04629999994,235.3810864250948
FACOAL181_num1,DLkcat,2.6412,99088.82180000065,95.95754422422588
3HBCOAHL,DLkcat,2.2751,63854.93469999998,128.26510650241104
ACPS1c,DLkcat,2.1655,70384.69380000024,110.75987660260269
5FTHFt,DLkcat,1.8385,51354.04519999998,128.8817652869146
4ABZt2r_num1,DLkcat,1.1467,51354.04519999998,80.38548830813433
ACS,DLkcat,0.6714,113879.35130000088,21.224567688593616
3OAR80_1,DLkcat,0.1706,33346.93950000004,18.417282341607372
3OAR40c,DLkcat,0.1706,33346.93950000004,18.417282341607372
3OAR160_1,DLkcat,0.1706,33346.93950000004,18.417282341607372
3OAR140_1,DLkcat,0.1706,33346.93950000004,18.417282341607372
3OAR120_1,DLkcat,0.1706,33346.93950000004,18.417282341607372
3OAR100_1,DLkcat,0.1706,33346.93950000004,18.417282341607372
3OAR60_1,DLkcat,0.1706,33346.93950000004,18.417282341607372
ASPCT,DLkcat,,18.0153,
ASPTA,DLkcat,,47004.58769999996,
ACYP,DLkcat,,15080.136999999984,
CYOOm2,DLkcat,,26807.14170000003,
CYOR_mqn4m,DLkcat,,23019.33849999999,
CYOR_u8m,DLkcat,,23019.33849999999,
ATPS4m,DLkcat,,61769.57390000011,
ADA,DLkcat,,42465.42670000001,
ADCS,DLkcat,,116534.34860000073,
ADK3m,DLkcat,,26737.753300000033,
ADMDC,DLkcat,,168167.83310000075,
D_LACt2_num1,DLkcat,,51860.3955000001,
DADA,DLkcat,,42465.42670000001,
ADSS,DLkcat,,50064.30309999992,
