,kcat,data_type,MW,kcat_MW
NAabc_num1,15520.605817180749,fill,29656.85580000004,1884022.4101521447
ASNS1_num1,2.037777777777778,Other_species,61503.36850000007,119.27801970716438
ASNS2,2.037777777777778,Other_species,38147.22010000003,192.307590979611
SSALx,4.218571428571429,Other_species,101362.90700000004,149.82657455608626
AMID_1,184.99952777777779,Other_species,30505.547100000014,21832.039196569585
AGTi_num1,32.985708333333335,Other_species,40044.32720000003,2965.4275225280826
GLUDxi,111970.04795333337,Brenda_SA,46015.08820000001,8760000.0
ABTA,20.610285,Other_species,48188.77849999997,1539.715848991691
SSALy_num1,3.7769565217391303,Other_species,101362.90700000004,134.1422013307182
ASPTA_num1,452.2572727272727,Other_species,44105.118100000065,36914.67684377835
GF6PTA_num1,12.19958375,Other_species,134851.73420000036,325.67991624686044
A4PA,15520.605817180749,fill,42365.87869999996,1318848.6266862382
GLUR_num1,4096.7445161290325,Other_species,59784.80600000006,246689.43908698976
ASNN_num1,245.74189727272727,Other_species,61503.36850000007,14384.103696398632
GLUSy_num1,23.6,Other_species,89275.35799999998,951.6623837005507
3A2OA,15520.605817180749,fill,48188.77849999997,1159485.313408613
A4GA,15520.605817180749,fill,42365.87869999996,1318848.6266862382
GTHRDH_syn,12.45,Other_species,59961.73970000001,747.4766446778059
GLNS,127.194,Other_species,71911.3449000003,6367.540485256563
ALAR_num1,39.275,Database,26979.93580000002,5240.5610246114775
ALAALAD,99.76610434782609,Other_species,41122.44590000002,8733.86705950226
ALAALAr,1.84700007,Other_species,33566.1154,198.09263516981176
SPTc,122.0,Other_species,40044.32720000003,10967.845652804468
GLUSx_num1,48.2,Other_species,89275.35799999998,1943.6494446765482
ASP4DC,148.98333333333332,Other_species,62016.17140000017,8648.389410249833
ACGAMK,27.328875,Other_species,35098.8523,2803.0531927108054
AGDC_num1,65.81,Other_species,83288.33479999997,2844.5279950536374
UAG2EMA,13404.5214,Other_species,84975.06940000001,567887.4684155303
UAGCVT,0.77,Other_species,90734.45160000006,30.55068886314841
ACNML,5.582769230769231,Other_species,133423.64000000007,150.63274567212542
AMANK,74.90769230769232,Other_species,44375.1525,6076.997533871965
UAG2E,3.03025,Other_species,84975.06940000001,128.37765331675033
ARGDC_num1,0.025,Database,217409.90239999985,0.413964584899239
ALPHNH,15.27,Other_species,62170.5064,884.2134829385916
PTRCAT1,1.9095,Other_species,16904.987599999986,406.63738789137034
AGMT,1.516,Other_species,33307.28550000001,163.85604284684197
OCBT,1190.9444444444443,Other_species,38705.00080000003,110771.21589931594
ACODA,1254.6363636363637,Other_species,46570.03519999997,96987.06238235594
SHSL1,63.396523809523806,Other_species,46354.02910000001,4923.573854215095
ADMDC,75.4793545,Other_species,15658.629999999994,17353.093865810744
CYSDS_num1,50.296044,Other_species,92242.90719999999,1962.9233715218381
LCYSTST_num1,15520.605817180749,fill,42730.55299999997,1307593.2095203807
