reactions,metabolites,metabolitestotal,gpr,genes
ASNS1_num1,asp__L_c,asp__L,CD630_03910,CD630_03910
ASNS1_num1,gln__L_c,gln__L,CD630_03910,CD630_03910
ASNS2,asp__L_c,asp__L,CD630_26950,CD630_26950
SSALx,sucsal_c,sucsal,CD630_23420,CD630_23420
AMID_1,ad_c,ad,CD630_27370,CD630_27370
AGTi_num1,ala__L_c,ala__L,CD630_09940,CD630_09940
AGTi_num1,glx_c,glx,CD630_09940,CD630_09940
GLUDxi,glu__L_c,glu__L,CD630_01790,CD630_01790
ABTA,4abut_c,4abut,CD630_21580,CD630_21580
ABTA,akg_c,akg,CD630_21580,CD630_21580
SSALy_num1,sucsal_c,sucsal,CD630_23420,CD630_23420
ASPTA_num1,akg_c,akg,CD630_01070,CD630_01070
ASPTA_num1,asp__L_c,asp__L,CD630_01070,CD630_01070
GF6PTA_num1,f6p_c,f6p,CD630_01200,CD630_01200
GF6PTA_num1,gln__L_c,gln__L,CD630_01200,CD630_01200
A4PA,4abut_c,4abut,CD630_25320,CD630_25320
A4PA,pyr_c,pyr,CD630_25320,CD630_25320
ASNN_num1,asn__L_c,asn__L,CD630_03910,CD630_03910
GLUSy_num1,akg_c,akg,CD630_13390,CD630_13390
GLUSy_num1,gln__L_c,gln__L,CD630_13390,CD630_13390
GLUN_num1,gln__L_c,gln__L,CD630_01980,CD630_01980
3A2OA,akg_c,akg,CD630_21580,CD630_21580
3A2OA,ala_B_c,ala_B,CD630_21580,CD630_21580
A4GA,4abut_c,4abut,CD630_25320,CD630_25320
A4GA,glx_c,glx,CD630_25320,CD630_25320
UAMAS,ala__L_c,ala__L,CD630_35180,CD630_35180
UAMAS,uamr_c,uamr,CD630_35180,CD630_35180
GTHRDH_syn,gthrd_c,gthrd,CD630_15340,CD630_15340
UAMAGS,glu__D_c,glu__D,CD630_26530,CD630_26530
UAMAGS,uama_c,uama,CD630_26530,CD630_26530
GLNS,glu__L_c,glu__L,CD630_13430,CD630_13430
ALAALAD,alaala_c,alaala,CD630_16260,CD630_16260
ALAALAr,ala__D_c,ala__D,CD630_14080,CD630_14080
SPTc,pyr_c,pyr,CD630_09940,CD630_09940
SPTc,ser__L_c,ser__L,CD630_09940,CD630_09940
ARGSS,asp__L_c,asp__L,CD630_17850,CD630_17850
ARGSS,citr__L_c,citr__L,CD630_17850,CD630_17850
GLUSx_num1,akg_c,akg,CD630_13390,CD630_13390
GLUSx_num1,gln__L_c,gln__L,CD630_13390,CD630_13390
ASP4DC,asp__L_c,asp__L,CD630_25150,CD630_25150
G6PDA,gam6p_c,gam6p,CD630_10110,CD630_10110
ACGAMK,acgam_c,acgam,CD630_15850,CD630_15850
UAGDP,acgam1p_c,acgam1p,CD630_35150,CD630_35150
G1PACT,accoa_c,accoa,CD630_35150,CD630_35150
G1PACT,gam1p_c,gam1p,CD630_35150,CD630_35150
AGDC_num1,acgam6p_c,acgam6p,CD630_10100,CD630_10100
UAG2EMA,uacgam_c,uacgam,CD630_10330,CD630_10330
UAGCVT,pep_c,pep,CD630_01230,CD630_01230
UAGCVT,uacgam_c,uacgam,CD630_01230,CD630_01230
AMANK,acmana_c,acmana,CD630_21940,CD630_21940
UAPGR,uaccg_c,uaccg,CD630_34020,CD630_34020
ARGDC_num1,arg__L_c,arg__L,CD630_08880,CD630_08880
ALPHNH,allphn_c,allphn,CD630_13860 and CD630_13870,CD630_13860
ALPHNH,allphn_c,allphn,CD630_13860 and CD630_13870,CD630_13870
PTRCAT1,accoa_c,accoa,CD630_12120,CD630_12120
PTRCAT1,ptrc_c,ptrc,CD630_12120,CD630_12120
AGPR,acg5sa_c,acg5sa,CD630_20340,CD630_20340
AGMT,agm_c,agm,CD630_08910,CD630_08910
OCBT,cbp_c,cbp,CD630_20300,CD630_20300
OCBT,orn_c,orn,CD630_20300,CD630_20300
ACODA,acorn_c,acorn,CD630_03030,CD630_03030
ORNTAC,acorn_c,acorn,CD630_20330,CD630_20330
ORNTAC,glu__L_c,glu__L,CD630_20330,CD630_20330
SHSL1,cys__L_c,cys__L,CD630_18250,CD630_18250
SHSL1,suchms_c,suchms,CD630_18250,CD630_18250
SPMS,ametam_c,ametam,CD630_08900,CD630_08900
SPMS,ptrc_c,ptrc,CD630_08900,CD630_08900
ADMDC,amet_c,amet,CD630_08890,CD630_08890
CYSDS_num1,cys__L_c,cys__L,CD630_30290,CD630_30290
LCYSTST_num1,cys__L_c,cys__L,CD630_07530,CD630_07530
LCYSTST_num1,unsc_c,unsc,CD630_07530,CD630_07530
SPMDAT2,accoa_c,accoa,CD630_12120,CD630_12120
SPMDAT2,spmd_c,spmd,CD630_12120,CD630_12120
SPRMS,ametam_c,ametam,CD630_08900,CD630_08900
SPRMS,spmd_c,spmd,CD630_08900,CD630_08900
AHCYSNS,ahcys_c,ahcys,CD630_26110,CD630_26110
METGL,met__L_c,met__L,CD630_35770,CD630_35770
HSST,hom__L_c,hom__L,CD630_18260,CD630_18260
HSST,succoa_c,succoa,CD630_18260,CD630_18260
AHSERL,achms_c,achms,CD630_18250 and CD630_15940,CD630_15940
AHSERL,achms_c,achms,CD630_18250 and CD630_15940,CD630_18250
AHSERL,ch4s_c,ch4s,CD630_18250 and CD630_15940,CD630_15940
AHSERL,ch4s_c,ch4s,CD630_18250 and CD630_15940,CD630_18250
MTAN,5mta_c,5mta,CD630_26110,CD630_26110
CYSTL_num1,cyst__L_c,cyst__L,CD630_30290,CD630_30290
HCYSMT,amet_c,amet,CD630_35960,CD630_35960
HCYSMT,hcys__L_c,hcys__L,CD630_35960,CD630_35960
A24T,a24op_c,a24op,CD630_04430 and CD630_04440,CD630_04440
A24T,a24op_c,a24op,CD630_04430 and CD630_04440,CD630_04430
DOP1,dap24_c,dap24,CD630_04420,CD630_04420
DOP2,dap24_c,dap24,CD630_04420,CD630_04420
DHPS2_2,4abz_c,4abz,CD630_14500,CD630_14500
DHPS2_2,6hmhpt_c,6hmhpt,CD630_14500,CD630_14500
HPPK2,6hmhpt_c,6hmhpt,CD630_14520,CD630_14520
ADCS,chor_c,chor,CD630_14450 and CD630_14460,CD630_14460
ADCS,chor_c,chor,CD630_14450 and CD630_14460,CD630_14450
ADCS,gln__L_c,gln__L,CD630_14450 and CD630_14460,CD630_14460
ADCS,gln__L_c,gln__L,CD630_14450 and CD630_14460,CD630_14450
DHFS,dhpt_c,dhpt,CD630_32530,CD630_32530
DHFS,glu__L_c,glu__L,CD630_32530,CD630_32530
DACL_num1,abg4_c,abg4,CD630_28590,CD630_28590
DHPS2,4abz_c,4abz,CD630_14500,CD630_14500
DHPS2,6hmhptpp_c,6hmhptpp,CD630_14500,CD630_14500
FRUK,f1p_c,f1p,CD630_22700,CD630_22700
r0191_num1,f6p_c,f6p,CD630_31100,CD630_31100
SBTPD,sbt6p_c,sbt6p,CD630_07680,CD630_07680
MAN1PT2,man1p_c,man1p,CD630_27790,CD630_27790
A6PAG,gal_c,gal,CD630_22360,CD630_22360
HEX4,man_c,man,CD630_22360,CD630_22360
FBP,fdp_c,fdp,CD630_11910,CD630_11910
TALA_num1,g3p_c,g3p,CD630_23290,CD630_23290
TALA_num1,s7p_c,s7p,CD630_23290,CD630_23290
HEX7,fru_c,fru,CD630_18060,CD630_18060
A6PAG2,gal_bD_c,gal_bD,CD630_22360,CD630_22360
ID6P_num1,f6p_c,f6p,CD630_31100,CD630_31100
PFK_3_num1,s7p_c,s7p,CD630_31100,CD630_31100
M1PD,mnl1p_c,mnl1p,CD630_23310,CD630_23310
SBTD_D2_num1,sbt__D_c,sbt__D,CD630_04900,CD630_04900
CD6P_num1,f6p_c,f6p,CD630_31100,CD630_31100
PGK,3pg_c,3pg,CD630_31730,CD630_31730
LDH_L,lac__L_c,lac__L,CD630_21640,CD630_21640
HEX1_num1,glc__D_c,glc__D,CD630_24590,CD630_24590
ACS,ac_c,ac,CD630_21960,CD630_21960
ALCD2x_num1,etoh_c,etoh,CD630_03340,CD630_03340
PYK,pep_c,pep,CD630_33940,CD630_33940
OBFOX,2obut_c,2obut,CD630_26860,CD630_26860
OBFOX,fdxo_2_2_c,fdxo_2_2,CD630_26860,CD630_26860
SPT_syn,glx_c,glx,CD630_09940,CD630_09940
SPT_syn,ser__L_c,ser__L,CD630_09940,CD630_09940
GCALDD,gcald_c,gcald,CD630_22060,CD630_22060
TRSARr,2h3oppan_c,2h3oppan,CD630_28130,CD630_28130
GLYCL_copy2,gly_c,gly,CD630_16570 and CD630_07290,CD630_07290
GLYCL_copy2,gly_c,gly,CD630_16570 and CD630_07290,CD630_16570
GLYCL_copy2,thf_c,thf,CD630_16570 and CD630_07290,CD630_07290
GLYCL_copy2,thf_c,thf,CD630_16570 and CD630_07290,CD630_16570
TRSARyr,2h3oppan_c,2h3oppan,CD630_28130,CD630_28130
FDH,for_c,for,CD630_33170 and CD630_2179 and CD630_0769,CD630_2179
FDH,for_c,for,CD630_33170 and CD630_2179 and CD630_0769,CD630_0769
FDH,for_c,for,CD630_33170 and CD630_2179 and CD630_0769,CD630_33170
GLYCO,i2ac_c,i2ac,CD630_28680,CD630_28680
IG3PS,gln__L_c,gln__L,CD630_15510 and CD630_15530,CD630_15530
IG3PS,gln__L_c,gln__L,CD630_15510 and CD630_15530,CD630_15510
IG3PS,prlp_c,prlp,CD630_15510 and CD630_15530,CD630_15530
IG3PS,prlp_c,prlp,CD630_15510 and CD630_15530,CD630_15510
PRAMPC,prbamp_c,prbamp,CD630_15540,CD630_15540
HISTDa,histd_c,histd,CD630_15820,CD630_15820
PRATPP_num1,prbatp_c,prbatp,CD630_15540,CD630_15540
HISTP_num1,hisp_c,hisp,CD630_07370,CD630_07370
ASLP,asp__L_c,asp__L,CD630_20270,CD630_20270
