reactions,data_type,kcat,MW,kcat_MW
MANpts_num1,DLkcat,7645.8096,11489.326599999988,409250.70518947596
HMR_6515_num1,DLkcat,829.2057,49318.096,60528.30020039703
PSP_L_num1,DLkcat,758.2347,22830.6005,119560.80261664602
MANpts_num2,DLkcat,693.2633,10880.747199999993,37679.96207491046
GLCADpts_num4,DLkcat,641.7284,17646.331400000003,15312.338615771512
FUM,DLkcat,513.1096,30276.891499999998,26477.796247674974
UREASE,DLkcat,419.5023,36029.69699999999,41915.653079180775
PDH,DLkcat,392.6538,35665.08460000004,6887.8819505701695
AGPR,DLkcat,274.4688,38251.89060000003,25831.080882574708
AMID_1_reverse,DLkcat,271.3846,30505.547100000014,16013.227967971756
HMR_6515_reverse_num1,DLkcat,234.6511,49318.096,17128.478763657058
SR1_1_num2,DLkcat,223.5132,16979.917900000008,17788.928444109373
ASPTA_num3,DLkcat,216.4388,47308.501200000035,8235.091582229192
CSND,DLkcat,207.3099,17376.943999999996,21474.306414292416
HISTP_num2,DLkcat,196.9193,31184.066300000013,22733.067367805066
SDPDS_2_num3,DLkcat,182.0988,43475.5192,3769.6828701703002
ECOAH9ir,DLkcat,178.8676,28420.70800000001,11328.418700899354
HBCH_num2,DLkcat,163.512,28431.4542,10351.971374014347
H2CD,DLkcat,159.7918,28422.232500000006,2455.7939380421003
HBCH_num1,DLkcat,146.5263,28420.70800000001,9280.111529944992
DDPA_num2,DLkcat,135.9355,36690.146200000054,2222.975606458605
VPAMTr,DLkcat,133.7796,44797.155200000045,5375.414553109831
AMID_1,DLkcat,131.69,30505.547100000014,7770.455623134846
ASPTA_num2,DLkcat,127.4593,62016.17140000017,3699.4663620914753
MLG_num1,DLkcat,123.3022,14566.27309999999,30473.67826709224
LTHRK,DLkcat,121.8396,22830.6005,19212.046568814516
AAAN,DLkcat,119.1253,35665.08460000004,1394.6737427148912
LEUTA,DLkcat,114.8427,28403.51080000004,14555.725977367538
VALTA,DLkcat,114.8427,28403.51080000004,14555.725977367538
NPHS_reverse,DLkcat,111.4182,28420.70800000001,7056.571567464116
BTS4E_num3,DLkcat,108.8337,42020.47420000002,4662.028778342532
LTHRK_reverse,DLkcat,107.9013,22830.6005,17014.21213165199
PBUTT_num3,DLkcat,103.3311,32280.38250000002,2880.9444869496183
PROabc_num3,DLkcat,99.8548,27757.08860000001,12950.827991376582
SR5_num2,DLkcat,99.1787,40883.477399999996,3161.889042344899
FDIPDC_num2,DLkcat,98.6932,24384.172199999994,7285.37177899359
FRUpts_num4,DLkcat,98.5977,30979.544199999982,2920.8495036035197
FRUpts2_num4,DLkcat,98.5977,30979.544199999982,2920.8495036035197
SUCOAACTr,DLkcat,94.0499,56136.6665000001,6031.345662464645
CYTOM_num1,DLkcat,89.9408,62657.08100000011,2583.8011828224126
OAADC,DLkcat,85.5465,42712.149000000056,7210.299814228489
ACGAMK,DLkcat,84.4596,35098.8523,4331.403166706964
SPT_syn,DLkcat,82.8097,40044.32720000003,7444.623017664281
AGTi_num1,DLkcat,82.8097,40044.32720000003,7444.623017664281
CHOLD3_num1,DLkcat,81.8089,96290.0862000006,509.76525140964816
BTS_num2,DLkcat,81.0965,41300.26189999997,7068.899483177374
GTHRDH_syn,DLkcat,80.721,59961.73970000001,4846.350380324272
MAL6PG_num3,DLkcat,79.8017,50668.55060000009,1417.477491452062
FRUpts_num6,DLkcat,79.6682,26952.935,3139.374243991005
FRUpts2_num6,DLkcat,79.6682,26952.935,3139.374243991005
RIBabc_num1,DLkcat,78.7898,34495.02640000001,2261.713361493126
ALAt4_num2,DLkcat,78.0106,48199.626200000035,2913.28151420394
BUTCT2,DLkcat,76.617,23024.24430000002,1706.8347687430314
ACACCT,DLkcat,76.617,23024.24430000002,1706.8347687430314
A4GA,DLkcat,76.0528,42365.87869999996,6462.513900366718
AGTi_num2,DLkcat,76.0528,42365.87869999996,6462.513900366718
ALPHNH,DLkcat,75.8247,26140.809400000002,4390.649776016624
G3Pabc,DLkcat,74.752,48026.808800000035,1750.2602435968488
GLNabc_num3,DLkcat,73.5441,27757.08860000001,9538.419674172885
ACOAD1fr_num2,DLkcat,70.5745,28314.262400000025,2243.288174089958
MANpts_num4,DLkcat,69.2302,30979.544199999982,2050.869293141446
DHORTS_num2,DLkcat,68.9955,42235.973600000005,1470.214717626398
DPCOAK,DLkcat,68.688,22827.080700000013,5416.3036274717315
ACODA,DLkcat,68.5875,46570.03519999997,5302.014459289054
SLGH,DLkcat,67.1811,22919.916799999995,10552.0435397043
GLCADpts_num5,DLkcat,65.4871,18138.823899999996,1512.9806912064998
CELBpts,DLkcat,65.2533,11917.44499999999,1359.0083545525542
GLUN_num7,DLkcat,64.9891,38763.92400000002,3017.7641458589155
CBPS_num2,DLkcat,64.9891,38763.92400000002,3017.7641458589155
CBPS_num1,DLkcat,64.9891,38763.92400000002,740.5911556286921
M45TB_num2,DLkcat,63.842,7349.2759,1285.0801495266558
M45TB_num1,DLkcat,63.842,7349.2759,1444.359623123285
MAL6PG_reverse_num3,DLkcat,63.8108,50668.55060000009,1133.4391712400768
DHORD2_num3,DLkcat,63.2288,25628.503700000016,585.0566433806526
DHORD2_num2,DLkcat,63.2288,25628.503700000016,581.861762085977
DHORD2_num1,DLkcat,63.2288,25628.503700000016,1480.2768216234167
ALCD2x_num1,DLkcat,62.5865,96290.0862000006,389.9871885253309
GAPD_num1,DLkcat,61.3505,36032.87920000004,1532.3629758678828
PFK_3_num1,DLkcat,61.3309,45485.37299999998,2427.057594976742
TALA_num3,DLkcat,59.7056,23668.84700000001,4540.570987678443
PFK_num1,DLkcat,59.3565,45485.37299999998,2348.9243454153943
CD6P_num1,DLkcat,59.3565,45485.37299999998,2348.9243454153943
ID6P_num1,DLkcat,59.3565,45485.37299999998,2348.9243454153943
CT6PT_num2,DLkcat,59.3565,45485.37299999998,2348.9243454153943
r0191_num1,DLkcat,59.3565,45485.37299999998,2348.9243454153943
UT6PT_num2,DLkcat,59.3565,45485.37299999998,2348.9243454153943
ALAabc_num3,DLkcat,58.569,27757.08860000001,7596.200128856452
PYAS_num2,DLkcat,58.4859,31784.419800000014,1656.072702639045
DHDPS_num2,DLkcat,58.4859,31784.419800000014,1656.072702639045
SDPDS_2_num2,DLkcat,58.4118,42886.16109999999,1225.8178081600317
BUTCT,DLkcat,56.3569,23024.24430000002,1255.4905096593989
METabc_num3,DLkcat,56.1904,27757.08860000001,7287.703797580555
MANpts_num6,DLkcat,55.9035,26952.935,2202.9116767913815
GF6PTA_num2,DLkcat,55.0197,42300.00579999996,2341.263508762925
GTHRDH_syn_reverse,DLkcat,53.3862,59961.73970000001,3205.21587534926
POR_syn,DLkcat,51.8841,128881.18520000068,310.36547359676575
MPL,DLkcat,51.5653,89236.81250000051,520.06306253935
DCYTD,DLkcat,51.3813,16294.642299999989,2837.937105253304
ADA_num2,DLkcat,50.518,17376.943999999996,5232.933938211461
ACOAD1fr_reverse_num2,DLkcat,50.2308,28314.262400000025,1596.6412743282326
CPS_1_num1,DLkcat,50.0025,38763.92400000002,569.8095412819024
CPS_1_num2,DLkcat,50.0025,38763.92400000002,2321.8624616021834
BTS_nadph_num1,DLkcat,49.6468,96290.0862000006,309.3577041579158
BTS_num1,DLkcat,49.6468,96290.0862000006,309.3577041579158
MCOATA_2_num2,DLkcat,48.4498,8529.510999999995,10224.45952646055
DACL_reverse_num2,DLkcat,48.4359,59035.87800000007,2953.614749322434
GARFT,DLkcat,46.5673,21598.749600000006,3880.832990443112
HXPRT_num2,DLkcat,46.0851,20493.271599999993,4047.8251408135357
GUAPRT_num2,DLkcat,46.0851,20493.271599999993,4047.8251408135357
FRUpts_num3,DLkcat,45.5614,17559.133699999995,1367.0642573069526
FRUpts2_num3,DLkcat,45.5614,17559.133699999995,1367.0642573069526
ADPRDP_reverse,DLkcat,44.457,19967.683900000004,4007.6055090195005
ADA_num1,DLkcat,43.9335,37416.69370000004,1056.7515750329367
PHEabc_num3,DLkcat,43.9259,27757.08860000001,5697.039854532869
ALCD19y_num1,DLkcat,43.4382,96290.0862000006,270.6708554177184
ALCD19_num1,DLkcat,43.4382,96290.0862000006,270.6708554177184
GLUSy_num2,DLkcat,42.4434,49595.19420000004,1540.4339318022055
GLUSx_num2,DLkcat,42.4434,49595.19420000004,1540.4339318022055
TYRabc_num3,DLkcat,42.2017,27757.08860000001,5473.416977888666
SHK3Dr_num1,DLkcat,41.7645,31536.885400000014,2383.751567299666
SKDH_1_num1,DLkcat,41.7645,31536.885400000014,2383.751567299666
OMCDC_num1,DLkcat,41.1085,39368.72190000004,1879.5453961638495
MALTpts,DLkcat,41.0272,16952.5998,1987.0621463043478
MCHD_num2,DLkcat,40.8499,29099.65660000003,1263.4138782242521
SERAT,DLkcat,40.399,21432.883500000014,3392.833260163055
MAN1PT,DLkcat,40.0914,40676.93800000005,1774.08928862836
MAN1PT2,DLkcat,40.0914,40676.93800000005,1774.08928862836
PYK_reverse,DLkcat,39.9611,63109.483500000126,1139.7649926892504
ACALD_reverse_num1,DLkcat,39.1545,96290.0862000006,243.97838788101373
GLCADpts_num1,DLkcat,38.9428,17356.7203,1899.702270749575
TYRTA_num3,DLkcat,38.7727,44731.46450000004,3120.4370695263037
ASPTA_num5,DLkcat,38.7727,44731.46450000004,3120.4370695263037
PHETA1_num3,DLkcat,38.7727,44731.46450000004,3120.4370695263037
AEPPYRTA,DLkcat,38.4039,41260.8891,3350.7285716729743
DHBD,DLkcat,37.9109,26760.709799999997,1274.9964502062649
SR1_1_num1,DLkcat,37.4923,67618.29230000016,455.68349523584016
GLNSCP_reverse_num2,DLkcat,37.3503,119191.48650000071,564.0548832319463
SPT_syn_reverse,DLkcat,36.9086,40044.32720000003,3318.0969513204827
TREpts,DLkcat,36.8448,52208.81659999998,1210.8291888043964
OX3COA_num2,DLkcat,36.3246,41375.27670000002,1580.274144728559
ODCOA_num2,DLkcat,36.3246,41375.27670000002,1580.274144728559
BNOCA_num1,DLkcat,36.1665,96290.0862000006,225.3596487070116
BTCOARx_num1,DLkcat,36.1665,96290.0862000006,225.3596487070116
SBTpts_num2,DLkcat,35.9502,12922.611599999986,1096.8260887313857
CELLBpts_2_num1,DLkcat,35.7925,11765.63249999999,1780.6379225562018
DHFR,DLkcat,35.4271,26735.30570000002,2385.1898577692327
MANpts_num3,DLkcat,35.4205,17559.133699999995,1062.787788038579
GART,DLkcat,35.3847,21598.749600000006,2948.895708296002
FGFT_1,DLkcat,35.3847,21598.749600000006,2948.895708296002
ACCOAS_num2,DLkcat,35.0964,41375.27670000002,1526.8422361994737
SRCHD_num2,DLkcat,34.879,29099.65660000003,1078.7446886916173
PHETA1_reverse_num5,DLkcat,34.7364,41534.40330000006,1505.391074198962
AGTi_reverse_num2,DLkcat,34.359,42365.87869999996,2919.623144745494
A4PA,DLkcat,34.359,42365.87869999996,2919.623144745494
SPMDabc_num2,DLkcat,33.9714,26813.95780000001,1140.2367464007866
ALCD2x_num3,DLkcat,33.911,94669.94850000055,644.7642675119829
DACHpts,DLkcat,33.7883,48399.74410000004,842.573895763178
PHETA1_reverse_num3,DLkcat,33.7656,44731.46450000004,2717.4643477188165
ACTD_1,DLkcat,33.6944,26760.709799999997,1133.1896734667332
SAOR,DLkcat,33.6944,26760.709799999997,1133.1896734667332
HISabc_num3,DLkcat,33.4195,27757.08860000001,4334.395502848233
TRPabc_num3,DLkcat,33.2133,27757.08860000001,4307.652064056889
ASPCT,DLkcat,33.1796,119191.48650000071,501.070015600482
MB2CFO_num2,DLkcat,32.9085,41301.84820000003,1434.2045836098916
THEXCOA_num2,DLkcat,32.8775,41375.27670000002,1430.3106763271498
ACOAD1fr_num3,DLkcat,32.7727,41301.84820000003,1428.2862043931477
T2ECR_num2,DLkcat,32.7727,41301.84820000003,1428.2862043931477
SPTc,DLkcat,32.4752,40044.32720000003,2919.5326323275053
AGTi_reverse_num1,DLkcat,32.4752,40044.32720000003,2919.5326323275053
METGL,DLkcat,32.081,41876.71660000001,2757.895302613099
METDabc,DLkcat,31.8983,23187.78119999999,353.0977402219135
NADS2,DLkcat,31.8649,28011.630200000018,2047.6073541767648
DHDPRy_num1,DLkcat,31.768,27283.830000000005,1047.917392829379
DHDPRx_r_num1,DLkcat,31.768,27283.830000000005,1047.917392829379
MANPGH,DLkcat,31.7022,101350.94850000055,563.0333099447973
GLCpts_num5,DLkcat,31.5945,16952.5998,1530.210079688907
GLCADpts_num3,DLkcat,31.5945,16952.5998,1530.210079688907
ASLP_reverse,DLkcat,31.556,44436.26770000004,2556.5063377273673
GAPDi_nadp_num1,DLkcat,31.5372,36032.87920000004,787.7105751793481
XYLK,DLkcat,30.8746,56911.01630000003,1953.0236363043114
SHK3Dr_num3,DLkcat,30.6896,30207.768100000012,1828.7110725005857
TKT2_num4,DLkcat,30.6767,33845.78049999999,3262.9213558836386
TKT1_num4,DLkcat,30.6767,33845.78049999999,3262.9213558836386
X5TDG_num4,DLkcat,30.6767,33845.78049999999,3262.9213558836386
SBTpts_num1,DLkcat,30.62,13650.315899999983,1173.0760354210997
ADPRDP,DLkcat,30.5941,19967.683900000004,2757.9252694399875
ARGabc_num3,DLkcat,30.5349,27757.08860000001,3960.2726922880506
URAt2_num2,DLkcat,30.3198,47371.96600000001,1152.0661819270915
S7PTDG_num4,DLkcat,30.1409,33845.78049999999,3205.931090878522
GLCpts_num2,DLkcat,30.1296,49775.666200000036,2179.1081522480945
FRUpts2_num5,DLkcat,29.9789,27040.01180000001,903.880438086006
FRUpts_num5,DLkcat,29.9789,27040.01180000001,903.880438086006
SR5_num1,DLkcat,29.7849,14397.241599999981,922.0671104823854
ALCD2x_reverse_num1,DLkcat,29.36,96290.0862000006,182.94718278069098
ACALD_num1,DLkcat,29.36,96290.0862000006,182.94718278069098
PC,DLkcat,28.8669,128567.67300000094,404.1484051749123
CELLBpts_2_num3,DLkcat,28.2706,11855.37069999999,1457.9366066827088
DADA_num2,DLkcat,28.2305,17376.943999999996,2924.2713793633684
GLUabc_num3,DLkcat,28.1523,27757.08860000001,3651.2575746146504
AACT,DLkcat,28.0587,43842.60230000002,1151.9767840058157
ACOAD1fr_reverse_num3,DLkcat,27.4984,41301.84820000003,1198.4238516473933
DADA_num1,DLkcat,27.3928,37416.69370000004,658.8909270730132
HISTP_num1,DLkcat,27.3722,30152.77070000005,3268.022066045156
ASAD,DLkcat,26.9609,36757.44340000005,1320.266468804518
BTS_num3,DLkcat,26.8775,94669.94850000055,511.0333402156622
SUCOAS,DLkcat,26.7979,56136.6665000001,1718.5281210098183
MANPGH_reverse,DLkcat,26.6772,101350.94850000055,473.7889552163366
GALT,DLkcat,26.3547,37093.629000000015,2557.768613041338
UGLT,DLkcat,26.3547,37093.629000000015,2557.768613041338
AMPTASECG_num2,DLkcat,26.108,52795.091500000024,296.7094014791128
ASPabc_num3,DLkcat,25.5609,27757.08860000001,3315.161806991529
THRPDC_num1,DLkcat,25.1028,40863.400700000006,1105.7581901155863
S7PTDG_num3,DLkcat,24.5578,29896.6816,2957.120164132196
X5TDG_num3,DLkcat,24.5578,29896.6816,2957.120164132196
THRabc_num3,DLkcat,24.5335,27757.08860000001,3181.911520792565
LEUabc_num3,DLkcat,24.0898,27757.08860000001,3124.3651396494074
PCOAH_reverse,DLkcat,24.0732,49240.61489999999,880.0003835857867
PCA1_reverse,DLkcat,24.0732,49240.61489999999,880.0003835857867
MTHFR2,DLkcat,24.0615,31568.358799999998,1371.9655264435223
MRF,DLkcat,24.0615,31568.358799999998,1371.9655264435223
TKT1_num3,DLkcat,23.821,29896.6816,2868.3986118379103
TKT2_num3,DLkcat,23.821,29896.6816,2868.3986118379103
GLNSCP_num2,DLkcat,23.7994,119191.48650000071,359.41258270992154
CBPS_num3,DLkcat,23.7994,119191.48650000071,271.91008408068967
GLUN_num6,DLkcat,23.7994,119191.48650000071,359.41258270992154
ALCD19_num2,DLkcat,23.5158,94669.94850000055,447.1159081701597
