,kcat,data_type,MW,kcat_MW
5DGLCNR,3.1500000000000004,Other_species,62064.696400000015,182.7125670109618
ABTA,20.610285,Other_species,561745.0548000005,132.08309599880064
ACACT1r_num1,250225.12,Other_species,485622.12960000004,1854961.6607092938
ACALD,8.8213,Other_species,32008.132399999988,992.1441089765054
ACBIPGT,2.1918333333333333,Other_species,18141.6727,434.9433555815391
ACCC_1,5403.507963854259,fill,896485.5893000015,21698.763373390568
AGPAT160190_num1,5403.507963854259,fill,26954.76159999999,721676.8954793998
AGPAT190_num1,5403.507963854259,fill,61787.288600000276,314832.2108097044
ACChex,5403.507963854259,fill,712242.0228000011,27311.82385645008
ACGAMPM,15.053333333333333,Other_species,45872.60650000011,1181.3586393875366
CHLabc,5403.507963854259,fill,242435.11120000016,80238.4958745832
ACGAMT,5403.507963854259,fill,42256.51950000006,460346.2116626833
CHORM_num1,30.875,Database,21944.548900000005,5065.0391815527355
AHCYSNS,0.16566666666666666,Database,109357.0572,5.453694670196374
ACGK,63.46666666666667,Other_species,185618.38440000004,1230.9125560948473
AHMMPS,5403.507963854259,fill,239588.13040000078,81191.95486603817
AICART,5.363333333333333,Other_species,220102.14400000067,87.72290741520419
CHORS,0.0083,Database,167167.72040000028,0.17874264199154533
CHRPL,0.1585,Database,22586.754799999995,25.26259327878302
ACGS,2.1999998,Database,39176.8028,202.1604294876253
CIGAMS,5403.507963854259,fill,45594.0031000001,426648.8429895134
AIRCr,49.5,Other_species,126737.71380000016,1406.0534521019565
ACHBS_num1,3.1953333333333336,Database,66121.94210000016,173.96948175846111
AKGDb,186.0,Other_species,1370087.6136000035,488.7278691912103
ALAALAD_num1,99.76610434782609,Other_species,1000363.8288000013,359.0273511618331
ALAALAr,0.00073,Database,79419.62720000015,0.03309005711374071
ALAD_L,206.935,Database,232276.6998000003,3207.2351666845884
ALAR,37.0,Database,81446.48319999996,1635.4297296411696
CLPNS160190,5403.507963854259,fill,22911.067099999982,849049.4390754653
CMCBTFL,5403.507963854259,fill,215122.83390000084,90425.68060867878
CMCBTFU,5403.507963854259,fill,215122.83390000084,90425.68060867878
COBALTt5,5403.507963854259,fill,166001.43520000033,117183.49691638867
ALDD1_num1,0.294,Other_species,75775.53700000001,13.967568451543931
ACKr,494.38461538461536,Other_species,82635.37340000007,21537.805689695277
ACLS_num1,3.1953333333333336,Database,84308.67250000015,136.44147937449708
ALDD19xr,11.993335714285713,Other_species,48258.111900000134,894.6891387068222
ALDD2x_num1,21.974409677419356,Other_species,307741.32360000064,257.0596431876447
AMAOTr,0.210933334,Database,92637.67620000015,8.197096835207518
ACONT,201480.7374466683,Brenda_SA,102447.83260000084,7079999.999999999
CPPPGO,0.73460404,Other_species,41940.01069999999,63.056124685251945
ACOTA,1.185,Other_species,81818.87719999999,52.13955686011297
CRNabc,5403.507963854259,fill,242435.11120000016,80238.4958745832
ACP1_FMN,19.2125,Other_species,31806.604299999985,2174.5483845944545
CS_num1,41.69407407777778,Other_species,287867.05560000014,521.4166184009836
CTPS1,22.4,Database,254536.95280000064,316.81058138290007
CTPS2,22.4,Database,254536.95280000064,316.81058138290007
CYANST_num1,129.49428807142857,Other_species,31014.159700000015,15031.18064672707
CYO1a,5403.507963854259,fill,137073.76430000018,141913.58039384717
CYO1b,5403.507963854259,fill,160108.76960000017,121496.3347633852
CYRDAAT,262.93119210526316,Other_species,22809.744899999998,41497.714934065196
AMID4_num1,45.77454545454545,Other_species,101830.93860000023,1618.2543920533328
ACPS1,0.47831780487804876,Other_species,42007.87319999994,40.99098493662797
CYSS_num1,3.6476,Database,65504.65380000004,200.46453554419048
CYSTL_num1,1998.5073727272727,Other_species,42765.43820000007,168234.60356401003
ACS,827.4769230769231,Other_species,214425.33150000047,13892.560651477488
CYSTS,28.474196078431373,Other_species,97269.28620000016,1053.848649321668
CYTBD_num1,5403.507963854259,fill,156619.17100000038,124203.36888308063
CYTBD2,5403.507963854259,fill,373865.7770000009,52031.049287175825
