metname,inchikey
2pg,GXIURPTVHJPJLF-UWTATZPHSA-K
2mbdhl,UFNCWFSSEGPJNL-UHFFFAOYSA-N
gdpmann,MVMSCBBUIHUTGJ-GDJBGNAASA-L
no3,NHNBFGGVMKEFGY-UHFFFAOYSA-N
4ampm,SSWDVESQMBHOQT-UHFFFAOYSA-N
succoa,VNOYUJKHFWYWIR-ITIYDSSPSA-I
3hmbcoa,PEKYNTFSOBAABV-LQUDNSJZSA-J
dhap,GNGACRATGGDKBX-UHFFFAOYSA-L
stcoa,SIARJEKBADXQJG-LFZQUHGESA-J
msh,NA
undcoa,NA
xu5p__D,FNZLKVNUWIIPSJ-RFZPGFLSSA-L
5prdmbz,ZMRGXEJKZPRBPJ-SYQHCUMBSA-L
acorn,JRLGPAXAGHMNOL-LURJTMIESA-N
thdp,CXMBCXQHOXUCEO-BYPYZUCNSA-L
ppgpp,BUFLLCUFNHESEH-UUOKFMHZSA-I
2h24pdn,NA
cpmp,CZAKJJUNKNPTTO-AJFJRRQVSA-N
dcamp,OFBHPPMPBOJXRT-DPXQIYNJSA-J
uaaAgla,NA
tmha1,NA
2sephchc,XYCATPIYKOARSZ-OAIFWDMCSA-K
dttp,NHVNXKFIZYSCEB-XLPZGREQSA-J
uaagtmda,NA
chor,WTFXTQVDAKGDEY-HTQZYQBOSA-L
cbasp,HLKXYZVTANABHZ-REOHCLBHSA-L
glu__L,WHUUTDBJXJRKMK-VKHMYHEASA-M
glu__D,WHUUTDBJXJRKMK-GSVOUGTGSA-M
hexc,NA
gar,OBQMLSFOUZUIOB-HJZCUYRDSA-M
2dmmql8,FGYPGICSXJEKCG-AENDIINCSA-N
glu5sa,KABXUUFDPUOJMW-BYPYZUCNSA-N
dmbzid,LJUQGASMPRMWIW-UHFFFAOYSA-N
trp__L,QIVBCDIJIAJPQS-VIFPVBQESA-N
tre6mm,NA
dtmp,GYOZYWVXFNDGLU-XLPZGREQSA-L
3dhq,WVMWZWGZRAXUBK-SYTVJDICSA-M
hexccoa,NA
mmmeroacidcyc1AMP,NA
ugma,NA
aicar,NOTGFIUVDGNKRI-UUOKFMHZSA-L
23dhdp,UWOCFOFVIBZJGH-YFKPBYRVSA-L
thmmp,HZSAJDVWZRBGIF-UHFFFAOYSA-M
omtta,NA
tmha2,NA
tat,NA
chsterol,HVYWMOMLDIMFJA-DPAQBDIFSA-N
dtbt,AUTOLBMXDDTRRT-UHFFFAOYSA-M
2mp2coa,NPALUEYCDZWBOV-NDZSKPAWSA-J
phe__L,COLNVLDHVKWLRT-QMMMGPOBSA-N
orot5p,KYOBSHFOBAOFBF-XVFCMESISA-K
2mb2coa,PMWATMXOQQZNBX-DKBZLLMOSA-J
gthox,YPZRWBKMTBYPTK-BJDJZHNGSA-L
imacp,YCFFMSOLUMRAMD-UHFFFAOYSA-L
pentdcoa,NA
pdx5p,WHOMFKWHIQZTHY-UHFFFAOYSA-L
ptdcacoa,NA
forcoa,SXMOKYXNAPLNCW-GORZOVPNSA-J
glycogen,NA
mshfaldox,NA
2dda7p,PJWIPEXIFFQAQZ-PUFIMZNGSA-K
mmmeroacidcyc1ACP,NA
ump,DJJCXFVJDGTHFX-XVFCMESISA-L
moadcoo,NA
2shchc,QJYRAJSESKVEAE-PSASIEDQSA-L
ugmr,NA
arg__L,ODKSFYDXXFIFQN-BYPYZUCNSA-O
ahcys,ZJUKTBDSGOFHSH-WFMPWKQPSA-N
3pg,OSJPPGNTCRNQQC-UWTATZPHSA-K
xylu__D,ZAQJHHRNXZUBTE-WUJLRWPWSA-N
tyr__L,OUYCCCASQSFEME-QMMMGPOBSA-N
iacgam,NA
ugagmda,NA
gdpddman,PNHLMHWWFOPQLK-BKUUWRAGSA-L
chol4en3one,NA
dca,NA
decdp_tb,NA
ala_B,UCMIRNVEIXFBKS-UHFFFAOYSA-N
uagmda,PNWZQTONLRRPST-KLDRQJOASA-J
amycolate82,NA
tmhexc,NA
man6p,NBSCHQHZLSJFNQ-QTVWNMPRSA-L
aps,IRLPACMLTUPBCL-KQYNXXCUSA-L
3mop,JVQYSWDUAOAHFM-BYPYZUCNSA-M
f420_2h2,NA
2ahhmp,NA
thf,MSTNYGQPCMXVAQ-RYUDHWBXSA-L
peptido_TB2,NA
4cml,DHCUIDTZCMREHG-UHFFFAOYSA-L
hdca,IPCSVZSSVZVIGE-UHFFFAOYSA-M
cmcbtt,NA
gua,UYTPUPDQBNUYGX-UHFFFAOYSA-N
pphthdl,NA
pyr,LCTONWCANYUPML-UHFFFAOYSA-M
glu1sa,MPUUQNGXJSEWTF-BYPYZUCNSA-N
ppa,NA
lppg,JAIRGSHHKMPRGE-LJRSMJOYSA-K
kmeroacidcyc1ACP,NA
uppg3,HUHWZXWWOFSFKF-UHFFFAOYSA-F
prepphthACP,NA
3dhsk,SLWWJZMPHJJOPH-PHDIDXHHSA-M
tdm4,NA
sl1278,NA
phbz1g,NA
ragund,ORYXFVQODWYDMG-JXWMOMLFSA-L
cysOsh,NA
cholc5coa,NA
hom__L,UKAUYVFTDYCKQA-VKHMYHEASA-N
fmn,ANKZYBDXHMZBDK-SCRDCRAPSA-K
mlthf,QYNUQALWYRSVHF-OLZOCXBDSA-L
4hbz,FJKROLUGYXJWQN-UHFFFAOYSA-M
adocbl,ZIHHMGTYZOSFRC-QRVZQHAISA-N
acg5sa,BCPSFKBPHHBDAI-LURJTMIESA-M
mbhn,NA
prephthACP,NA
