reactions,metabolites,metabolitestotal,gpr,genes
5DGLCNR,5dglcn_c,5dglcn,Rv2573,Rv2573
ABTA,4abut_c,4abut,Rv2589,Rv2589
ABTA,akg_c,akg,Rv2589,Rv2589
ACALD,acald_c,acald,Rv3535c,Rv3535c
ACBIPGT,adocbip_c,adocbip,Rv0254c,Rv0254c
AGPAT160_num1,1hdecg3p_c,1hdecg3p,Rv2182c,Rv2182c
AGPAT160_num1,palmACP_c,palmACP,Rv2182c,Rv2182c
ACCC_1,hexccoa_c,hexccoa,Rv3799c and Rv3280 and Rv3285,Rv3285
ACCC_1,hexccoa_c,hexccoa,Rv3799c and Rv3280 and Rv3285,Rv3280
ACCC_1,hexccoa_c,hexccoa,Rv3799c and Rv3280 and Rv3285,Rv3799c
AGPAT160190_num1,1hdecg3p_c,1hdecg3p,Rv2182c,Rv2182c
AGPAT160190_num1,mstrACP_c,mstrACP,Rv2182c,Rv2182c
AGPAT190_num1,1msg3p_c,1msg3p,Rv2483c,Rv2483c
AGPAT190_num1,mstrACP_c,mstrACP,Rv2483c,Rv2483c
AGPR,acg5sa_c,acg5sa,Rv1652,Rv1652
ACChex,hexc_c,hexc,Rv3280,Rv3280
AHCi,ahcys_c,ahcys,Rv3248c,Rv3248c
CHLabc,chol_e,chol,Rv3756c and Rv3757c and Rv3758c and Rv3759c,Rv3759c
CHLabc,chol_e,chol,Rv3756c and Rv3757c and Rv3758c and Rv3759c,Rv3756c
CHLabc,chol_e,chol,Rv3756c and Rv3757c and Rv3758c and Rv3759c,Rv3758c
CHLabc,chol_e,chol,Rv3756c and Rv3757c and Rv3758c and Rv3759c,Rv3757c
ACGAMT,uacgam_c,uacgam,Rv1302,Rv1302
ACGAMT,udcpp_c,udcpp,Rv1302,Rv1302
AHCYSNS,ahcys_c,ahcys,Rv0091,Rv0091
ACGK,acglu_c,acglu,Rv1654,Rv1654
AHMMPS,air_c,air,Rv0423c,Rv0423c
AICART,10fthf_c,10fthf,Rv0957,Rv0957
AICART,aicar_c,aicar,Rv0957,Rv0957
ACGS,accoa_c,accoa,Rv2747,Rv2747
ACGS,glu__L_c,glu__L,Rv2747,Rv2747
CIGAMS,cys__L_c,cys__L,Rv2130c,Rv2130c
CIGAMS,igam_c,igam,Rv2130c,Rv2130c
AIRCr,air_c,air,Rv3275c and Rv3276c,Rv3275c
AIRCr,air_c,air,Rv3275c and Rv3276c,Rv3276c
ACHBS_num1,2obut_c,2obut,Rv3003c,Rv3003c
ACHBS_num1,pyr_c,pyr,Rv3003c,Rv3003c
AKGDb,sdhlam_c,sdhlam,Rv2215,Rv2215
ALAALAD_num1,alaala_c,alaala,Rv3330,Rv3330
ALAALAr,ala__D_c,ala__D,Rv2981c,Rv2981c
ALAD_L,ala__L_c,ala__L,Rv2780,Rv2780
CMCBTFL,cmcbtt_c,cmcbtt,Rv2895c and Rv1348 and Rv1349,Rv1348
CMCBTFL,cmcbtt_c,cmcbtt,Rv2895c and Rv1348 and Rv1349,Rv2895c
CMCBTFL,cmcbtt_c,cmcbtt,Rv2895c and Rv1348 and Rv1349,Rv1349
ALDD1_num1,fald_c,fald,Rv2259,Rv2259
ACKr,ac_c,ac,Rv0409,Rv0409
ACLS_num1,pyr_c,pyr,Rv3002c and Rv3003c,Rv3003c
ACLS_num1,pyr_c,pyr,Rv3002c and Rv3003c,Rv3002c
ALDD19xr,pacald_c,pacald,Rv2858c,Rv2858c
ALDD2x_num1,acald_c,acald,Rv0768 and Rv3293,Rv3293
ALDD2x_num1,acald_c,acald,Rv0768 and Rv3293,Rv0768
COCHL,hgbam_c,hgbam,Rv2062c,Rv2062c
AMAOTr,8aonn_c,8aonn,Rv1568,Rv1568
AMAOTr,amet_c,amet,Rv1568,Rv1568
CPC6R,copre6_c,copre6,Rv2070c,Rv2070c
CPPPGO,cpppg3_c,cpppg3,Rv2388c,Rv2388c
ACOTA,acorn_c,acorn,Rv1655,Rv1655
ACOTA,akg_c,akg,Rv1655,Rv1655
CRNabc,crn_e,crn,Rv3756c and Rv3757c and Rv3758c and Rv3759c,Rv3759c
CRNabc,crn_e,crn,Rv3756c and Rv3757c and Rv3758c and Rv3759c,Rv3756c
CRNabc,crn_e,crn,Rv3756c and Rv3757c and Rv3758c and Rv3759c,Rv3758c
CRNabc,crn_e,crn,Rv3756c and Rv3757c and Rv3758c and Rv3759c,Rv3757c
ACP1_FMN,fmn_c,fmn,Rv3310,Rv3310
CS_num1,accoa_c,accoa,Rv0896,Rv0896
CS_num1,oaa_c,oaa,Rv0896,Rv0896
CTPS2,gln__L_c,gln__L,Rv1699,Rv1699
CYANST_num1,cyan_c,cyan,Rv0815c,Rv0815c
CYANST_num1,tsul_c,tsul,Rv0815c,Rv0815c
CYO1a,ficytc_c,ficytc,Rv2195 and Rv2196 and Rv2194,Rv2195
CYO1a,ficytc_c,ficytc,Rv2195 and Rv2196 and Rv2194,Rv2196
CYO1a,ficytc_c,ficytc,Rv2195 and Rv2196 and Rv2194,Rv2194
CYO1a,qh2_c,qh2,Rv2195 and Rv2196 and Rv2194,Rv2195
CYO1a,qh2_c,qh2,Rv2195 and Rv2196 and Rv2194,Rv2196
CYO1a,qh2_c,qh2,Rv2195 and Rv2196 and Rv2194,Rv2194
CYO1b,focytc_c,focytc,Rv2193 and Rv1451 and Rv3043c and Rv2200c,Rv2193
CYO1b,focytc_c,focytc,Rv2193 and Rv1451 and Rv3043c and Rv2200c,Rv3043c
CYO1b,focytc_c,focytc,Rv2193 and Rv1451 and Rv3043c and Rv2200c,Rv1451
CYO1b,focytc_c,focytc,Rv2193 and Rv1451 and Rv3043c and Rv2200c,Rv2200c
CYRDAAT,co1dam_c,co1dam,Rv2849c,Rv2849c
AMID4_num1,ad_c,ad,Rv2888c,Rv2888c
ACPS1,apoACP_c,apoACP,Rv2523c,Rv2523c
CYSS_num1,acser_c,acser,Rv2334,Rv2334
CYSTL_num1,cyst__L_c,cyst__L,Rv0075,Rv0075
ACS,ac_c,ac,Rv3667,Rv3667
CYSTS,hcys__L_c,hcys__L,Rv1077,Rv1077
CYSTS,ser__L_c,ser__L,Rv1077,Rv1077
CYTBD2,mql8_c,mql8,Rv1620c and Rv1621c and Rv1622c and Rv1623c,Rv1621c
CYTBD2,mql8_c,mql8,Rv1620c and Rv1621c and Rv1622c and Rv1623c,Rv1623c
CYTBD2,mql8_c,mql8,Rv1620c and Rv1621c and Rv1622c and Rv1623c,Rv1622c
CYTBD2,mql8_c,mql8,Rv1620c and Rv1621c and Rv1622c and Rv1623c,Rv1620c
ACS2,ppa_c,ppa,Rv3667,Rv3667
CYTD,cytd_c,cytd,Rv3315c,Rv3315c
AMPTASECG,cgly_c,cgly,Rv2467,Rv2467
ANPRT,anth_c,anth,Rv2192c,Rv2192c
ANPRT,prpp_c,prpp,Rv2192c,Rv2192c
ANS,chor_c,chor,Rv1609,Rv1609
ANS,gln__L_c,gln__L,Rv1609,Rv1609
AOXSr,ala__L_c,ala__L,Rv1569 and Rv0032,Rv0032
AOXSr,ala__L_c,ala__L,Rv1569 and Rv0032,Rv1569
AOXSr,pmcoa_c,pmcoa,Rv1569 and Rv0032,Rv0032
AOXSr,pmcoa_c,pmcoa,Rv1569 and Rv0032,Rv1569
APRAUR_num1,5apru_c,5apru,Rv2671,Rv2671
ADA,adn_c,adn,Rv3313c,Rv3313c
ARGDC,arg__L_c,arg__L,Rv2531c,Rv2531c
ADCPS1,adcobhex_c,adcobhex,Rv2236c,Rv2236c
ADCPS1,appl_c,appl,Rv2236c,Rv2236c
ARGDr,arg__L_c,arg__L,Rv1001,Rv1001
ARGSS,asp__L_c,asp__L,Rv1658,Rv1658
ARGSS,citr__L_c,citr__L,Rv1658,Rv1658
DAGK160_num1,12dgr160_c,12dgr160,Rv0499,Rv0499
DALAOX,ala__D_c,ala__D,Rv1905c,Rv1905c
DALAt2r,ala__D_e,ala__D,Rv1704c,Rv1704c
DAPDC,26dap__M_c,26dap__M,Rv1293,Rv1293
DASYN160,pa160_c,pa160,Rv2881c,Rv2881c
ASAD,aspsa_c,aspsa,Rv3708c,Rv3708c
ASNN,asn__L_c,asn__L,Rv1538c,Rv1538c
DASYN160190,pa160190_c,pa160190,Rv2881c,Rv2881c
ASNS1,asp__L_c,asp__L,Rv2201,Rv2201
ASNS1,gln__L_c,gln__L,Rv2201,Rv2201
ADCPS2_num1,adcobhex_c,adcobhex,Rv0254c,Rv0254c
ADCPS2_num1,applp_c,applp,Rv0254c,Rv0254c
DASYN190190,pa190190_c,pa190190,Rv2881c,Rv2881c
ASNt2r_num1,asn__L_e,asn__L,Rv2127,Rv2127
DBTS,dann_c,dann,Rv1570,Rv1570
ASP1DC,asp__L_c,asp__L,Rv3601c,Rv3601c
ADCS,chor_c,chor,Rv0013 and Rv1005c,Rv1005c
ADCS,chor_c,chor,Rv0013 and Rv1005c,Rv0013
ADCS,gln__L_c,gln__L,Rv0013 and Rv1005c,Rv1005c
ADCS,gln__L_c,gln__L,Rv0013 and Rv1005c,Rv0013
