reactions,data_type,kcat,MW,kcat_MW
ANS,DLkcat,11853.9957,55848.32940000009,382056.05233376886
ACOTA_reverse,DLkcat,1976.7929,40909.4386,86978.14836305282
AOXSr,DLkcat,1682.3029,40027.437000000085,36418.4909271775
RBFK,DLkcat,1456.8913,36089.783800000056,72663.34302617784
ASPK_reverse,DLkcat,1157.4185,44461.16900000006,46857.81653649271
MDFDH_reverse,DLkcat,707.4288,37887.768500000006,33609.04826052239
PPCOAC,DLkcat,596.4028,63782.22350000012,2500.00075394165
MCBTS3,DLkcat,546.0549,46623.7927000001,1694.4101180362707
UREA,DLkcat,536.2326,22335.027399999988,8807.521468642386
TKT2,DLkcat,470.3249,75587.81870000032,11200.016544464677
PGSA190_num2,DLkcat,417.71,22911.067099999986,65634.48107574182
ASPO5,DLkcat,417.71,53784.17110000017,13979.540534371046
SDPTA_num2,DLkcat,417.71,42208.603300000126,17813.38260960646
PPNCL3,DLkcat,358.6866,43576.43590000008,2469.3616579138316
PDHbr_reverse_num2,DLkcat,301.0581,41060.51620000005,1099.808750090676
NMO_num1,DLkcat,293.8015,33567.94890000005,15754.394216204231
SDPTA_reverse_num2,DLkcat,272.825,42208.603300000126,11634.713342907477
FTHFCL,DLkcat,268.5447,21412.7059,11287.234370505226
CS_num1,DLkcat,238.2301,47977.842600000025,2979.251509737537
PHETA1_num1,DLkcat,173.0723,41080.24240000008,7583.454278741046
GCCb,DLkcat,153.7463,14237.414799999986,10531.66381824764
GLYCK,DLkcat,153.7463,37831.595200000025,14630.276018601497
GLYCS_I_num1,DLkcat,146.3333,24197.33920000001,5442.745952827738
GTHRDt2_1,DLkcat,146.0887,31373.83010000002,906.5257427967615
MMPL8,DLkcat,144.4899,115996.88030000098,2242.144955341508
PRASCSi,DLkcat,129.2342,32929.7724,7064.171509427133
SHCHF_num2,DLkcat,127.8798,41969.963100000045,10968.970330116861
FACOAL181_reverse_num3,DLkcat,127.4139,62828.62650000018,7300.653628008225
