reactions,metabolites,metabolitestotal,gpr,genes
3OAS161,malACP_c,malACP,CLJU_RS20760,CLJU_RS20760
3OAS161,tdeACP_c,tdeACP,CLJU_RS20760,CLJU_RS20760
3OAS180,malACP_c,malACP,CLJU_RS20760,CLJU_RS20760
3OAS180,palmACP_c,palmACP,CLJU_RS20760,CLJU_RS20760
3OAS181,hdeACP_c,hdeACP,CLJU_RS20760,CLJU_RS20760
3OAS181,malACP_c,malACP,CLJU_RS20760,CLJU_RS20760
3OAS60,butACP_c,butACP,CLJU_RS20760,CLJU_RS20760
3OAS60,malACP_c,malACP,CLJU_RS20760,CLJU_RS20760
3OAS80,hexACP_c,hexACP,CLJU_RS20760,CLJU_RS20760
3OAS80,malACP_c,malACP,CLJU_RS20760,CLJU_RS20760
3OAS100,malACP_c,malACP,CLJU_RS20760,CLJU_RS20760
3OAS100,ocACP_c,ocACP,CLJU_RS20760,CLJU_RS20760
3OAS120,dcaACP_c,dcaACP,CLJU_RS20760,CLJU_RS20760
3OAS120,malACP_c,malACP,CLJU_RS20760,CLJU_RS20760
3OAS121,cdec3eACP_c,cdec3eACP,CLJU_RS20760,CLJU_RS20760
3OAS121,malACP_c,malACP,CLJU_RS20760,CLJU_RS20760
3OAS140,ddcaACP_c,ddcaACP,CLJU_RS20760,CLJU_RS20760
3OAS140,malACP_c,malACP,CLJU_RS20760,CLJU_RS20760
3OAR100_num1,3odecACP_c,3odecACP,CLJU_RS17225,CLJU_RS17225
3OAR120_num1,3oddecACP_c,3oddecACP,CLJU_RS17225,CLJU_RS17225
3OAR121_num1,3ocddec5eACP_c,3ocddec5eACP,CLJU_RS17225,CLJU_RS17225
3OAR140_num1,3omrsACP_c,3omrsACP,CLJU_RS17225,CLJU_RS17225
3OAR141_num1,3ocmrs7eACP_c,3ocmrs7eACP,CLJU_RS17225,CLJU_RS17225
3OAR160_num1,3opalmACP_c,3opalmACP,CLJU_RS20765,CLJU_RS20765
3OAR161_num1,3ocpalm9eACP_c,3ocpalm9eACP,CLJU_RS20765,CLJU_RS20765
3OAR180_num1,3ooctdACP_c,3ooctdACP,CLJU_RS20765,CLJU_RS20765
3OAR181_num1,3ocvac11eACP_c,3ocvac11eACP,CLJU_RS20765,CLJU_RS20765
3OAS141,cddec5eACP_c,cddec5eACP,CLJU_RS20760,CLJU_RS20760
3OAS141,malACP_c,malACP,CLJU_RS20760,CLJU_RS20760
3OAS160,malACP_c,malACP,CLJU_RS20760,CLJU_RS20760
3OAS160,myrsACP_c,myrsACP,CLJU_RS20760,CLJU_RS20760
ACBIPGT,adocbip_c,adocbip,CLJU_RS17490,CLJU_RS17490
4HTHRS_num1,phthr_c,phthr,CLJU_RS19875,CLJU_RS19875
ABFA,araban__L_e,araban__L,CLJU_RS00605,CLJU_RS00605
ABTA,4abut_c,4abut,CLJU_RS10045,CLJU_RS10045
ABTA,akg_c,akg,CLJU_RS10045,CLJU_RS10045
ACGK,acglu_c,acglu,CLJU_RS10565,CLJU_RS10565
ACGS,accoa_c,accoa,CLJU_RS10570,CLJU_RS10570
ACGS,glu__L_c,glu__L,CLJU_RS10570,CLJU_RS10570
ACALD_num1,acald_c,acald,CLJU_RS08095,CLJU_RS08095
ACHBS_num1,2obut_c,2obut,CLJU_RS10025 and (CLJU_RS10020,CLJU_RS10020
ACHBS_num1,2obut_c,2obut,CLJU_RS10025 and (CLJU_RS10020,CLJU_RS10025
