reactions,data_type,kcat,MW,kcat_MW
3OAS181,DLkcat,72.7226,,inf
3OAS100,DLkcat,3.592,,inf
3OAS60,DLkcat,3.4766,,inf
3OAS161,DLkcat,0.9203,,inf
3OAS180,DLkcat,0.1892,,inf
3OAS120,DLkcat,,,
3OAS121,DLkcat,,,
3OAS140,DLkcat,,,
3OAR100_num1,DLkcat,,,
3OAR120_num1,DLkcat,,,
3OAR121_num1,DLkcat,,,
3OAR140_num1,DLkcat,,,
3OAR141_num1,DLkcat,,,
3OAR160_num1,DLkcat,,,
3OAR161_num1,DLkcat,,,
3OAR180_num1,DLkcat,,,
3OAR181_num1,DLkcat,,,
3OAS141,DLkcat,,,
3OAS160,DLkcat,,,
ACBIPGT,DLkcat,,,
4HTHRS_num1,DLkcat,,,
ABFA,DLkcat,,,
ABTA,DLkcat,,,
ACGK,DLkcat,,,
ACGS,DLkcat,,,
ACALD_num1,DLkcat,,,
ACHBS_num1,DLkcat,,,
ACCOAC,DLkcat,,,
ACLS_num1,DLkcat,,,
ADOCBIK,DLkcat,,,
ACPS1,DLkcat,,,
ACKr,DLkcat,,,
ADA,DLkcat,,,
ACLDC,DLkcat,,,
ADCPS2,DLkcat,,,
ADCPS1,DLkcat,,,
ACOTA,DLkcat,,,
ACOAD1z,DLkcat,,,
ACONTb_num1,DLkcat,,,
ACOATA,DLkcat,,,
ADCYRS,DLkcat,,,
ADCS,DLkcat,,,
ADD_num1,DLkcat,,,
ADMDC,DLkcat,,,
ADOCBLS,DLkcat,,,
ADPRDP,DLkcat,,,
ADPT,DLkcat,,,
ADSS,DLkcat,,,
AHCYSNS,DLkcat,,,
AGPAT120_num1,DLkcat,,,
AGPR,DLkcat,,,
AHSERL2,DLkcat,,,
AIRCr,DLkcat,,,
AICART_num1,DLkcat,,,
ALAALAr,DLkcat,,,
ALATA_L,DLkcat,,,
ALCD2y,DLkcat,,,
AMMQLT8,DLkcat,,,
DHPPDA,DLkcat,,,
ALCD4y_num1,DLkcat,,,
ALLTN_num1,DLkcat,,,
CYSSADS,DLkcat,,,
CYRDAAT,DLkcat,,,
ALLTNt2r_num1,DLkcat,,,
AMAA_num1,DLkcat,,,
ASP4DC,DLkcat,,,
ANPRT,DLkcat,,,
CTPS2,DLkcat,,,
APRAUR,DLkcat,,,
ASPO2,DLkcat,,,
CYRDAS,DLkcat,,,
ASPCT,DLkcat,,,
ASPK_num1,DLkcat,,,
ACAFDOR_num1,DLkcat,,,
ANS,DLkcat,,,
ASPO2y,DLkcat,,,
CYSDS,DLkcat,,,
ATPPRT,DLkcat,,,
BACCL,DLkcat,,,
BTDD_RR,DLkcat,,,
ANS2,DLkcat,,,
ARABR,DLkcat,,,
CYSTL,DLkcat,,,
ARBabc,DLkcat,,,
ARBt2r,DLkcat,,,
BTNt2i,DLkcat,,,
CYSTS,DLkcat,,,
CBIAT,DLkcat,,,
CYSS_num1,DLkcat,,,
CBLAT,DLkcat,,,
ARGDr,DLkcat,,,
ARGN,DLkcat,,,
CYTD,DLkcat,,,
ARGDC_num1,DLkcat,,,
CDPMEK,DLkcat,,,
ARGSS,DLkcat,,,
CBPS_num1,DLkcat,,,
ASAD,DLkcat,,,
DCYTD,DLkcat,,,
ARGt2r_num1,DLkcat,,,
ASNS1_num1,DLkcat,,,
CODH4,DLkcat,,,
CYTDK2,DLkcat,,,
CODH_ACS,DLkcat,,,
CPC2MT,DLkcat,,,
CPC3MT,DLkcat,,,
D_LACt2,DLkcat,,,
CPC4MT,DLkcat,,,
DAGK120,DLkcat,,,
CPC6MT,DLkcat,,,
CPC5MT,DLkcat,,,
DAPDC,DLkcat,,,
CPC6R,DLkcat,,,
CPPPGOAN2,DLkcat,,,
CS,DLkcat,,,
DSERt2_num1,DLkcat,,,
CSND,DLkcat,,,
DALAt2r_num1,DLkcat,,,
FOLR2,DLkcat,,,
LDAPAT,DLkcat,,,
CSNt2_num1,DLkcat,,,
DASYN120,DLkcat,,,
FRTT,DLkcat,,,
DASYN140,DLkcat,,,
DURAD,DLkcat,,,
DURIPP,DLkcat,,,
DXPRIi,DLkcat,,,
DASYN160,DLkcat,,,
DXPS,DLkcat,,,
EAR100x,DLkcat,,,
DASYN161,DLkcat,,,
GPDDA1,DLkcat,,28622.549200000023,
GPDDA2,DLkcat,,28622.549200000023,
DASYN180,DLkcat,,,
GPDDA4,DLkcat,,28622.549200000023,
FACOAL140,DLkcat,,,
FACOAL160,DLkcat,,,
DASYN181,DLkcat,,,
FACOAL180,DLkcat,,,
DDPA_num1,DLkcat,,,
FBP,DLkcat,,,
FDH7_num1,DLkcat,,77274.30600000045,
FORt2,DLkcat,,,
G1PTT_num1,DLkcat,,,
FGLU,DLkcat,,,
FMNAT,DLkcat,,,
FRD2,DLkcat,,,
FRNDPR2r,DLkcat,,,
DHAK,DLkcat,,,
HPPK,DLkcat,,,
FRUK,DLkcat,,,
FUM,DLkcat,,,
GRTT,DLkcat,,,
FRUpts_num1,DLkcat,,,
DHFR,DLkcat,,,
FTHFLi,DLkcat,,,
DHDPRy_num1,DLkcat,,,
G1PACT,DLkcat,,,
G3PAT140,DLkcat,,,
GLCURt2r,DLkcat,,,
