,UniProtID,proteinNames,txt_subunit,geneNames
0,V5ASH7,['Trypanothione synthetase'],,[]
1,V5D9C0,['Cytochrome c1'],,[]
2,V5DKE1,['Reiske iron-sulfur protein'],,[]
3,V5BI84,['Cytochrome c oxidase assembly factor'],,[]
4,V5BF65,['Cytochrome c oxidase subunit IV'],,[]
5,V5BQS4,['Cytochrome c oxidase assembly factor'],,[]
6,V5BL70,['Vacuolar ATP synthase subunit b'],,[]
7,V5B8F9,['ATP synthase subunit beta'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[]
8,V5B9K0,['ATPase subunit 9'],"F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[]
9,V5BLX9,"['ATP synthase subunit gamma, mitochondrial']","F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.",[]
10,V5ARU6,['V-type proton ATPase subunit'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[]
11,V5BSS9,['Vacuolar ATP synthase subunit d'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[]
12,V5AVB0,['ATPase alpha subunit'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[]
13,V5BGR0,['Vacuolar ATP synthase subunit B'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[]
14,V5BW59,['H(+)-transporting two-sector ATPase'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[]
15,V5B9V5,['(H )-ATPase G subunit'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[]
16,V5B1U1,['ATP synthase'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[]
17,V5BAS5,['Nitroreductase'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[]
18,V5DLP7,['NADH dehydrogenase'],V-ATPase is a heteromultimeric enzyme made up of two complexes: the ATP-hydrolytic V1 complex and the proton translocation V0 complex.,[]
19,V5BVY2,['Aspartate aminotransferase'],Homodimer.,[]
20,V5BPC6,['Calcium-transporting ATPase'],Homodimer.,[]
21,V5BLM1,['Calcium-transporting ATPase'],Homodimer.,[]
22,V5B873,['Calcium-transporting ATPase'],Homodimer.,[]
23,V5BSS0,['Aspartate aminotransferase'],Homodimer.,[]
24,V5BQ82,['Alternative oxidase'],Homodimer.,[]
25,V5DRT6,['L-ribulokinase'],Homodimer.,[]
26,V5C2V4,"['6-phosphogluconate dehydrogenase, decarboxylating']",Homodimer.,[]
27,V5DGS5,['asparagine--tRNA ligase'],Homodimer.,[]
28,V5DCW6,['Ribose 5-phosphate isomerase'],Homodimer.,[]
29,V5BZ97,['Asparagine synthetase a'],Homodimer.,[]
30,V5BMZ6,"['phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)']",Homodimer.,[]
31,V5B6A2,['Phosphomannomutase-like protein'],Homodimer.,[]
32,V5BF33,['Transketolase'],Homodimer.,[]
33,V5AS93,['aspartate--tRNA ligase'],Homodimer.,[]
34,V5BHK0,['Transaldolase'],Homodimer.,[]
35,V5AJF7,['glucose-6-phosphate dehydrogenase (NADP(+))'],Homodimer.,[]
36,V5BCV0,['Ribulose-phosphate 3-epimerase'],Homodimer.,[]
37,V5D050,"['6-phosphogluconolactonase', '6PGL']",Homodimer.,[]
38,V5AR14,['aspartate--tRNA ligase'],Homodimer.,[]
39,V5BQA6,['Phosphoribosylpyrophosphate synthetase'],Homodimer.,[]
40,V5BEF5,['Phosphoribosylpyrophosphate synthetase'],Homodimer.,[]
41,V5BUU3,['asparaginase'],Homodimer.,[]
42,V5DQE3,['ribose-phosphate diphosphokinase'],Homodimer.,[]
43,V5B6R2,"['Pyridoxal phosphate homeostasis protein', 'PLP homeostasis protein']",Homodimer.,[]
44,V5BQZ6,['Ribose-phosphate pyrophosphokinase'],Homodimer.,[]
45,V5BHA6,['Ribulose-phosphate 3-epimerase'],Homodimer.,[]
46,V5BC96,['Alanine racemase 2'],Homodimer.,[]
47,V5BXE5,"['Ribokinase', 'RK']",Homodimer.,[]
48,V5BBY0,['Alanine--tRNA ligase'],Monomer.,[]
49,V5DHA5,['phenylalanine--tRNA ligase'],Monomer.,[]
50,V5B123,['phenylalanine--tRNA ligase'],Monomer.,[]
51,V5AW05,['tyrosine--tRNA ligase'],Monomer.,[]
52,V5ANS4,['Multifunctional fusion protein'],Monomer.,[]
53,V5BYI4,['UDP-N-acetylglucosamine diphosphorylase'],Monomer.,[]
54,V5AZ66,['proline--tRNA ligase'],Monomer.,[]
55,V5B9I1,['adenine phosphoribosyltransferase'],Homodimer.,[]
56,V5B892,"['Phosphoacetylglucosamine mutase', 'PAGM', 'Acetylglucosamine phosphomutase', 'N-acetylglucosamine-phosphate mutase']",Homodimer.,[]
57,V5BQ29,['adenine phosphoribosyltransferase'],Homodimer.,[]
58,V5DH46,['Ribonucleoside-diphosphate reductase'],Homodimer.,[]
59,V5ASN2,['Ribonucleoside-diphosphate reductase small chain'],Homodimer.,[]
60,V5BBP4,['Adenylosuccinate synthetase'],Homodimer.,[]
61,V5DPM3,['glutamine--fructose-6-phosphate transaminase (isomerizing)'],Homodimer.,[]
62,V5BLW1,['adenosine kinase'],Homodimer.,[]
63,V5B941,"['Adenosine kinase', 'AK']",Homodimer.,[]
64,V5B6B6,['Uncharacterized protein'],Homodimer.,[]
65,V5BRJ2,['Uncharacterized protein'],Homodimer.,[]
66,V5BVI6,['Glucosamine-6-phosphate isomerase'],Homodimer.,[]
67,V5DEL0,['Hypoxanthine-guanine phosphoribosyltransferase'],Homodimer.,[]
68,V5B6T5,['Adenylate kinase'],Homodimer.,[]
69,V5BHT0,['Adenylate kinase'],Homodimer.,[]
70,V5BI73,['Glucosamine 6-phosphate N-acetyltransferase'],Homodimer.,[]
71,V5DL03,['Adenylate kinase'],Homodimer.,[]
72,V5BMU5,['Adenylate kinase'],Monomer.,[]
73,V5BRV4,['Adenylate kinase'],Monomer.,[]
74,V5BH98,['adenylate kinase'],Monomer.,[]
75,V5BE01,"['Adenylosuccinate lyase', 'ASL']",Monomer.,[]
76,V5C1U3,['Arginase'],Monomer.,[]
77,V5BDG8,"[""Inosine-5'-monophosphate dehydrogenase""]",Homotetramer.,[]
78,V5BJ89,['AMP deaminase'],Homotetramer.,[]
79,V5BQK5,['arginine--tRNA ligase'],Homotetramer.,[]
80,V5ARK9,['AMP deaminase'],Homotetramer.,[]
81,V5BVR2,['Pyrroline-5-carboxylate reductase'],Homotetramer.,[]
82,V5BI86,['Adenosine monophosphate deaminase'],Homotetramer.,[]
83,V5BDR7,['Adenosine monophosphate deaminase'],Homotetramer.,[]
84,V5BPS0,['Short chain 3-hydroxyacyl-CoA dehydrogenase'],Homotetramer.,[]
85,V5BB33,['Putative AMP deaminase'],Homotetramer.,[]
86,V5BK58,['AMP deaminase'],Homotetramer.,[]
87,V5DLW4,['Nucleoside diphosphate kinase'],Homotetramer.,[]
88,V5BXY9,['Nucleoside diphosphate kinase'],Homotetramer.,[]
89,V5BGH8,['fumarate hydratase'],Homodimer.,[]
90,V5BBK5,"['adenylate cyclase', 'ATP pyrophosphate-lyase', 'Adenylyl cyclase']",Homodimer.,[]
91,V5DHC0,"['adenylate cyclase', 'ATP pyrophosphate-lyase', 'Adenylyl cyclase']",Homodimer.,[]
92,V5B829,"['Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial']",Heterodimer of an alpha and a beta subunit.,[]
93,V5DC93,['adenylate cyclase'],Heterodimer of an alpha and a beta subunit.,[]
94,V5B9G3,['Isocitrate dehydrogenase [NADP]'],Homodimer.,[]
95,V5B1C8,"['adenylate cyclase', 'ATP pyrophosphate-lyase', 'Adenylyl cyclase']",Homodimer.,[]
96,V5B0B5,['Succinyl-CoA ligase [GDP-forming] beta-chain'],Homodimer.,[]
97,V5AW53,['adenylate cyclase'],Homodimer.,[]
98,V5CJA3,['adenylate cyclase'],Homodimer.,[]
99,V5B6G9,"['Aconitate hydratase', 'Aconitase']",Homodimer.,[]
100,V5AYH7,"['adenylate cyclase', 'ATP pyrophosphate-lyase', 'Adenylyl cyclase']",Homodimer.,[]
101,V5BRQ9,['Malate dehydrogenase'],Homodimer.,[]
102,V5BBU2,['Guanylate kinase'],Homodimer.,[]
103,V5AZT5,['Putative guanylate kinase'],Homodimer.,[]
104,V5B917,['NADH-dependent fumarate reductase'],Homodimer.,[]
105,V5DJK9,['NADH-dependent fumarate reductase'],Homodimer.,[]
106,V5DBV2,['GMP synthase (glutamine-hydrolyzing)'],Homodimer.,[]
107,V5BLN7,"['Guanine deaminase', 'Guanase']",Homodimer.,[]
108,V5BWU3,['oxoglutarate dehydrogenase (succinyl-transferring)'],Homodimer.,[]
109,V5D8L8,['RNase H type-1 domain-containing protein'],Homodimer.,[]
110,V5BCM3,['Acyl-CoA binding protein'],Homodimer.,[]
111,V5BXQ7,['Deoxyuridine triphosphatase'],Homodimer.,[]
112,V5BIL1,['2-oxoglutarate dehydrogenase subunit'],Homodimer.,[]
113,V5DPL1,['Bifunctional dihydrofolate reductase-thymidylate synthase'],Homodimer.,[]
114,V5DCU5,['dihydrolipoyllysine-residue succinyltransferase'],Homodimer.,[]
115,V5B553,['thymidine kinase'],Homodimer.,[]
116,V5BWC7,['Citrate synthase'],Homodimer.,[]
117,V5AU19,['dTMP kinase'],Homodimer.,[]
118,V5BA93,['Uracil phosphoribosyltransferase'],Homodimer.,[]
119,V5BFJ9,"['Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial']",Homodimer.,[]
120,V5BQU2,['CTP synthase'],Homodimer.,[]
121,V5BWY7,['cysteine synthase'],Homodimer.,[]
122,V5BFB8,['tRNA pseudouridine synthase'],Homodimer.,[]
123,V5ATQ7,['RNA pseudouridylate synthase protein'],Homodimer.,[]
124,V5BNL9,['Mercaptopyruvate sulfurtransferase'],Homodimer.,[]
125,V5BPI0,['tRNA pseudouridine synthase A'],Homodimer.,[]
126,V5BV11,['serine O-acetyltransferase'],Homodimer.,[]
127,V5BNI6,['tRNA pseudouridine synthase A-like protein'],Homodimer.,[]
128,V5DSI1,['Malic enzyme'],Homodimer.,[]
129,V5BAP6,['Malic enzyme'],Homodimer.,[]
130,V5BJS7,['alanine transaminase'],Homodimer.,[]
131,V5BHV2,['cysteine--tRNA ligase'],Homodimer.,[]
132,V5B0M9,['Dihydrolipoamide acetyltransferase'],Homodimer.,[]
133,V5DC06,['very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase'],Homodimer.,[]
134,V5BFP9,['dihydrolipoyllysine-residue acetyltransferase'],Homodimer.,[]
135,V5ASG2,['Acetyl-coenzyme A synthetase'],Homodimer.,[]
136,V5B6P6,['Dihydrolipoamide dehydrogenase'],Homodimer.,[]
137,V5DQB8,['Succinyl-CoA:3-ketoacid-coenzyme A transferase'],Homodimer.,[]
138,V5BB42,['Cyclic nucleotide-binding domain-containing protein'],Homodimer.,[]
139,V5DIT8,['Pyruvate dehydrogenase E1 component subunit beta'],Homodimer.,[]
140,V5AZ52,['Pyruvate dehydrogenase E1 component subunit alpha'],Homodimer.,[]
141,V5AVR1,['DNA primase'],Homodimer.,[]
142,V5DBS9,['Nucleoporin'],Homodimer.,[]
143,V5DJP6,['serine C-palmitoyltransferase'],Homodimer.,[]
144,V5BLV3,['serine C-palmitoyltransferase'],Homodimer.,[]
145,V5BFP8,['Uncharacterized protein'],Homodimer.,[]
146,V5B376,['3-dehydrosphinganine reductase'],Homodimer.,[]
147,V5AWV1,['sphinganine-1-phosphate aldolase'],Homodimer.,[]
148,V5BM01,['Phosphatidic acid phosphatase'],Homodimer.,[]
149,V5BWA7,['Phosphatidic acid phosphatase'],Homodimer.,[]
150,V5BXT5,['Lipin'],Homodimer.,[]
151,V5AV31,['beta-ketoacyl-[acyl-carrier-protein] synthase I'],Homodimer.,[]
152,V5B5J9,['Phosphatidic acid phosphatase protein'],Homodimer.,[]
153,V5D707,['3-oxoacyl-ACP reductase'],Homodimer.,[]
154,V5DPQ5,['medium-chain acyl-CoA dehydrogenase'],Homodimer.,[]
155,V5DCV2,['Acyl-CoA dehydrogenase'],Homodimer.,[]
156,V5BUI2,"['Putative sphingosine kinase A, B']",Homodimer.,[]
157,V5BZA8,"['Putative sphingosine kinase A, B']",Homodimer.,[]
158,V5BCF5,['Fatty acyl CoA synthetase 2'],Homodimer.,[]
