metname,inchikey,Canonical_SMILES
trnagly,NA,noinchikey_inpubchem
adp_m,NA,noinchikey_inpubchem
glu5p,PJRXVIJAERNUIP-VKHMYHEASA-L,C(CC(=O)OP(=O)([O-])[O-])C(C(=O)[O-])[NH3+]
cmp_m,NA,noinchikey_inpubchem
glntrna,NA,noinchikey_inpubchem
alincoa_m,NA,noinchikey_inpubchem
DMino14bp,NA,noinchikey_inpubchem
prpp,PQGCEDQWHSBAJP-TXICZTDVSA-I,C(C1C(C(C(O1)OP(=O)([O-])OP(=O)([O-])[O-])O)O)OP(=O)([O-])[O-]
udpgal_x,NA,noinchikey_inpubchem
hxdcal_r,NA,noinchikey_inpubchem
44mzym_r,NA,noinchikey_inpubchem
2pg,GXIURPTVHJPJLF-UWTATZPHSA-K,C(C(C(=O)[O-])OP(=O)([O-])[O-])O
co2_m,NA,noinchikey_inpubchem
1ag3p_LM_x,NA,noinchikey_inpubchem
trprd,NA,noinchikey_inpubchem
dtmp,GYOZYWVXFNDGLU-XLPZGREQSA-L,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)([O-])[O-])O
glu5sa_m,NA,noinchikey_inpubchem
drib_x,NA,noinchikey_inpubchem
ru5p__L_x,NA,noinchikey_inpubchem
sphs1p,NA,noinchikey_inpubchem
fum,VZCYOOQTPOCHFL-OWOJBTEDSA-L,C(=CC(=O)[O-])C(=O)[O-]
ile__L,AGPKZVBTJJNPAG-WHFBIAKZSA-N,CCC(C)C(C(=O)O)N
glcn__D_x,NA,noinchikey_inpubchem
phom,FXDNYOANAXWZHG-VKHMYHEASA-L,C(COP(=O)([O-])[O-])C(C(=O)[O-])[NH3+]
amet,MEFKEPWMEQBLKI-AIRLBKTGSA-O,C[S+](CCC(C(=O)O)N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
cit,KRKNYBCHXYNGOX-UHFFFAOYSA-K,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O
gly,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C(C(=O)O)N
acgam1p,FZLJPEPAYPUMMR-RTRLPJTCSA-L,noinchikey_inpubchem
