reactions,metabolites,metabolitestotal,gpr,genes
AKGDbm,coa_m,coa_m,TCDM_06392,TCDM_06392
AKGDbm,sdhlam_m,sdhlam_m,TCDM_06392,TCDM_06392
PPDKgr,atp_x,atp_x,TCDM_00696,TCDM_00696
PPDKgr,pi_x,pi_x,TCDM_00696,TCDM_00696
PPDKgr,pyr_x,pyr_x,TCDM_00696,TCDM_00696
r0202,glyc3p_x,glyc3p_x,TCDM_07435,TCDM_07435
r0202,nad_x,nad_x,TCDM_07435,TCDM_07435
SUCOASm,atp_m,atp_m,TCDM_08325,TCDM_08325
SUCOASm,coa_m,coa_m,TCDM_08325,TCDM_08325
SUCOASm,succ_m,succ_m,TCDM_08325,TCDM_08325
HEX,a_D_glucose_c,a_D_glucose,TCDM_04644,TCDM_04644
FBP,fdp_c,fdp,TCDM_05648,TCDM_05648
DRBKg,atp_x,atp_x,TCDM_01953,TCDM_01953
DRBKg,drib_x,drib_x,TCDM_01953,TCDM_01953
RBKrg,atp_x,atp_x,TCDM_01953,TCDM_01953
RBKrg,rib__D_x,rib__D_x,TCDM_01953,TCDM_01953
NADH2_u6am,h_m,h_m,TCDM_07055,TCDM_07055
NADH2_u6am,nadh_m,nadh_m,TCDM_07055,TCDM_07055
NADH2_u6am,q6_m,q6_m,TCDM_07055,TCDM_07055
ASCTmr,accoa_m,accoa_m,TCDM_01578,TCDM_01578
ASCTmr,succ_m,succ_m,TCDM_01578,TCDM_01578
FUMg,fum_x,fum_x,TCDM_00874,TCDM_00874
FUMg,h2o_x,h2o_x,TCDM_00874,TCDM_00874
GLUDxi,glu__L_c,glu__L,TCDM_03103,TCDM_03103
GLUDy,glu__L_c,glu__L,TCDM_10134,TCDM_10134
GLYKg,atp_x,atp_x,TCDM_00189,TCDM_00189
GLYKg,glyc_x,glyc_x,TCDM_00189,TCDM_00189
FUMm,fum_m,fum_m,TCDM_06503,TCDM_06503
FUMm,h2o_m,h2o_m,TCDM_06503,TCDM_06503
GLUDym,glu__L_m,glu__L_m,TCDM_10134,TCDM_10134
GLUDym,h2o_m,h2o_m,TCDM_10134,TCDM_10134
GLUDym,nadp_m,nadp_m,TCDM_10134,TCDM_10134
