,kcat,data_type,MW,kcat_MW
ADPT,4.52585,Other_species,94401.18320000009,172.59381130299207
ORNTA,13.474716666666668,Other_species,4128.894199999999,11748.661421258994
CYNTtabcpp,1528.7612685923762,fill,58127.61200000005,94680.31418411872
LALGP,6656.26,Other_species,27006.814799999986,887277.3845214805
NO2tabcpp,1528.7612685923762,fill,58127.61200000005,94680.31418411872
NDH_1_4_um_copy2,1528.7612685923762,fill,8561.283299999992,642840.6085957417
NDH_1_1_um_copy1,1528.7612685923762,fill,18564.79629999999,296450.3611026724
NDH_1_4_um_copy1,1528.7612685923762,fill,8561.283299999992,642840.6085957417
CBFCum,1528.7612685923762,fill,15544.840699999986,354042.905498064
PSIIum_num1,1528.7612685923762,fill,18238.661999999993,301751.33279692096
PSIICSum_num1,1528.7612685923762,fill,18238.661999999993,301751.33279692096
NDH_1_1_um_copy2,1528.7612685923762,fill,18564.79629999999,296450.3611026724
ADPT_reverse,4.52585,Other_species,94401.18320000009,172.59381130299207
ORNTA_reverse,13.474716666666668,Other_species,4128.894199999999,11748.661421258994
ACODA_num2,1254.6363636363637,Other_species,27006.814799999986,167242.63644341024
PSIIum_num2,1528.7612685923762,fill,18238.661999999993,301751.33279692096
PSIICSum_num2,1528.7612685923762,fill,18238.661999999993,301751.33279692096
ACODA_reverse_num2,1254.6363636363637,Other_species,27006.814799999986,167242.63644341024
