reactions,metabolites,metabolitestotal,gpr,genes
ADPT,ade_c,ade,Synpcc7942_2454,Synpcc7942_2454
ADPT,prpp_c,prpp,Synpcc7942_2454,Synpcc7942_2454
ORNTA,akg_c,akg,Synpcc7942_0034,Synpcc7942_0034
ORNTA,orn_c,orn,Synpcc7942_0034,Synpcc7942_0034
ACOATA,ACP_c,ACP,SYNPCC7942_RS07445,SYNPCC7942_RS07445
ACOATA,accoa_c,accoa,SYNPCC7942_RS07445,SYNPCC7942_RS07445
RNDR3,trdrd_c,trdrd,SYNPCC7942_RS08210,SYNPCC7942_RS08210
G5SD_num1,glu5p_c,glu5p,SYNPCC7942_RS11385,SYNPCC7942_RS11385
HISTDa,histd_c,histd,SYNPCC7942_RS07765,SYNPCC7942_RS07765
DMBZIDS2_num1,fmnh2_c,fmnh2,SYNPCC7942_RS10185,SYNPCC7942_RS10185
HSTPT,glu__L_c,glu__L,SYNPCC7942_RS05290,SYNPCC7942_RS05290
HSTPT,imacp_c,imacp,SYNPCC7942_RS05290,SYNPCC7942_RS05290
ZCAROTDH2,neuspn_c,neuspn,SYNPCC7942_RS07730 and SYNPCC7942_RS06385,SYNPCC7942_RS06385
ZCAROTDH2,neuspn_c,neuspn,SYNPCC7942_RS07730 and SYNPCC7942_RS06385,SYNPCC7942_RS07730
ORNDC,orn_c,orn,SYNPCC7942_RS03625,SYNPCC7942_RS03625
GND,6pgc_c,6pgc,SYNPCC7942_RS00195,SYNPCC7942_RS00195
CMPA_1,Ncbmpts_c,Ncbmpts,SYNPCC7942_RS10895,SYNPCC7942_RS10895
U23GAAT2,3hpalmACP_c,3hpalmACP,SYNPCC7942_RS07415,SYNPCC7942_RS07415
U23GAAT2,u3hga2_c,u3hga2,SYNPCC7942_RS07415,SYNPCC7942_RS07415
HOXGfx,fdxrd_c,fdxrd,SYNPCC7942_RS09425,SYNPCC7942_RS09425
HOXGfx,pheme_c,pheme,SYNPCC7942_RS09425,SYNPCC7942_RS09425
PGK,3pg_c,3pg,SYNPCC7942_RS05720,SYNPCC7942_RS05720
LPOR,pchlld_exc_c,pchlld_exc,SYNPCC7942_RS12700,SYNPCC7942_RS12700
GCALDDy,gcald_c,gcald,SYNPCC7942_RS02490,SYNPCC7942_RS02490
MSBENZMT,2m6sbenzq_c,2m6sbenzq,SYNPCC7942_RS03055,SYNPCC7942_RS03055
MSBENZMT,amet_c,amet,SYNPCC7942_RS03055,SYNPCC7942_RS03055
DESAT18a,ocdcaACP_c,ocdcaACP,SYNPCC7942_RS13015,SYNPCC7942_RS13015
FUM,fum_c,fum,SYNPCC7942_RS05170,SYNPCC7942_RS05170
PHYFXOR,biliverd_c,biliverd,SYNPCC7942_RS06275,SYNPCC7942_RS06275
PHYFXOR,fdxrd_c,fdxrd,SYNPCC7942_RS06275,SYNPCC7942_RS06275
TMPPP_1,2mahmp_c,2mahmp,SYNPCC7942_RS05420,SYNPCC7942_RS05420
TMPPP_1,cthzp_c,cthzp,SYNPCC7942_RS05420,SYNPCC7942_RS05420
VPAMTr,3mob_c,3mob,SYNPCC7942_RS11475,SYNPCC7942_RS11475
VPAMTr,ala__L_c,ala__L,SYNPCC7942_RS11475,SYNPCC7942_RS11475
RNDR1,trdrd_c,trdrd,SYNPCC7942_RS08210,SYNPCC7942_RS08210
TALA,g3p_c,g3p,SYNPCC7942_RS11675,SYNPCC7942_RS11675
TALA,s7p_c,s7p,SYNPCC7942_RS11675,SYNPCC7942_RS11675
GLYCL,gly_c,gly,SYNPCC7942_RS10380 and SYNPCC7942_RS10385 and SYNPCC7942_RS11730,SYNPCC7942_RS10385
GLYCL,gly_c,gly,SYNPCC7942_RS10380 and SYNPCC7942_RS10385 and SYNPCC7942_RS11730,SYNPCC7942_RS11730
GLYCL,gly_c,gly,SYNPCC7942_RS10380 and SYNPCC7942_RS10385 and SYNPCC7942_RS11730,SYNPCC7942_RS10380
GLYCL,thf_c,thf,SYNPCC7942_RS10380 and SYNPCC7942_RS10385 and SYNPCC7942_RS11730,SYNPCC7942_RS10385
GLYCL,thf_c,thf,SYNPCC7942_RS10380 and SYNPCC7942_RS10385 and SYNPCC7942_RS11730,SYNPCC7942_RS11730
GLYCL,thf_c,thf,SYNPCC7942_RS10380 and SYNPCC7942_RS10385 and SYNPCC7942_RS11730,SYNPCC7942_RS10380
AIRC2,air_c,air,SYNPCC7942_RS07305,SYNPCC7942_RS07305
AIRC2,hco3_c,hco3,SYNPCC7942_RS07305,SYNPCC7942_RS07305
IGPS,2cpr5p_c,2cpr5p,SYNPCC7942_RS06130,SYNPCC7942_RS06130
MTAP,5mta_c,5mta,SYNPCC7942_RS04750,SYNPCC7942_RS04750
HEMEAS_1,hemeO_c,hemeO,SYNPCC7942_RS13250,SYNPCC7942_RS13250
DHORD3um,dhor__S_c,dhor__S,SYNPCC7942_RS01475,SYNPCC7942_RS01475
DHORD3um,pq_um,pq_um,SYNPCC7942_RS01475,SYNPCC7942_RS01475
MTHFC,methf_c,methf,SYNPCC7942_RS04030,SYNPCC7942_RS04030
HBZNPT,4hbz_c,4hbz,SYNPCC7942_RS09965,SYNPCC7942_RS09965
HBZNPT,npdp_c,npdp,SYNPCC7942_RS09965,SYNPCC7942_RS09965
COCHL_1,hgbam_c,hgbam,SYNPCC7942_RS00495 and SYNPCC7942_RS04275,SYNPCC7942_RS00495
COCHL_1,hgbam_c,hgbam,SYNPCC7942_RS00495 and SYNPCC7942_RS04275,SYNPCC7942_RS04275
HSDy,hom__L_c,hom__L,SYNPCC7942_RS10595,SYNPCC7942_RS10595
TRPS1,3ig3p_c,3ig3p,SYNPCC7942_RS02095 and SYNPCC7942_RS10880,SYNPCC7942_RS02095
TRPS1,3ig3p_c,3ig3p,SYNPCC7942_RS02095 and SYNPCC7942_RS10880,SYNPCC7942_RS10880
TRPS1,ser__L_c,ser__L,SYNPCC7942_RS02095 and SYNPCC7942_RS10880,SYNPCC7942_RS02095
TRPS1,ser__L_c,ser__L,SYNPCC7942_RS02095 and SYNPCC7942_RS10880,SYNPCC7942_RS10880
HISTDb,histda_c,histda,SYNPCC7942_RS07765,SYNPCC7942_RS07765
UPPDC1,uppg3_c,uppg3,SYNPCC7942_RS05575,SYNPCC7942_RS05575
GARFT,10fthf_c,10fthf,SYNPCC7942_RS04925,SYNPCC7942_RS04925
GARFT,gar_c,gar,SYNPCC7942_RS04925,SYNPCC7942_RS04925
H4THDPR,4hthdp_c,4hthdp,SYNPCC7942_RS10835,SYNPCC7942_RS10835
GLCS3,adpglc_c,adpglc,SYNPCC7942_RS12785,SYNPCC7942_RS12785
GLCS3,amylose_c,amylose,SYNPCC7942_RS12785,SYNPCC7942_RS12785
AICART,10fthf_c,10fthf,SYNPCC7942_RS02020,SYNPCC7942_RS02020
AICART,aicar_c,aicar,SYNPCC7942_RS02020,SYNPCC7942_RS02020
ASPTA,akg_c,akg,SYNPCC7942_RS12930,SYNPCC7942_RS12930
ASPTA,asp__L_c,asp__L,SYNPCC7942_RS12930,SYNPCC7942_RS12930
GLYOX_num1,lgt__S_c,lgt__S,SYNPCC7942_RS04820,SYNPCC7942_RS04820
PRAGSr,gly_c,gly,SYNPCC7942_RS04760,SYNPCC7942_RS04760
PRAGSr,pram_c,pram,SYNPCC7942_RS04760,SYNPCC7942_RS04760
SQD1,udpg_c,udpg,SYNPCC7942_RS02940,SYNPCC7942_RS02940
ACKr,ac_c,ac,SYNPCC7942_RS10540,SYNPCC7942_RS10540
UDCPDPS,frdp_c,frdp,SYNPCC7942_RS01345,SYNPCC7942_RS01345
UDCPDPS,ipdp_c,ipdp,SYNPCC7942_RS01345,SYNPCC7942_RS01345
SHKK,skm_c,skm,SYNPCC7942_RS04605,SYNPCC7942_RS04605
OXADC,oxa_c,oxa,SYNPCC7942_RS12135,SYNPCC7942_RS12135
G1PACT,accoa_c,accoa,SYNPCC7942_RS01465,SYNPCC7942_RS01465
G1PACT,gam1p_c,gam1p,SYNPCC7942_RS01465,SYNPCC7942_RS01465
KAS14,acACP_c,acACP,SYNPCC7942_RS02730,SYNPCC7942_RS02730
KAS14,malACP_c,malACP,SYNPCC7942_RS02730,SYNPCC7942_RS02730
OHPBAT,glu__L_c,glu__L,SYNPCC7942_RS10975,SYNPCC7942_RS10975
OHPBAT,ohpb_c,ohpb,SYNPCC7942_RS10975,SYNPCC7942_RS10975
3OAR160,3opalmACP_c,3opalmACP,SYNPCC7942_RS03505,SYNPCC7942_RS03505
NMNS,ncam_c,ncam,SYNPCC7942_RS01045,SYNPCC7942_RS01045
NMNS,prpp_c,prpp,SYNPCC7942_RS01045,SYNPCC7942_RS01045
GALUi,g1p_c,g1p,SYNPCC7942_RS10005,SYNPCC7942_RS10005
OMPDC,orot5p_c,orot5p,SYNPCC7942_RS13055,SYNPCC7942_RS13055
GLUSfx,akg_c,akg,SYNPCC7942_RS04585,SYNPCC7942_RS04585
GLUSfx,fdxrd_c,fdxrd,SYNPCC7942_RS04585,SYNPCC7942_RS04585
