metname,inchikey,Canonical_SMILES
clpn160,GRTNLBQYBYZCCM-ULKDXPJMSA-L,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(COP(=O)([O-])OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC)O)OC(=O)CCCCCCCCCCCCCCC
oc2coa,CPSDNAXXKWVYIY-NTLMCJQISA-J,CCCCCC=CC(=O)SCCN=C(CCN=C(C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)[O-])[O-]
q8,ICFIZJQGJAJRSU-SGHXUWJISA-N,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
decoa,NA,noinchikey_inpubchem
2agpg161,NA,noinchikey_inpubchem
1ddecg3p,STTKJLVEXMKLNA-CQSZACIVSA-L,CCCCCCCCCCCC(=O)OCC(COP(=O)([O-])[O-])O
R_3hdda,NA,noinchikey_inpubchem
leu__L,ROHFNLRQFUQHCH-YFKPBYRVSA-N,CC(C)CC(C(=O)O)N
trnaser,NA,noinchikey_inpubchem
LalaLglu,VYZAGTDAHUIRQA-WHFBIAKZSA-M,CC(C(=O)NC(CCC(=O)[O-])C(=O)[O-])[NH3+]
hxcoa,NA,noinchikey_inpubchem
adphep_LD,KMSFWBYFWSKGGR-DTBZDYEHSA-L,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OC4C(C(C(C(O4)C(CO)O)O)O)O)O)O)N
dd_3_6,NA,noinchikey_inpubchem
23dhdp,UWOCFOFVIBZJGH-YFKPBYRVSA-L,C1C=CC(=NC1C(=O)[O-])C(=O)[O-]
adocbl,ZIHHMGTYZOSFRC-QRVZQHAISA-N,noinchikey_inpubchem
pe181,NA,noinchikey_inpubchem
pg161,GHQNERCMPIDAAU-ANXSUKRNSA-M,noinchikey_inpubchem
ugmda,IMWOXEZVYQDRDF-MCZXNMLPSA-J,CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)[O-])[NH3+])C(=O)NC(C)C(=O)NC(C)C(=O)[O-])C(=O)[O-])NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
3hddccoa,NA,noinchikey_inpubchem
1agpe180,BBYWOYAFBUOUFP-JOCHJYFZSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O
histrna,NA,noinchikey_inpubchem
pe161,NA,noinchikey_inpubchem
2ahbut,VUQLHQFKACOHNZ-LURJTMIESA-M,CCC(C(=O)C)(C(=O)[O-])O
cbasp,HLKXYZVTANABHZ-REOHCLBHSA-L,C(C(C(=O)[O-])NC(=O)N)C(=O)[O-]
co,UGFAIRIUMAVXCW-UHFFFAOYSA-N,[C-]#[O+]
ferulcoa,GBXZVJQQDAJGSO-NBXNMEGSSA-J,CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC(=C(C=C4)O)OC)O
trypta,APJYDQYYACXCRM-UHFFFAOYSA-O,C1=CC=C2C(=C1)C(=CN2)CC[NH3+]
3ooctACP,NA,noinchikey_inpubchem
C50pPHA,NA,noinchikey_inpubchem
gg15dap,NA,noinchikey_inpubchem
selmeth,RJFAYQIBOAGBLC-BYPYZUCNSA-N,C[Se]CCC(C(=O)O)N
2dda7p,PJWIPEXIFFQAQZ-PUFIMZNGSA-K,C(C(C(C(COP(=O)([O-])[O-])O)O)O)C(=O)C(=O)[O-]
R_3htd5e,NA,noinchikey_inpubchem
1tdecg3p,FAZBDRGXCKPVJU-MRXNPFEDSA-L,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])[O-])O
mso3,AFVFQIVMOAPDHO-UHFFFAOYSA-M,CS(=O)(=O)[O-]
e4p,NGHMDNPXVRFFGS-IUYQGCFVSA-L,C(C(C(C=O)O)O)OP(=O)([O-])[O-]
3ptcoa,NA,noinchikey_inpubchem
kdolipid4_kt,NA,noinchikey_inpubchem
udcpdp,NTXGVHCCXVHYCL-RDQGWRCRSA-K,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)([O-])OP(=O)([O-])[O-])C)C)C)C)C)C)C)C)C)C)C
2pg,GXIURPTVHJPJLF-UWTATZPHSA-K,C(C(C(=O)[O-])OP(=O)([O-])[O-])O
pe160,SLKDGVPOSSLUAI-PGUFJCEWSA-N,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCC
val__L,KZSNJWFQEVHDMF-BYPYZUCNSA-N,CC(C)C(C(=O)O)N
lpp161,NA,noinchikey_inpubchem
3ononacoa,NA,noinchikey_inpubchem
mpt,HPEUEJRPDGMIMY-IFQPEPLCSA-K,C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])S)OP(=O)([O-])[O-]
ethso3,CCIVGXIOQKPBKL-UHFFFAOYSA-M,CCS(=O)(=O)[O-]
dhcrncoa,NA,noinchikey_inpubchem
tdcoa,DUAFKXOFBZQTQE-QSGBVPJFSA-J,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
R_3hhpa,NA,noinchikey_inpubchem
glyglu,NA,noinchikey_inpubchem
kdo8p,IZZNRKJLBIYBJN-HXUQBWEZSA-K,C1C(C(C(OC1(C(=O)[O-])O)C(COP(=O)([O-])[O-])O)O)O
g3pe,JZNWSCPGTDBMEW-YFKPBYRVSA-N,C(COP(=O)(O)OCC(CO)O)N
3otdccoa,NA,noinchikey_inpubchem
acorn,JRLGPAXAGHMNOL-LURJTMIESA-N,CC(=O)NC(CCCN)C(=O)O
co2,CURLTUGMZLYLDI-UHFFFAOYSA-N,C(=O)=O
cm,WIIZWVCIJKGZOK-RKDXNWHRSA-N,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
balagly,NA,noinchikey_inpubchem
3opptcoa,NA,noinchikey_inpubchem
din,VGONTNSXDCQUGY-RRKCRQDMSA-N,C1C(C(OC1N2C=NC3=C2NC=NC3=O)CO)O
R_3h6athcoa,NA,noinchikey_inpubchem
3c4mop,HIIZAGQWABAMRR-BYPYZUCNSA-L,CC(C)C(C(=O)C(=O)[O-])C(=O)[O-]
R_3hphxacoa,NA,noinchikey_inpubchem
urdglyc,NWZYYCVIOKVTII-SFOWXEAESA-M,C(C(=O)[O-])(NC(=O)N)O
dhcur,NA,noinchikey_inpubchem
C60pPHA,NA,noinchikey_inpubchem
cys__L,XUJNEKJLAYXESH-REOHCLBHSA-N,C(C(C(=O)O)N)S
bwco,NA,noinchikey_inpubchem
alltt,NUCLJNSWZCHRKL-UHFFFAOYSA-M,C(C(=O)[O-])(NC(=O)N)NC(=O)N
4mop,BKAJNAXTPSGJCU-UHFFFAOYSA-M,CC(C)CC(=O)C(=O)[O-]
25dkglcn,RXMWXENJQAINCC-DMTCNVIQSA-M,C(C(=O)C(C(C(=O)C(=O)[O-])O)O)O
xu5p__D,FNZLKVNUWIIPSJ-RFZPGFLSSA-L,C(C(C(C(=O)CO)O)O)OP(=O)([O-])[O-]
trnaasp_preq34,NA,noinchikey_inpubchem
R_3hpt,NA,noinchikey_inpubchem
ivcoa,UYVZIWWBJMYRCD-ZMHDXICWSA-J,CC(C)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
clpn161e9,NA,noinchikey_inpubchem
3mb,GWYFCOCPABKNJV-UHFFFAOYSA-M,CC(C)CC(=O)[O-]
3hpalmACP,NA,noinchikey_inpubchem
conialdh,DKZBBWMURDFHNE-NSCUHMNNSA-N,COC1=C(C=CC(=C1)C=CC=O)O
pprdn,DWKUKQRKVCMOLP-UHFFFAOYSA-O,C1CC[NH+]=CC1
