reactions,metabolites,metabolitestotal,gpr,genes
1P2CBXLR,1p2cbxl_c,1p2cbxl,PP_3591,PP_3591
1PPDCRc,1pipdn2c_c,1pipdn2c,PP_3591,PP_3591
1PY4h3cAH,1py4h3c_c,1py4h3c,PP_1257,PP_1257
24DECOAR,dec4_2_coa_c,dec4_2,PP_2008,PP_2008
2AACLPGT160,2agpg160_c,2agpg160,PP_1700,PP_1700
2AACLPGT160,palmACP_c,palmACP,PP_1700,PP_1700
2AACLPGT161,2agpg161_c,2agpg161,PP_1700,PP_1700
2AACLPGT161,hdeACP_c,hdeACP,PP_1700,PP_1700
2AACLPGT180,2agpg180_c,2agpg180,PP_1700,PP_1700
2AACLPGT180,ocdcaACP_c,ocdcaACP,PP_1700,PP_1700
2AACLPGT181,2agpg181_c,2agpg181,PP_1700,PP_1700
2AACLPGT181,octeACP_c,octeACP,PP_1700,PP_1700
2AACLPPEAT160,2agpe160_c,2agpe160,PP_1700,PP_1700
2AACLPPEAT160,palmACP_c,palmACP,PP_1700,PP_1700
2AACLPPEAT161,2agpe161_c,2agpe161,PP_1700,PP_1700
2AACLPPEAT161,hdeACP_c,hdeACP,PP_1700,PP_1700
2AACLPPEAT180,2agpe180_c,2agpe180,PP_1700,PP_1700
2AACLPPEAT180,ocdcaACP_c,ocdcaACP,PP_1700,PP_1700
2AACLPPEAT181,2agpe181_c,2agpe181,PP_1700,PP_1700
2AACLPPEAT181,octeACP_c,octeACP,PP_1700,PP_1700
2DHGLCK,2dhglcn_c,2dhglcn,PP_3378,PP_3378
2DHGLCNkt_tpp,2dhglcn_p,2dhglcn,PP_3377,PP_3377
34HPPOR,34hpp_c,34hpp,PP_3433,PP_3433
3AIBT2,ala__L_c,ala__L,PP_0596,PP_0596
3AIBT2,mmtsa_c,mmtsa,PP_0596,PP_0596
3HAACOAT100,3hdecACP_c,3hdecACP,PP_1408,PP_1408
3HAACOAT120,3hddecACP_c,3hddecACP,PP_1408,PP_1408
3HAACOAT121,3hcddec5eACP_c,3hcddec5eACP,PP_1408,PP_1408
3HAACOAT140,3hmrsACP_c,3hmrsACP,PP_1408,PP_1408
3HAACOAT141,3hcmrs7eACP_c,3hcmrs7eACP,PP_1408,PP_1408
3HAACOAT60,3hhexACP_c,3hhexACP,PP_1408,PP_1408
3HAACOAT80,3hoctACP_c,3hoctACP,PP_1408,PP_1408
ACOAD31f,lnlccoa_c,lnlccoa,PP_1893,PP_1893
ACOAD32f,hd_7_10_coa_c,hd_7_10,PP_1893,PP_1893
ACOAD33f,td_5_8_coa_c,td_5_8,PP_1893,PP_1893
ACOAD34f,dec4coa_c,dec4coa,PP_1893,PP_1893
ACOAD3f_num1,occoa_c,occoa,PP_1893,PP_1893
ACOAD4f_num1,dcacoa_c,dcacoa,PP_1893,PP_1893
ACOAD5f_num1,ddcacoa_c,ddcacoa,PP_1893,PP_1893
ACOAD6f_num1,tdcoa_c,tdcoa,PP_1893,PP_1893
ACOAD7f_num1,pmtcoa_c,pmtcoa,PP_1893,PP_1893
ACOAD8f_num1,stcoa_c,stcoa,PP_1893,PP_1893
ACOATA,ACP_c,ACP,PP_1915 and PP_4175,PP_1915
ACOATA,ACP_c,ACP,PP_1915 and PP_4175,PP_4175
ACOATA,accoa_c,accoa,PP_1915 and PP_4175,PP_1915
ACOATA,accoa_c,accoa,PP_1915 and PP_4175,PP_4175
ACODA_num1,acorn_c,acorn,PP_5186,PP_5186
ACONCt4pp,acon_C_p,acon_C,PP_1416 and PP_1417 and PP_1418,PP_1417
ACONCt4pp,acon_C_p,acon_C,PP_1416 and PP_1417 and PP_1418,PP_1416
ACONCt4pp,acon_C_p,acon_C,PP_1416 and PP_1417 and PP_1418,PP_1418
ACONMT,acon_T_c,acon_T,PP_2545,PP_2545
ACONMT,amet_c,amet,PP_2545,PP_2545
ACONTb_num1,acon_C_c,acon_C,PP_2339,PP_2339
ACOTA,acorn_c,acorn,PP_4481,PP_4481
ACOTA,akg_c,akg,PP_4481,PP_4481
ACPPAT120,ddcaACP_c,ddcaACP,PP_1915 and PP_1912,PP_1915
ACPPAT120,ddcaACP_c,ddcaACP,PP_1915 and PP_1912,PP_1912
ACPPAT140,myrsACP_c,myrsACP,PP_1915 and PP_1912,PP_1915
ACPPAT140,myrsACP_c,myrsACP,PP_1915 and PP_1912,PP_1912
ACPPAT141,tdeACP_c,tdeACP,PP_1915 and PP_1912,PP_1915
ACPPAT141,tdeACP_c,tdeACP,PP_1915 and PP_1912,PP_1912
ACPPAT160,palmACP_c,palmACP,PP_1915 and PP_1912,PP_1915
ACPPAT160,palmACP_c,palmACP,PP_1915 and PP_1912,PP_1912
ACPPAT161,hdeACP_c,hdeACP,PP_1915 and PP_1912,PP_1915
ACPPAT161,hdeACP_c,hdeACP,PP_1915 and PP_1912,PP_1912
ACPPAT180,ocdcaACP_c,ocdcaACP,PP_1915 and PP_1912,PP_1915
ACPPAT180,ocdcaACP_c,ocdcaACP,PP_1915 and PP_1912,PP_1912
ACPPAT181,octeACP_c,octeACP,PP_1915 and PP_1912,PP_1915
ACPPAT181,octeACP_c,octeACP,PP_1915 and PP_1912,PP_1912
ACPS1,apoACP_c,apoACP,PP_1183,PP_1183
ACS_num1,ac_c,ac,PP_4487,PP_4487
ACS2,ppa_c,ppa,PP_2351,PP_2351
ACSPHAC100_num1,R_3hdcaa_c,R_3hdcaa,PP_4549,PP_4549
