reactions,data_type,kcat,MW,kcat_MW
MOCOS,DLkcat,88305.9767,43963.00630000002,7231114.131519251
UAMAGS,DLkcat,5084.5619,48299.746600000086,378975.5460124912
1P2CBXLR,DLkcat,3562.3853,35142.5612,
KDOPS_num1,DLkcat,2277.8449,31033.6464,44039.521569079945
OCOAT1,DLkcat,1537.5872,23238.630400000016,8522.89377992464
1PPDCRc,DLkcat,1422.1744,35142.5612,
UAMAS_num1,DLkcat,1022.5491,52165.26370000004,70567.5865298079
MOADSUx_num2,DLkcat,1005.2782,42293.49640000008,196097.98019815458
PC20M,DLkcat,970.1249,26690.6159,65424.67309643461
MXYLt6_num1,DLkcat,825.43,112834.31020000084,14358.975507787769
UAGAAT2_1,DLkcat,758.7642,8711.605199999995,29361.572749379367
GARFT_reverse,DLkcat,700.8718,23338.287099999987,108111.55373952021
CHLabcpp_num1,DLkcat,688.1892,22828.3619,57632.365745805575
UAAGDS,DLkcat,629.713,53602.30920000012,14097.44489142267
ALLTN,DLkcat,558.9345,35314.35620000004,9496.44099699033
CS,DLkcat,504.0905,47621.48210000002,38107.2935989113
UAGPT3,DLkcat,474.3546,38126.94630000005,44789.229815659215
PAPSR2_num1,DLkcat,460.1774,27896.358800000016,44626.90951461312
FRDO4r_reverse,DLkcat,450.5201,28959.66200000002,39117.33937320426
ACONCt4pp,DLkcat,433.4612,17717.088999999985,7392.353260891719
UAGDP,DLkcat,419.7517,48470.65270000001,10391.89719844643
ADCS,DLkcat,417.3973,49093.96630000006,15303.6146113947
ADCYRS,DLkcat,383.991,51733.679500000064,13360.422198463559
DSBDR_num2,DLkcat,379.7871,31822.040900000007,14499.939205045897
RHMNT1,DLkcat,371.9712,41300.2574000001,16211.718816067196
ASO3t2pp_num2,DLkcat,340.2638,45104.34029999998,13579.066580428409
UAGCVT,DLkcat,339.0346,44972.54880000003,9046.4412370597
3OAR140_reverse,DLkcat,324.6898,25469.75719999997,11473.24718117063
ADOCBLabcpp_num1,DLkcat,316.2654,35814.4103,7169.980123648054
PSSA161_num1,DLkcat,295.2742,30358.9247,35013.991124659304
RDXR_reverse_num2,DLkcat,270.568,6162.9095,10508.396759271456
PACt3_reverse,DLkcat,267.967,55061.78850000009,8759.987881614112
TTRCYCtpp_num1,DLkcat,256.6557,41249.324900000014,4464.718886197649
DAAD4_num1,DLkcat,250.3923,47398.65480000003,19017.676425703106
MPTSS,DLkcat,248.3543,26584.286300000003,33631.72777747281
CMCBTFabcpp_num1,DLkcat,245.98,33669.13300000002,26300.88514604755
RNDR3_num2,DLkcat,244.2046,106948.01220000075,6988.3846359156005
ALLTNt2rpp,DLkcat,242.1831,55313.598000000005,15762.112600232585
3OAS141,DLkcat,242.1831,43263.44480000004,10076.164346487722
DLYSabcpp_num1,DLkcat,238.7377,25700.400600000008,4650.585594328845
RHACOART60,DLkcat,214.7539,25469.75719999997,7588.549371801636
GLYt2pp,DLkcat,208.9899,51250.012700000094,7340.1312542503865
BZt2_pp,DLkcat,192.6412,46297.527700000086,14979.381285623134
SELNPS,DLkcat,192.4444,36245.124700000015,9557.145212415282
ALLTAMH_num1,DLkcat,186.3262,31545.4835,21263.71973344457
ASPO3,DLkcat,179.2672,59214.367500000175,908.2282268741592
CBPS,DLkcat,178.1318,117395.7332000007,4059.488600356759
GLUabcpp_num2,DLkcat,174.875,33428.17269999999,2766.399582325559
OPMEACPS,DLkcat,167.2616,43263.44480000004,6959.013120471621
FEOXAMtonex,DLkcat,166.868,26022.064999999988,2677.4725120846015
DHORDfum,DLkcat,166.868,35544.6731,16900.557737862553
MOAT_kt,DLkcat,166.5983,46585.655000000086,6437.109019933271
UPP3MT_num3,DLkcat,163.32,40555.82100000007,2416.2252811994567
OCBT,DLkcat,160.4989,37910.64390000004,332.78507394182503
GALURt2rpp_reverse,DLkcat,160.3579,45390.66410000001,1180.17030966846
ORNabcpp_num1,DLkcat,160.3579,26111.90940000001,5377.8035261695995
SHEME2abcpp,DLkcat,159.6066,35814.4103,3538.6874061239
3OAR120_reverse,DLkcat,159.0916,25469.75719999997,5621.664897535818
ACONTb_num1,DLkcat,157.0893,93608.9633000007,3020.658813342481
DPR_num2,DLkcat,157.0893,33394.816000000006,16934.40922088027
SSALx,DLkcat,153.9512,49302.6298000001,5620.636487832936
RNDR3_num3,DLkcat,148.8099,15790.17419999998,4880.443707039053
HBRCH,DLkcat,146.1032,32318.91510000004,16274.41757783507
G5SD_copy2,DLkcat,141.8488,45417.26820000007,2810.9114673700215
NI2t3pp,DLkcat,141.5133,31096.996600000035,8191.27143616177
GLCURDH_reverse,DLkcat,137.7585,29374.774900000008,2813.8122004808956
SULFACabcpp_num2,DLkcat,137.7585,34562.24690000001,5355.826691066373
DHPM2,DLkcat,137.7585,52458.66320000012,4726.87035608638
MXYLt6_num2,DLkcat,137.7585,29144.393699999982,6649.033197581209
XAND,DLkcat,137.6913,53173.84710000011,1755.2156984717496
DSBAO1_num2,DLkcat,136.8563,23072.384699999988,5960.1977719032175
ACONMT,DLkcat,136.303,30766.7547,7974.367215272139
PC6YM,DLkcat,136.0389,42447.51390000004,11537.543545041388
OAADC,DLkcat,135.8992,25003.889899999987,9783.220170074423
AM3PA,DLkcat,129.5471,21294.351399999992,10950.54625613063
ACTD2,DLkcat,128.6357,36506.53290000004,1573.9312083652187
AM4PA,DLkcat,127.0963,21294.351399999992,10743.381458427517
METSOXR2_num1,DLkcat,124.7288,24564.453699999987,18279.408346866687
EDTXS5_kt_num1,DLkcat,110.2532,32840.01180000002,6043.1086690413385
AGMH,DLkcat,108.2982,36513.43320000004,5338.768308426274
1PY4h3cAH,DLkcat,107.6203,34074.39470000002,5685.105831094922
GAt2pp_reverse,DLkcat,102.8742,,inf
FBA_reverse,DLkcat,102.8418,38452.45000000002,4814.133819821623
ACOAD10f_reverse,DLkcat,102.5034,89194.20540000047,4137.177279007387
AICART_reverse,DLkcat,100.6478,57695.16400000013,1570.0279489629286
OGMEACPR,DLkcat,100.463,25469.75719999997,3549.9631696528345
ASPTRS,DLkcat,99.773,66567.36990000022,2697.8893753769803
UHBZ1t_pp_reverse,DLkcat,99.773,47128.07640000006,3810.709320612113
BALAALAabcpp_num2,DLkcat,98.7489,59563.48480000009,2984.1776483836575
PDX5PS,DLkcat,97.7675,26737.238400000017,1240.1620157582538
ASO3t2pp_num1,DLkcat,97.4404,45391.766199999984,3863.9765464777197
RNDR2_num2,DLkcat,96.4398,46988.82020000006,2759.81048928142
CRO4t3pp,DLkcat,94.7151,48303.39990000006,3529.5068329134283
ECOAH25_reverse_num1,DLkcat,93.8961,77448.71960000033,2182.256606344197
DHPS,DLkcat,92.6536,30274.387000000017,5508.830946766978
SGSAD,DLkcat,92.5835,51329.832500000135,6493.311662374879
FACOAL140t2pp_num2,DLkcat,92.123,61657.673500000135,2689.387882921006
FACOAL161_num2,DLkcat,92.123,61657.673500000135,2689.387882921006
MCSNAH,DLkcat,92.0208,45820.8501,7229.784678307397
UREA,DLkcat,92.0208,10977.716399999994,1132.1170549058706
GLYBabcpp_num1,DLkcat,89.324,42987.67000000011,7480.433342863178
VALabcpp_num1,DLkcat,88.7914,46299.00410000003,1156.1121705532464
PROTRS,DLkcat,88.7914,63622.76710000009,2512.064898855991
ILEabcpp_num2,DLkcat,88.5944,32601.574499999995,982.8665537204072
3OAS80_num2,DLkcat,87.7636,43263.44480000004,3651.454033082447
SARCOX2,DLkcat,85.8766,45252.90510000006,1526.7089253766067
BVMO1,DLkcat,85.3967,56988.85770000004,2697.265153289779
ASPO6,DLkcat,85.0146,59214.367500000175,430.7126982315554
4HDPROO,DLkcat,84.5488,45313.86910000005,3358.52671649263
