,kcat,data_type,MW,kcat_MW
CSNATm,42.53666666666667,Other_species,154663.7408000007,990.0963160978924
AGTim,32.985708333333335,Other_species,50696.3896000001,2342.347274370792
MALSp,140.03,Other_species,123271.1288000004,4089.4247088292936
FACOAL1821_num1,0.6263333333333333,Other_species,69102.54790000022,32.629766463357754
OAAAKGtm,4677.44868907671,fill,33640.84230000001,500546.77973018977
PDHe3hr,313.957648,Other_species,113507.86280000026,9957.43823308069
ASPTAm_num1,174.57206896551725,Other_species,94941.49960000021,6619.4388220497485
3OAR180_1,170.8933846153846,Other_species,26626.213300000007,23105.658235502244
GCC2cm,313.957648,Other_species,105655.50200000008,10697.479179077669
PYDXK,15.040314285714286,Other_species,32271.70520000004,1677.7896021611948
FACOAL160_num1,0.6263333333333333,Other_species,69102.54790000022,32.629766463357754
PRPPS_num1,51.88235294117647,Other_species,31908.001600000025,5853.593494499359
SERDC_m,4677.44868907671,fill,41576.431500000035,405008.6713352526
3OAR181_h,4677.44868907671,fill,26626.213300000007,632414.9472909147
SAL_m_num1,4677.44868907671,fill,132289.75120000052,127287.37583925617
GMPS,88.30191666666667,Other_species,59612.57350000011,5332.547839089675
3OAR60_1,69.30816285714286,Other_species,26626.213300000007,9370.8175276172
GMPS2,88.30191666666667,Other_species,59612.57350000011,5332.547839089675
3OAR80_1,69.30816285714286,Other_species,26626.213300000007,9370.8175276172
ALATA_L,80.16384615384615,Other_species,51936.41720000009,5556.599043837118
IMPD,1.9907142857142857,Other_species,50499.24240000006,141.91443451380212
AKGMALtm,4677.44868907671,fill,33640.84230000001,500546.77973018977
MALOAAtm,4677.44868907671,fill,33640.84230000001,500546.77973018977
PGI_num1,1868.2132,Other_species,123051.85400000033,54656.3688508097
AGMTm,1.516,Other_species,45335.98880000005,120.38118378924591
ANPRT_num1,0.8697687096774194,Other_species,37358.644700000026,83.81372986046006
HOXG_c_num1,4677.44868907671,fill,94076.23600000027,178991.16712828635
TRPS1,16.120784705882354,Other_species,71652.72490000034,809.9458188390014
PDHam1mi,36.37985,Other_species,92179.50160000006,1420.7872436576495
PDHe2hr,2.4,Other_species,98295.75339999999,87.89799865352069
THRD_L,190.85,Other_species,132289.75120000052,5193.5996081909425
FACOAL180_1_num1,4677.44868907671,fill,69102.54790000022,243678.64561295146
THRD_Lm_num1,190.85,Other_species,132289.75120000052,5193.5996081909425
FTHFLi,286.3618181818182,Other_species,70784.05520000037,14564.050371820746
SERTRS,1.960846153846154,Other_species,51827.53280000003,136.20262768607327
ALCD2y_num1,90.64166754798087,Other_species,75059.03540000004,4347.378052938993
GACT_h,4677.44868907671,fill,29388.071100000016,572981.3033110617
ASNS1,3.514,Other_species,66752.15450000028,189.51298418390297
THRA_m,4677.44868907671,fill,43833.830800000054,384151.1219383576
AKGCITtm,4677.44868907671,fill,33640.84230000001,500546.77973018977
CITtam,4677.44868907671,fill,33640.84230000001,500546.77973018977
