metname,inchikey,Canonical_SMILES
pail4p1601619Z,NA,noinchikey_inpubchem
mgdg205n3163n4_h,NA,noinchikey_inpubchem
alac__S_m,NA,noinchikey_inpubchem
gthrd_m,NA,noinchikey_inpubchem
pc1819Z184n3,NA,noinchikey_inpubchem
trp__L,QIVBCDIJIAJPQS-VIFPVBQESA-N,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
dd36coa_x,NA,noinchikey_inpubchem
dc247coa_m,NA,noinchikey_inpubchem
pgp160_h,NA,noinchikey_inpubchem
pa205n3,NA,noinchikey_inpubchem
mercppyr,OJOLFAIGOXZBCI-UHFFFAOYSA-M,C(C(=O)C(=O)[O-])S
pe1619Z204n6,NA,noinchikey_inpubchem
cmp_h,NA,noinchikey_inpubchem
tyrtrna_m,NA,noinchikey_inpubchem
pc140203n6,NA,noinchikey_inpubchem
td258coa_x,NA,noinchikey_inpubchem
sephcpc_h,NA,noinchikey_inpubchem
12dgr1619Z204n6,NA,noinchikey_inpubchem
pphn,FPWMCUPFBRFMLH-XGAOUMNUSA-L,noinchikey_inpubchem
tczcaro_h,NA,noinchikey_inpubchem
12dgr1819Z162n4_h,NA,noinchikey_inpubchem
apoC_h,NA,noinchikey_inpubchem
dggl,NA,noinchikey_inpubchem
arachd,NA,noinchikey_inpubchem
mpdol,CMBCFQGXXHOGEH-GRUWKLFASA-L,noinchikey_inpubchem
h2mb4p_h,NA,noinchikey_inpubchem
5mtr,ACWASDPGAVYCNI-JKUQZMGJSA-N,CSCC(C(C(C=O)O)O)O
npdp_m,NA,noinchikey_inpubchem
2cpr5p,QKMBYNRMPRKVTO-MNOVXSKESA-K,C1=CC=C(C(=C1)C(=O)[O-])NCC(=O)C(C(COP(=O)([O-])[O-])O)O
fdp_h,NA,noinchikey_inpubchem
hmgcoa_m,NA,noinchikey_inpubchem
dtbt_m,NA,noinchikey_inpubchem
ascb__L_m,NA,noinchikey_inpubchem
ergst,DNVPQKQSNYMLRS-APGDWVJJSA-N,CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C
camp,IVOMOUWHDPKRLL-KQYNXXCUSA-M,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)[O-]
mag1819Z,NA,noinchikey_inpubchem
4adcho,OIUJHGOLFKDBSU-HTQZYQBOSA-M,C=C(C(=O)[O-])OC1C=C(C=CC1[NH3+])C(=O)[O-]
accoa_x,NA,noinchikey_inpubchem
mergtrol,HLAWVOWADPNAGN-BAHZUFOISA-N,CC1C2CCC3=C(C2(CCC1O)C)CCC4(C3=CCC4C(C)CCC(=C)C(C)C)C
3hhd710coa_m,NA,noinchikey_inpubchem
pe1619Z205n3,NA,noinchikey_inpubchem
hxdcal,NIOYUNMRJMEDGI-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC=O
13dpg,LJQLQCAXBUHEAZ-UWTATZPHSA-J,C(C(C(=O)OP(=O)([O-])[O-])O)OP(=O)([O-])[O-]
6pgc,BIRSGZKFKXLSJQ-SQOUGZDYSA-K,C(C(C(C(C(C(=O)[O-])O)O)O)O)OP(=O)([O-])[O-]
epist,BTCAEOLDEYPGGE-JVAZTMFWSA-N,CC(C)C(=C)CCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C
oc37coa_m,NA,noinchikey_inpubchem
udpsq_h,NA,noinchikey_inpubchem
1tdecg3p,FAZBDRGXCKPVJU-MRXNPFEDSA-L,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])[O-])O
dmshb,NA,noinchikey_inpubchem
12dgr182_9_12,NA,noinchikey_inpubchem
12dgr226n3140,NA,noinchikey_inpubchem
thdp_h,NA,noinchikey_inpubchem
oc24coa_m,NA,noinchikey_inpubchem
phom_h,NA,noinchikey_inpubchem
nadh_h,NA,noinchikey_inpubchem
tag1619Z204n6204n6,NA,noinchikey_inpubchem
pail4p160205n3,NA,noinchikey_inpubchem
oc47coa_m,NA,noinchikey_inpubchem
lipACP_m,NA,noinchikey_inpubchem
od29coa_m,NA,noinchikey_inpubchem
12dgr226n3204n6,NA,noinchikey_inpubchem
aps,IRLPACMLTUPBCL-KQYNXXCUSA-L,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OS(=O)(=O)[O-])O)O)N
12dgr226n31819Z,NA,noinchikey_inpubchem
pail45p1619Z205n3,NA,noinchikey_inpubchem
