reactions,metabolites,metabolitestotal,gpr,genes
CSNATm,acrn_m,acrn_m,PHATRDRAFT_48078,PHATRDRAFT_48078
CSNATm,coa_m,coa_m,PHATRDRAFT_48078,PHATRDRAFT_48078
DHFR_num1,dhf_c,dhf,Phatr3_EG02044,Phatr3_EG02044
AGTim,ala__L_m,ala__L_m,PHATRDRAFT_49601,PHATRDRAFT_49601
AGTim,glx_m,glx_m,PHATRDRAFT_49601,PHATRDRAFT_49601
ASPATh_num1,akg_h,akg_h,PHATRDRAFT_10257,PHATRDRAFT_10257
ASPATh_num1,asp__L_h,asp__L_h,PHATRDRAFT_10257,PHATRDRAFT_10257
MALSp,accoa_x,accoa_x,PHATRDRAFT_54478,PHATRDRAFT_54478
MALSp,glx_x,glx_x,PHATRDRAFT_54478,PHATRDRAFT_54478
MALSp,h2o_x,h2o_x,PHATRDRAFT_54478,PHATRDRAFT_54478
FACOAL1821_num1,lnlc_c,lnlc,PHATRDRAFT_12420,PHATRDRAFT_12420
OAAAKGtm,akg_m,akg_m,PHATRDRAFT_23908,PHATRDRAFT_23908
OAAAKGtm,oaa_c,oaa,PHATRDRAFT_23908,PHATRDRAFT_23908
PDHe3hr,dhlam_h,dhlam_h,PHATRDRAFT_30113,PHATRDRAFT_30113
PDHe3hr,nad_h,nad_h,PHATRDRAFT_30113,PHATRDRAFT_30113
ASPTAm_num1,akg_m,akg_m,PHATRDRAFT_23871,PHATRDRAFT_23871
ASPTAm_num1,asp__L_m,asp__L_m,PHATRDRAFT_23871,PHATRDRAFT_23871
3OAR180_1,3ooctdACP_h,3ooctdACP_h,PHATRDRAFT_13073,PHATRDRAFT_13073
3OAR180_1,h_h,h_h,PHATRDRAFT_13073,PHATRDRAFT_13073
3OAR180_1,nadph_h,nadph_h,PHATRDRAFT_13073,PHATRDRAFT_13073
GCC2cm,dhlam_m,dhlam_m,PHATRDRAFT_26432,PHATRDRAFT_26432
GCC2cm,nad_m,nad_m,PHATRDRAFT_26432,PHATRDRAFT_26432
PYDXK,pydx_c,pydx,PHATRDRAFT_8828,PHATRDRAFT_8828
FACOAL160_num1,hdca_c,hdca,PHATRDRAFT_12420,PHATRDRAFT_12420
PYDXPP_num1,pydx5p_c,pydx5p,PHATRDRAFT_13322,PHATRDRAFT_13322
PRPPS_num1,r5p_c,r5p,PHATRDRAFT_9612,PHATRDRAFT_9612
SERDC_m,h_m,h_m,PHATRDRAFT_2217,PHATRDRAFT_2217
SERDC_m,ser__L_m,ser__L_m,PHATRDRAFT_2217,PHATRDRAFT_2217
3OAR181_h,3ocvac11eACP_h,3ocvac11eACP_h,PHATRDRAFT_13073,PHATRDRAFT_13073
3OAR181_h,h_h,h_h,PHATRDRAFT_13073,PHATRDRAFT_13073
3OAR181_h,nadph_h,nadph_h,PHATRDRAFT_13073,PHATRDRAFT_13073
3OAR60_1,3ohexACP_h,3ohexACP_h,PHATRDRAFT_13073,PHATRDRAFT_13073
3OAR60_1,h_h,h_h,PHATRDRAFT_13073,PHATRDRAFT_13073
3OAR60_1,nadph_h,nadph_h,PHATRDRAFT_13073,PHATRDRAFT_13073
GMPS2,gln__L_c,gln__L,PHATRDRAFT_27735,PHATRDRAFT_27735
3OAR80_1,3ooctACP_h,3ooctACP_h,PHATRDRAFT_13073,PHATRDRAFT_13073
3OAR80_1,h_h,h_h,PHATRDRAFT_13073,PHATRDRAFT_13073
3OAR80_1,nadph_h,nadph_h,PHATRDRAFT_13073,PHATRDRAFT_13073
ALATA_L,akg_c,akg,PHATRDRAFT_34010,PHATRDRAFT_34010
ALATA_L,ala__L_c,ala__L,PHATRDRAFT_34010,PHATRDRAFT_34010
GLYK,glyc_c,glyc,PHATRDRAFT_50770,PHATRDRAFT_50770
PDHam1hi,h_h,h_h,Phatr3_EG02309,Phatr3_EG02309
PDHam1hi,pyr_h,pyr_h,Phatr3_EG02309,Phatr3_EG02309
PDHam1hi,thmpp_h,thmpp_h,Phatr3_EG02309,Phatr3_EG02309
MDHm_num1,mal__L_m,mal__L_m,PHATRDRAFT_42398,PHATRDRAFT_42398
MDHm_num1,nad_m,nad_m,PHATRDRAFT_42398,PHATRDRAFT_42398
AKGMALtm,akg_m,akg_m,PHATRDRAFT_23908,PHATRDRAFT_23908
AKGMALtm,mal__L_c,mal__L,PHATRDRAFT_23908,PHATRDRAFT_23908
MALOAAtm,mal__L_m,mal__L_m,PHATRDRAFT_23908,PHATRDRAFT_23908
MALOAAtm,oaa_c,oaa,PHATRDRAFT_23908,PHATRDRAFT_23908
ME1m,mal__L_m,mal__L_m,PHATRDRAFT_54082,PHATRDRAFT_54082
ME1m,nad_m,nad_m,PHATRDRAFT_54082,PHATRDRAFT_54082
AGMTm,agm_m,agm_m,PHATRDRAFT_40880,PHATRDRAFT_40880
AGMTm,h2o_m,h2o_m,PHATRDRAFT_40880,PHATRDRAFT_40880
ANPRT_num1,anth_c,anth,PHATRDRAFT_14230,PHATRDRAFT_14230
ANPRT_num1,prpp_c,prpp,PHATRDRAFT_14230,PHATRDRAFT_14230
HOXG_c_num1,pheme_c,pheme,PHATRDRAFT_5902 and PHATRDRAFT_9283,PHATRDRAFT_5902
HOXG_c_num1,pheme_c,pheme,PHATRDRAFT_5902 and PHATRDRAFT_9283,PHATRDRAFT_9283
CHLPAS_h,chlld_h,chlld_h,PHATRDRAFT_12807,PHATRDRAFT_12807
CHLPAS_h,phdp_h,phdp_h,PHATRDRAFT_12807,PHATRDRAFT_12807
TRPS1,3ig3p_c,3ig3p,PHATRDRAFT_41702,PHATRDRAFT_41702
TRPS1,ser__L_c,ser__L,PHATRDRAFT_41702,PHATRDRAFT_41702
PDHam1mi,h_m,h_m,PHATRDRAFT_55035,PHATRDRAFT_55035
PDHam1mi,pyr_m,pyr_m,PHATRDRAFT_55035,PHATRDRAFT_55035
PDHam1mi,thmpp_m,thmpp_m,PHATRDRAFT_55035,PHATRDRAFT_55035
PDHe2hr,adhlam_h,adhlam_h,PHATRDRAFT_23850,PHATRDRAFT_23850
PDHe2hr,coa_h,coa_h,PHATRDRAFT_23850,PHATRDRAFT_23850
FACOAL180_1_num1,ocdca_c,ocdca,PHATRDRAFT_12420,PHATRDRAFT_12420
TRDR,trdox_c,trdox,PHATRDRAFT_42129,PHATRDRAFT_42129
FTHFD_num1,10fthf_c,10fthf,PHATRDRAFT_44906,PHATRDRAFT_44906
FTHFLi,for_c,for,PHATRDRAFT_49229,PHATRDRAFT_49229
FTHFLi,thf_c,thf,PHATRDRAFT_49229,PHATRDRAFT_49229
SERTRS,ser__L_c,ser__L,PHATRDRAFT_30572,PHATRDRAFT_30572
