reactions,data_type,kcat,MW,kcat_MW
PLDAGAT_HDE_EPA_DHA_PE_14_c,DLkcat,1473.0274,108166.34700000077,24512.70097898361
PLDAGAT_HDE_EPA_DHA_PE_15_c,DLkcat,1473.0274,108166.34700000077,24512.70097898361
GACT_h,DLkcat,1321.3159,29388.071100000016,40464.86433061608
HADH162_3H7Z10Z_m_num1,DLkcat,1282.9741,74969.42800000036,30803.934905305516
MGDGH_HDE_PALM_h,DLkcat,1044.0638,123048.8161000009,15272.920939545602
GGGT_EPA_HDTE_2_h,DLkcat,1044.0638,47546.39690000008,39525.91494898316
MGDGH_HDE_HDDE_h,DLkcat,877.1896,123048.8161000009,12831.828294201592
GGGT_EPA_HDTE_10_h,DLkcat,822.2507,47546.39690000008,31128.568230161673
CYOO6m_num1,DLkcat,529.9807,,91576.05890401971
GGGT_OLE_HDTE_3_h,DLkcat,485.2982,47546.39690000008,18372.3019398763
HADH180_m_num1,DLkcat,460.2057,74969.42800000036,11049.440846740834
ACOADAGAT_PALM_EPA_ARA_c_num3,DLkcat,400.4129,37275.61399999999,19335.515707400562
3OAS181_1_num1,DLkcat,374.8622,45176.45980000004,14935.919347978643
ABTArm,DLkcat,366.6057,47601.87560000003,13862.69451954115
EAR40_m,DLkcat,359.6408,29849.44170000002,43374.57608126719
MGDGH_OLE_HDDE_h,DLkcat,339.1265,123048.8161000009,4960.857969603786
MGDGH_EPA_HDE_h,DLkcat,315.8907,123048.8161000009,4620.956771643379
DGDGH_OLE_HDTE_h,DLkcat,232.6652,123048.8161000009,3403.50580585551
LYSTRSm,DLkcat,229.4061,54800.60690000013,3767.576705432428
MGDGS_MYRS_HDE_h_num1,DLkcat,224.6707,43032.55260000007,9397.705587188415
PLA2PE_LNA_PALM_c_num2,DLkcat,217.2261,38545.70010000008,10143.984386990007
PLA2PE_DHA_STC_c_num2,DLkcat,202.837,38545.70010000008,9472.044846838811
PI4P5K_PALM_EPA_c_num2,DLkcat,194.6678,66008.35710000026,5308.449647809802
DGDGH_EPA_HDE_h,DLkcat,190.8814,123048.8161000009,2792.2781452912936
PLA2PE_MYRS_LNA_c_num3,DLkcat,189.3856,35079.31850000002,9717.80794430199
CPPPGO_1_num1,DLkcat,180.4493,,inf
2OXOADOXm,DLkcat,178.3139,121128.50450000058,995.6686293926282
PLA2PE_EPA_DHA_c_num4,DLkcat,178.0644,55495.32830000009,5775.547777054947
PCD4DS_STC_DHA_sn2_c,DLkcat,175.0681,52364.964000000095,3008.9066804285335
PLA2PE_EPA_EPA_c_num2,DLkcat,168.4217,38545.70010000008,7864.925509551177
ADCS_num1,DLkcat,166.2354,,inf
EAR40x_1,DLkcat,161.5635,32770.87790000002,17748.337465198016
