,kcat,data_type,MW,kcat_MW
ACGK,182571.28683666678,Brenda_SA,30344.25820000002,21660000.0
ACCOAC,10.213722222222222,Other_species,71544.72150000001,513.9358883380376
ALCD19,9.359434267298578,Other_species,82601.07029999998,407.9119464179013
ACALD,8.8213,Other_species,82601.07029999998,384.45845658733566
ACGS,2.1999998,Other_species,43048.144700000055,183.9800375880076
ACKr,803.7693506493506,Other_species,44803.32609999999,64583.81361864254
ACOATA,7.278383262340426,Other_species,43839.67920000003,597.6818312216462
ACLS,98.0,Database,83872.97160000008,4206.361039436448
ACHBS,98.0,Database,83872.97160000008,4206.361039436448
ACYP_2,1085.964285825,Other_species,10048.363599999997,389065.4821616926
DCYTD,4.383333333333333,Other_species,14378.37719999998,1097.4812929514758
ADA,2.3,Database,45771.97320000006,180.89672393673402
ADK1,32.576099996,Other_species,25168.896000000033,4659.4797000869585
ADK3,145.316,Other_species,24036.40050000002,21764.39022140605
CYTD,4.383333333333333,Other_species,14378.37719999998,1097.4812929514758
DHPPDA,11211.641785181226,fill,38865.22670000009,1038509.5843697297
ADMDC,1.0,Database,14784.55849999999,243.49729482960228
CHORM,87951.96132352941,Other_species,40664.88740000005,7786251.9979510745
ADPT,4.7787,Other_species,19765.907700000007,870.3531485174341
BACCL,81000.15677,Other_species,26273.508500000033,11098653.397280369
ADSL2r,123.31,Other_species,49872.58350000004,8901.002692190583
ADSL1r,123.31,Other_species,49872.58350000004,8901.002692190583
ATPS1,31.35,Other_species,232792.56920000023,484.80928917897734
BGLA1,11211.641785181226,fill,47626.200800000035,847472.8143054481
ADSS,77.78661538461539,Other_species,44515.32770000001,6290.683004106367
BGLA_num1,11.826666666666666,Database,81072.97910000039,525.1564759632695
AGDC,110.0,Database,40202.01230000008,9850.253192425374
BTS3r,168.81702745,Other_species,39798.824499999995,15270.3328918672
BUTKr_num1,93.39454545454545,Other_species,39282.97260000005,8558.933842912977
AHCYSNS,1.74599625,Other_species,24165.58840000003,260.10483982256324
CBPS,3.3582539523809523,Other_species,164245.1979000006,73.60771811381758
CEL6abc,11211.641785181226,fill,207012.39690000017,194973.3978789189
CEPA,13.714285714285715,Database,93498.62950000055,528.0444091581929
CELabc,11211.641785181226,fill,207012.39690000017,194973.3978789189
CELASE2,11211.641785181226,fill,29832.34680000002,1352957.9384834848
