metname,inchikey
suchms,GNISQJGXJIDKDJ-YFKPBYRVSA-M
cdpdhdecg,NA
ura,ISAKRJDGNUQOIC-UHFFFAOYSA-N
fdp,RNBGYGVWRKECFJ-VRPWFDPXSA-J
asntrna,NA
dudp,QHWZTVCCBMIIKE-SHYZEUOFSA-K
pran,PMFMJXPRNJUYMB-GWOFURMSSA-K
dtdp,UJLXYODCHAELLY-XLPZGREQSA-K
nicrns,PUEDDPCUCPRQNY-ZYUZMQFOSA-N
xylu__D,ZAQJHHRNXZUBTE-WUJLRWPWSA-N
ru5p__D,FNZLKVNUWIIPSJ-UHNVWZDZSA-L
arachACP,NA
iletrna,NA
creat,DDRJAANPRJIHGJ-UHFFFAOYSA-N
cmp,IERHLVCPSMICTF-XVFCMESISA-L
rbl__L,ZAQJHHRNXZUBTE-UCORVYFPSA-N
galman4,NA
nal2a6o,RVHKMLVNOXVQRH-LURJTMIESA-L
acorn,JRLGPAXAGHMNOL-LURJTMIESA-N
s,NINIDFKCEFEMDL-UHFFFAOYSA-N
argtrna,NA
s2l2fn2m2masn,NA
thf,MSTNYGQPCMXVAQ-RYUDHWBXSA-L
nh3,QGZKDVFQNNGYKY-UHFFFAOYSA-O
trpglcur,NA
peptido_TM,NA
gal1p,HXXFSFRBOHSIMQ-FPRJBGLDSA-L
dctp,RGWHQCVHVJXOKC-SHYZEUOFSA-J
phe__L,COLNVLDHVKWLRT-QMMMGPOBSA-N
coa,RGJOEKWQDUBAIZ-IBOSZNHHSA-J
nicrnt,JOUIQRNQJGXQDC-ZYUZMQFOSA-L
23dhmp,PDGXJDXVGMHUIR-UJURSFKZSA-M
xyl4,KPTPSLHFVHXOBZ-BIKCPUHGSA-N
2ahhmp,NA
trp__L,QIVBCDIJIAJPQS-VIFPVBQESA-N
2dda7p,PJWIPEXIFFQAQZ-PUFIMZNGSA-K
drib,PDWIQYODPROSQH-PYHARJCCSA-N
citr__L,RHGKLRLOHDJJDR-BYPYZUCNSA-N
xmp,DCTLYFZHFGENCW-UUOKFMHZSA-L
trnaile,NA
actp,LIPOUNRJVLNBCD-UHFFFAOYSA-L
gal_bD,WQZGKKKJIJFFOK-FPRJBGLDSA-N
23dhmb,JTEYKUFKXGDTEU-VKHMYHEASA-M
thrtrna,NA
4ampm,SSWDVESQMBHOQT-UHFFFAOYSA-N
alaala,DEFJQIDDEAULHB-QWWZWVQMSA-N
trdox,NA
ptrc,KIDHWZJUCRJVML-UHFFFAOYSA-P
histrna,NA
gam1p,YMJBYRVFGYXULK-QZABAPFNSA-M
dcdp,FTDHDKPUHBLBTL-SHYZEUOFSA-K
glu5sa,KABXUUFDPUOJMW-BYPYZUCNSA-N
gsn,NYHBQMYGNKIUIF-UUOKFMHZSA-N
2obut,TYEYBOSBBBHJIV-UHFFFAOYSA-M
3snpyr,NA
met__L,FFEARJCKVFRZRR-BYPYZUCNSA-N
acgam1p,FZLJPEPAYPUMMR-RTRLPJTCSA-L
glu5p,PJRXVIJAERNUIP-VKHMYHEASA-L
myrsACP,NA
