reactions,metabolites,metabolitestotal,gpr,genes
ACGK,acglu_c,acglu,TM1784,TM1784
ACCOAC,accoa_c,accoa,TM0716 and TM0717,TM0717
ACCOAC,accoa_c,accoa,TM0716 and TM0717,TM0716
ACCOAC,hco3_c,hco3,TM0716 and TM0717,TM0717
ACCOAC,hco3_c,hco3,TM0716 and TM0717,TM0716
ALCD19,glyald_c,glyald,TM0111 and TM0920,TM0111
ALCD19,glyald_c,glyald,TM0111 and TM0920,TM0920
ACALD,acald_c,acald,TM0111 and TM0920,TM0111
ACALD,acald_c,acald,TM0111 and TM0920,TM0920
ACGS,accoa_c,accoa,TM1783,TM1783
ACGS,glu__L_c,glu__L,TM1783,TM1783
ACKr,ac_c,ac,TM0274,TM0274
ACOATA,ACP_c,ACP,TM0802,TM0802
ACOATA,accoa_c,accoa,TM0802,TM0802
ACLS,pyr_c,pyr,TM0548 and TM0549,TM0549
ACLS,pyr_c,pyr,TM0548 and TM0549,TM0548
ACHBS,2obut_c,2obut,TM0548 and TM0549,TM0549
ACHBS,2obut_c,2obut,TM0548 and TM0549,TM0548
ACHBS,pyr_c,pyr,TM0548 and TM0549,TM0549
ACHBS,pyr_c,pyr,TM0548 and TM0549,TM0548
ACYP_2,actp_c,actp,TM1564,TM1564
DCYTD,dcyt_c,dcyt,TM0846,TM0846
ADAPAT,glu__L_c,glu__L,TM1785,TM1785
ADAPAT,nal2a6o_c,nal2a6o,TM1785,TM1785
ADA,adn_c,adn,TM0936,TM0936
CYTD,cytd_c,cytd,TM0846,TM0846
DHPPDA,25dhpp_c,25dhpp,TM1828,TM1828
ADMDC,amet_c,amet,TM0655,TM0655
ADPT,ade_c,ade,TM1384,TM1384
ADPT,prpp_c,prpp,TM1384,TM1384
BACCL,btn_c,btn,TM0224,TM0224
BGLA1,6pgg_c,6pgg,TM1281,TM1281
ADSS,asp__L_c,asp__L,TM1096,TM1096
BGLA_num1,cellb_c,cellb,TM0025,TM0025
AGDC,acgam6p_c,acgam6p,TM0814,TM0814
BTS3r,dtbt_c,dtbt,TM1269,TM1269
BTS3r,s_c,s,TM1269,TM1269
AGPAT160,1hdecg3p_c,1hdecg3p,TM1693,TM1693
AGPAT160,palmACP_c,palmACP,TM1693,TM1693
AGPR,acg5sa_c,acg5sa,TM1782,TM1782
CDPMEK,4c2me_c,4c2me,TM1383,TM1383
AHCi,ahcys_c,ahcys,TM0172,TM0172
BUTKr_num1,but_c,but,TM1754,TM1754
AHCYSNS,ahcys_c,ahcys,TM1129,TM1129
CBPS,gln__L_c,gln__L,TM0558 and TM0557,TM0557
CBPS,gln__L_c,gln__L,TM0558 and TM0557,TM0558
CBPS,hco3_c,hco3,TM0558 and TM0557,TM0557
CBPS,hco3_c,hco3,TM0558 and TM0557,TM0558
CEL6abc,cell6_e,cell6,TM1226 and TM1222 and TM1221 and TM1220 and TM1219,TM1222
CEL6abc,cell6_e,cell6,TM1226 and TM1222 and TM1221 and TM1220 and TM1219,TM1220
