,kcat,data_type,MW,kcat_MW
13BGH,98012.84217789852,fill,34118.18670000002,10341881.148110209
13BGHe_num1,98012.84217789852,fill,51180.03910000004,6894215.75374362
13GS_num1,98012.84217789852,fill,319875.9223999996,1103072.1824670702
16GS_num1,98012.84217789852,fill,80353.25420000036,4391187.828711897
23CAPPD,98012.84217789852,fill,26934.364100000013,13100225.07048661
2HMHMBQMTm,98012.84217789852,fill,364257.04830000026,968673.7250169346
2HP6MPMOm,98012.84217789852,fill,364257.04830000026,968673.7250169346
2HPMBQMTm,98012.84217789852,fill,364257.04830000026,968673.7250169346
2HPMMBQMOm,98012.84217789852,fill,364257.04830000026,968673.7250169346
ACACT6p,13.591666666666667,Other_species,178790.52120000016,273.6722264222582
ACACT7p,13.591666666666667,Other_species,178790.52120000016,273.6722264222582
ACACT8p,98012.84217789852,fill,178790.52120000016,1973517.5526768048
ACACT9p,98012.84217789852,fill,178790.52120000016,1973517.5526768048
ACALDCD_num1,98012.84217789852,fill,245978.53840000049,1434459.4212794704
ACCOAC,8.5,Database,500700.6483999982,61.114360641998545
ACCOACrm,8.5,Database,518320.40900000144,59.03684182345194
AGAT_SC_num1,98012.84217789852,fill,67773.04700000005,5206291.40136542
AGTi,125664.1077176666,Brenda_SA,41841.54529999998,10811999.999999998
ACGAM6PS,0.2075,Database,36309.487199999996,20.573135497215176
AHSERL,13341.373948133343,Brenda_SA,48631.982800000034,987600.0000000001
AHSERL2,13341.373948133343,Brenda_SA,48631.982800000034,987600.0000000001
ACGAMPM,15.053333333333333,Other_species,124352.64900000027,435.79288769312734
ACGKm,6.300000000000001,Database,190494.7182000013,119.05841912208906
ACGSm_num1,2.1999998,Other_species,47848.22210000006,165.52337646835974
ACHBSm,13217.065310000038,Brenda_SA,116621.16450000033,408000.0
ACHLE3,98012.84217789852,fill,27361.865400000017,12895547.386196647
ACLSm,13217.065310000038,Brenda_SA,116621.16450000033,408000.0
ACOAHim,7.26,Other_species,58748.229100000084,444.88149515982536
ACOAO4p,98012.84217789852,fill,83865.71780000054,4207276.120641901
AICART_num1,5.363333333333333,Other_species,65132.361100000155,296.44250068496217
AIRCr,49.5,Other_species,62184.25380000019,2865.677227118217
AKGDam,8.801045454545454,Other_species,218151.25000000087,145.23759839269087
AKGDbm,186.0,Other_species,218151.25000000087,3069.430039937875
ACOAO5p,98012.84217789852,fill,83865.71780000054,4207276.120641901
ACOAO6p,98012.84217789852,fill,83865.71780000054,4207276.120641901
ACOAO7p,98012.84217789852,fill,83865.71780000054,4207276.120641901
ACOAO8p,98012.84217789852,fill,83865.71780000054,4207276.120641901
ACOAO9p,98012.84217789852,fill,83865.71780000054,4207276.120641901
AKP1,228784.468453334,Brenda_SA,251734.24000000072,3271800.0000000005
ALASm,2570.606007666674,Brenda_SA,237286.70840000064,39000.00000000001
ALATA_L,145.492,Database,112913.23040000012,4638.705297373189
ALATA_Lm,145.492,Database,132841.5942000004,3942.8253112608186
ACOATA,10279.321786122935,Brenda_SA,435632.8491999988,84946.66666666667
ACOATAm,5703.854637717039,Brenda_SA,241726.69160000008,84946.66666666666
ACON3MT,98012.84217789852,fill,34795.03310000001,10140706.888433298
ALATRS,329.3192731333362,Brenda_SA,107386.71950000094,11039.999999999998
ALAt2r_num1,98012.84217789852,fill,132294.52720000036,2667126.4436132605
ACONT,202.78,Other_species,85367.20230000053,8551.387187723212
ACONT3m,98012.84217789852,fill,57887.906000000075,6095335.90384897
ACONTm_num1,202.78,Other_species,85367.20230000053,8551.387187723212
ACOTAim,1.185,Other_species,46680.870600000024,91.38647041428567
ALCD19y_num1,2623.75,Database,37215.387000000024,253806.3086647465
ALCD22xi_num1,1484.6267647058824,Database,37608.62360000002,142112.52211158222
ALCD22xim,1484.6267647058824,Database,40340.86299999998,132487.40744443613
ALCD22yi_num1,2623.75,Database,34675.35030000004,272398.1133075962
ALCD23xi_num1,203.113125,Database,46146.38870000001,15845.38401809977
ALCD23xim,203.113125,Database,40340.86299999998,18125.721554345535
ALCD23yi_num1,203.113125,Database,45441.58760000003,16091.146648230211
ALCD24xi_num1,127.27675675675675,Database,41041.60180000002,11164.192044871019
ALCD24xim,127.27675675675675,Database,40340.86299999998,11358.119044808846
ACP1e_num1,5986.0,Other_species,211319.84000000032,101976.2271256687
ACS,628289.2437248647,Brenda_SA,75376.54350000026,30007229.999999996
ACSm,659989.9167463008,Brenda_SA,79179.70770000039,30007230.0
ACSp,659989.9167463008,Brenda_SA,79179.70770000039,30007230.0
ACt2r,98012.84217789852,fill,88428.34020000065,3990193.992586464
ALCD24yi_num1,69.49666666666667,Database,79234.17000000001,3157.5770907930246
ALCD25xi_num1,203.113125,Database,46146.38870000001,15845.38401809977
ALCD25xim,203.113125,Database,40340.86299999998,18125.721554345535
ALCD25yi_num1,63.372875,Other_species,79234.17000000001,2879.342965288839
ACtr,98012.84217789852,fill,30725.764000000017,11483725.248961572
ADA,33.55309523809524,Other_species,39698.61960000003,3042.703854043902
ALCD2x_copy1,159.005,Database,36644.41520000002,15620.879658628028
ALCD2ir_num1,159.005,Database,36850.71560000001,15533.429695460238
ALCD2irm,159.005,Database,40340.86299999998,14189.532831759208
ADCS,0.1845,Other_species,88543.10930000043,7.501430718335941
ADD,5.5,Database,39698.61960000003,498.7578963576856
ADEt2_num1,98012.84217789852,fill,58200.54190000012,6062593.58283456
ADHAPR_SC,98012.84217789852,fill,32881.704599999975,10730776.768806413
ADK1,476.9318333333333,Other_species,28727.747499999994,59766.41920846736
ADK1m,476.9318333333333,Other_species,26278.90680000001,65335.84570572773
ADK3,47.87957916666666,Brenda_SA,28727.747499999994,6000.0
ALCD2x_copy2,159.005,Database,41041.60180000002,13947.26265289187
ALDD19xr_num1,82.22222222222223,Other_species,57154.037300000076,5178.986717006597
ALDD20xm,32129.405566666705,Brenda_SA,56698.95100000007,2040000.0
ALDD20y,2687.738835733331,Brenda_SA,15343.894399999986,630600.0
