metname,inchikey,Canonical_SMILES
2amsa,XMTCKNXTTXDPJX-REOHCLBHSA-N,C(=O)C(C(=O)O)N
g6p_r,NA,noinchikey_inpubchem
13dpg,LJQLQCAXBUHEAZ-UWTATZPHSA-J,C(C(C(=O)OP(=O)([O-])[O-])O)OP(=O)([O-])[O-]
44mctr,NA,noinchikey_inpubchem
gmp,RQFCJASXJCIDSX-UUOKFMHZSA-L,C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])[O-])O)O)NC(=NC2=O)N
ipc324_SC,NA,noinchikey_inpubchem
2obut,TYEYBOSBBBHJIV-UHFFFAOYSA-M,CCC(=O)C(=O)[O-]
acybut,DXWQLTOXWVWMOH-UHFFFAOYSA-M,C(CC(=O)[O-])C(C#N)N
asn__L_v,NA,noinchikey_inpubchem
m3macchitppdol_g,NA,noinchikey_inpubchem
cdpdag_SC,NA,noinchikey_inpubchem
dca,NA,noinchikey_inpubchem
mlthf_m,NA,noinchikey_inpubchem
r1p,YXJDFQJKERBOBM-TXICZTDVSA-L,C(C1C(C(C(O1)OP(=O)([O-])[O-])O)O)O
etoh_m,NA,noinchikey_inpubchem
leu__L_m,NA,noinchikey_inpubchem
tyrtrna_m,NA,noinchikey_inpubchem
1agly3p_SC,NA,noinchikey_inpubchem
accoa_x,NA,noinchikey_inpubchem
lac__L,JVTAAEKCZFNVCJ-REOHCLBHSA-M,CC(C(=O)[O-])O
dhor__S,UFIVEPVSAGBUSI-REOHCLBHSA-M,C1C(NC(=O)NC1=O)C(=O)[O-]
tdecoa,NA,noinchikey_inpubchem
T4hcinnm_m,NA,noinchikey_inpubchem
orot5p,KYOBSHFOBAOFBF-XVFCMESISA-K,C1=C(N(C(=O)NC1=O)C2C(C(C(O2)COP(=O)([O-])[O-])O)O)C(=O)[O-]
dolp_r,NA,noinchikey_inpubchem
dump_n,NA,noinchikey_inpubchem
skm5p,QYOJSKGCWNAKGW-PBXRRBTRSA-K,C1C(C(C(C=C1C(=O)[O-])OP(=O)([O-])[O-])O)O
ipdp_m,NA,noinchikey_inpubchem
2ippm,NJMGRJLQRLFQQX-HYXAFXHYSA-L,CC(C)C(=CC(=O)[O-])C(=O)[O-]
tag6p__D,BGWGXPAPYGQALX-OEXCPVAWSA-L,C(C1C(C(C(O1)(CO)O)O)O)OP(=O)([O-])[O-]
gdp_g,NA,noinchikey_inpubchem
hxc2coa_x,NA,noinchikey_inpubchem
ptd3ino_SC,NA,noinchikey_inpubchem
coa_r,NA,noinchikey_inpubchem
glu__L_x,NA,noinchikey_inpubchem
gly_m,NA,noinchikey_inpubchem
5fthf,VVIAGPKUTFNRDU-STQMWFEESA-L,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
iletrna_m,NA,noinchikey_inpubchem
man6p,NBSCHQHZLSJFNQ-QTVWNMPRSA-L,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)([O-])[O-]
4fumacac,GACSIVHAIFQKTC-OWOJBTEDSA-L,C(C(=O)CC(=O)[O-])C(=O)C=CC(=O)[O-]
nadph,ACFIXJIJDZMPPO-NNYOXOHSSA-J,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O
dcyt,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,C1C(C(OC1N2C=CC(=NC2=O)N)CO)O
ump_m,NA,noinchikey_inpubchem
aproa,PCXDJQZLDDHMGX-UHFFFAOYSA-O,C(C[NH3+])C=O
e4hglu_x,NA,noinchikey_inpubchem
dcdp,FTDHDKPUHBLBTL-SHYZEUOFSA-K,C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)([O-])OP(=O)([O-])[O-])O
pa_SC_m,NA,noinchikey_inpubchem
ptd4ino_SC,NA,noinchikey_inpubchem
trnathr,NA,noinchikey_inpubchem
4abut,BTCSSZJGUNDROE-UHFFFAOYSA-N,C(CC(=O)O)CN
2mbac,XHIUFYZDQBSEMF-UHFFFAOYSA-N,CCC(C)COC(=O)C
ps_SC,NA,noinchikey_inpubchem
adp_x,NA,noinchikey_inpubchem
pdx5p,WHOMFKWHIQZTHY-UHFFFAOYSA-L,CC1=NC=C(C(=C1O)CO)COP(=O)([O-])[O-]
g6p,NBSCHQHZLSJFNQ-GASJEMHNSA-L,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)([O-])[O-]
mettrna_m,NA,noinchikey_inpubchem
xyl__D,SRBFZHDQGSBBOR-IOVATXLUSA-N,C1C(C(C(C(O1)O)O)O)O
xu5p__D,FNZLKVNUWIIPSJ-RFZPGFLSSA-L,C(C(C(C(=O)CO)O)O)OP(=O)([O-])[O-]
ahcys_m,NA,noinchikey_inpubchem
focytc_m,NA,noinchikey_inpubchem
glyc3p,AWUCVROLDVIAJX-GSVOUGTGSA-L,C(C(COP(=O)([O-])[O-])O)O
atp_g,NA,noinchikey_inpubchem
34hpp_x,NA,noinchikey_inpubchem
gln__L_n,NA,noinchikey_inpubchem
ipc226_SC,NA,noinchikey_inpubchem
gmp_g,NA,noinchikey_inpubchem
4h2oglt_m,NA,noinchikey_inpubchem
dhap,GNGACRATGGDKBX-UHFFFAOYSA-L,C(C(=O)COP(=O)([O-])[O-])O
hxdcal,NIOYUNMRJMEDGI-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC=O
indpyr,RSTKLPZEZYGQPY-UHFFFAOYSA-M,C1=CC=C2C(=C1)C(=CN2)CC(=O)C(=O)[O-]
mip2c326_SC,NA,noinchikey_inpubchem
5mdru1p,CNSJRYUMVMWNMC-RITPCOANSA-L,CSCC(C(C(=O)COP(=O)([O-])[O-])O)O
ACP,NA,noinchikey_inpubchem
arg__L,ODKSFYDXXFIFQN-BYPYZUCNSA-O,C(CC(C(=O)[O-])[NH3+])C[NH+]=C(N)N
adp,XTWYTFMLZFPYCI-KQYNXXCUSA-K,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O)N
amp_x,NA,noinchikey_inpubchem
23dhmp_m,NA,noinchikey_inpubchem
orn,AHLPHDHHMVZTML-BYPYZUCNSA-O,C(CC(C(=O)[O-])[NH3+])C[NH3+]
2aobut,SAUCHDKDCUROAO-VKHMYHEASA-N,CC(=O)C(C(=O)O)N
cer1_26_r,NA,noinchikey_inpubchem
dhlpro_m,NA,noinchikey_inpubchem
coucoa_m,NA,noinchikey_inpubchem
fru,RFSUNEUAIZKAJO-VRPWFDPXSA-N,C(C1C(C(C(O1)(CO)O)O)O)O
pacald,DTUQWGWMVIHBKE-UHFFFAOYSA-N,C1=CC=C(C=C1)CC=O
