reactions,metabolites,metabolitestotal,gpr,genes
13BGH,13BDglcn_c,13BDglcn,YGR282C,YGR282C
13BGHe_num1,13BDglcn_e,13BDglcn,YOR190W,YOR190W
23CAPPD,23camp_c,23camp,YGR247W,YGR247W
2DOXG6PP_num1,2doxg6p_c,2doxg6p,YHR044C,YHR044C
2HMHMBQMTm,2hpmhmbq_m,2hpmhmbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YGR255C
2HMHMBQMTm,2hpmhmbq_m,2hpmhmbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YLR201C
2HMHMBQMTm,2hpmhmbq_m,2hpmhmbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YOL096C
2HMHMBQMTm,2hpmhmbq_m,2hpmhmbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YML110C
2HMHMBQMTm,2hpmhmbq_m,2hpmhmbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YGL119W
2HMHMBQMTm,2hpmhmbq_m,2hpmhmbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YDR204W
2HMHMBQMTm,2hpmhmbq_m,2hpmhmbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YOR125C
2HMHMBQMTm,amet_m,amet_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YGR255C
2HMHMBQMTm,amet_m,amet_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YLR201C
2HMHMBQMTm,amet_m,amet_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YOL096C
2HMHMBQMTm,amet_m,amet_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YML110C
2HMHMBQMTm,amet_m,amet_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YGL119W
2HMHMBQMTm,amet_m,amet_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YDR204W
2HMHMBQMTm,amet_m,amet_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YOR125C
2HP6MPMOm,2hp6mp_m,2hp6mp_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YGR255C
2HP6MPMOm,2hp6mp_m,2hp6mp_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YLR201C
2HP6MPMOm,2hp6mp_m,2hp6mp_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YOL096C
2HP6MPMOm,2hp6mp_m,2hp6mp_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YML110C
2HP6MPMOm,2hp6mp_m,2hp6mp_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YGL119W
2HP6MPMOm,2hp6mp_m,2hp6mp_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YDR204W
2HP6MPMOm,2hp6mp_m,2hp6mp_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YOR125C
2HP6MPMOm,o2_m,o2_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YGR255C
2HP6MPMOm,o2_m,o2_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YLR201C
2HP6MPMOm,o2_m,o2_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YOL096C
2HP6MPMOm,o2_m,o2_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YML110C
2HP6MPMOm,o2_m,o2_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YGL119W
2HP6MPMOm,o2_m,o2_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YDR204W
2HP6MPMOm,o2_m,o2_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YOR125C
2HPMBQMTm,2hp6mbq_m,2hp6mbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YGR255C
2HPMBQMTm,2hp6mbq_m,2hp6mbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YLR201C
2HPMBQMTm,2hp6mbq_m,2hp6mbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YOL096C
2HPMBQMTm,2hp6mbq_m,2hp6mbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YML110C
2HPMBQMTm,2hp6mbq_m,2hp6mbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YGL119W
2HPMBQMTm,2hp6mbq_m,2hp6mbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YDR204W
2HPMBQMTm,2hp6mbq_m,2hp6mbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YOR125C
2HPMBQMTm,amet_m,amet_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YGR255C
2HPMBQMTm,amet_m,amet_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YLR201C
2HPMBQMTm,amet_m,amet_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YOL096C
2HPMBQMTm,amet_m,amet_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YML110C
2HPMBQMTm,amet_m,amet_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YGL119W
2HPMBQMTm,amet_m,amet_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YDR204W
2HPMBQMTm,amet_m,amet_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YOR125C
2HPMMBQMOm,2hpmmbq_m,2hpmmbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YGR255C
2HPMMBQMOm,2hpmmbq_m,2hpmmbq_m,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,YLR201C
