reactions,data_type,kcat,MW,kcat_MW
THFATm,DLkcat,3125.5364,45190.337499999965,50370.59616567262
CCP2m_num1,DLkcat,1538.0344,40378.63489999998,105446.35676845437
ASNS1_num3,DLkcat,1538.0344,64643.58550000024,85653.10536495503
ACOATAm_reverse,DLkcat,1531.2538,33054.73320000003,22804.73721587144
ILEt6,DLkcat,1095.6986,65594.50690000021,15033.709171765979
MCOATAm_reverse,DLkcat,1011.9335,31253.65830000004,15070.576508895549
GTHOm,DLkcat,693.0535,16717.969899999993,20715.593445600003
NAPRT,DLkcat,669.6128,19418.7251,15517.278217198722
PSP_L,DLkcat,558.3998,34421.28530000005,58401.05221172544
ALCD23xi_num5,DLkcat,553.8135,36644.41520000002,
ALLTAHr,DLkcat,493.4676,38572.22509999999,46056.02490897007
FAS120ACPm,DLkcat,473.0679,33054.73320000003,7045.330528984907
FACOAL180_reverse_num3,DLkcat,438.8947,77283.92020000028,20444.368193423943
GCCcm,DLkcat,419.2536,114449.9295000008,6533.602644566292
GLUTRSm,DLkcat,419.2536,61602.57690000014,24500.808828989044
GHMT2r,DLkcat,408.7988,52217.83500000005,7045.847841068089
GAT2_SC_num2,DLkcat,408.7988,83882.69770000044,4386.112155284178
FACOAL120p,DLkcat,402.1624,83751.29420000048,4321.678410552823
FAS140ACPm,DLkcat,402.1624,31253.65830000004,5989.345365284433
FAO181p_odd_num1,DLkcat,402.1624,31319.597200000026,3690.0430130458667
GLUt7,DLkcat,402.1624,48839.78000000007,29643.55367694117
FAS120COA,DLkcat,402.1624,206944.4211999997,2017.235522016616
FAO80p,DLkcat,402.1624,98373.1513000006,4010.1572860784204
FAS100COA,DLkcat,402.1624,206944.4211999997,2017.235522016616
FAS100ACPm,DLkcat,402.1624,33054.73320000003,5989.345365284433
FAS180ACPm,DLkcat,402.1624,40706.81980000003,5989.345365284433
FAS160ACPm,DLkcat,402.1624,33054.73320000003,5989.345365284433
ATPS3m_num2,DLkcat,380.0711,,3565.8361879785402
OMCDCm,DLkcat,363.4741,43595.5177,15007.354299637092
ALATA_Lm_reverse,DLkcat,340.8255,66420.7971000002,9236.352570059687
ILETAm_reverse,DLkcat,340.8255,43595.5177,14072.224218592082
ALCD23xi_num4,DLkcat,336.1596,36850.71560000001,
FA141ACPHi,DLkcat,332.6979,206944.4211999997,2749.362088280286
ALCD25xi_num2,DLkcat,332.3868,36644.41520000002,
ALCD23xi_num3,DLkcat,324.8354,41041.60180000002,
FAS182ACPm,DLkcat,323.7708,40706.81980000003,4821.870817347503
FAS80ACPm_L,DLkcat,323.7708,40706.81980000003,4821.870817347503
FAS181ACPm,DLkcat,323.7708,40706.81980000003,4821.870817347503
FAS141ACPm,DLkcat,323.7708,40706.81980000003,4821.870817347503
FAS161ACPm,DLkcat,323.7708,40706.81980000003,4821.870817347503
MI145PKn,DLkcat,272.4222,39226.7263000001,25001.319572263095
ALCD24xi_num4,DLkcat,268.1592,36850.71560000001,
GLYGS_num3,DLkcat,241.8016,79970.79140000034,5840.725108260809
FACOAL180_reverse_num2,DLkcat,239.4259,77906.1398000003,5531.869774402535
MIP2C124PLC_SC,DLkcat,238.7118,50330.927500000114,17074.24286985369
POLYAO2,DLkcat,236.1544,57804.95240000016,3676.829599811234
ACON3MT,DLkcat,229.9528,34795.03310000001,23791.61639596198
ACGSm_num1,DLkcat,221.9696,47848.22210000006,16700.527729743986
ALCD2x_copy2,DLkcat,220.2983,41041.60180000002,
ALCD24yi_num2,DLkcat,219.0276,45441.58760000003,17351.93248397861
BTDD_RR_reverse,DLkcat,209.719,41229.97740000002,18311.63749316049
FAO182p_oddodd_num2,DLkcat,198.5922,98373.1513000006,1826.919837984047
FACOAL240p_reverse,DLkcat,195.7718,76678.29500000043,9191.368691752941
ALCD22xi_num5,DLkcat,192.7675,36850.71560000001,
GCCbim,DLkcat,183.4237,45190.337499999965,2858.455052970646
ACOATAm,DLkcat,181.2311,44009.583899999976,2699.048068219206
GLYGS_num4,DLkcat,181.1976,79970.79140000034,5255.3043669712415
FACOAL181_reverse_num3,DLkcat,181.1976,77283.92020000028,8440.453826771556
ALCD24xi_num2,DLkcat,173.6303,46146.38870000001,13545.35203314837
ATPS3g,DLkcat,166.6597,54518.30280000001,1012.047844221866
ATPS3v,DLkcat,166.6597,67808.96750000029,1238.0514119945447
ALCD24xi_num5,DLkcat,164.0478,37608.62360000002,15703.102732002128
ALDD20y,DLkcat,159.4605,15343.894399999986,37412.783549918095
UGLYCH,DLkcat,152.1552,21694.603800000008,12624.307985748968
TRPTA_reverse_num1,DLkcat,152.1552,56177.15760000004,2437.6398851479075
ALAt2r_num2,DLkcat,151.749,68096.60530000026,4011.1867367931623
SQLErx_num2,DLkcat,151.656,55005.031500000056,5330.396896883918
MDHm_reverse,DLkcat,147.8528,35649.51650000001,7465.319761068846
GTHPi_reverse_num5,DLkcat,138.4503,19410.99760000001,25677.252157302813
MIPCS324_SC_num2,DLkcat,138.4503,45441.58760000003,5577.84078282821
ALCD22xi_num4,DLkcat,133.7009,46146.38870000001,10430.355517722233
CYOR_u6m_num2,DLkcat,130.1644,16866.469999999998,1511.1270980779725
ALCD2ir_num1,DLkcat,127.5168,36850.71560000001,
GLCGSDv,DLkcat,126.3218,61462.18380000014,3699.4982270707974
FTHFLmi,DLkcat,125.1426,106216.11210000076,2120.739269649829
NAPRTm,DLkcat,125.1426,19418.7251,2899.9931617549914
FAO181p_even_num2,DLkcat,122.5771,31359.827600000008,1043.97030598172
FAO161p_even_num3,DLkcat,122.5771,31359.827600000008,971.9528665766929
FAO141p_odd_num2,DLkcat,122.5771,30302.45970000002,1127.6300664001626
FAO182p_eveneven_num2,DLkcat,122.5771,83865.71780000054,1041.4641949232332
FAO182p_eveneven_num3,DLkcat,122.5771,98373.1513000006,971.9528665766929
FAO141p_even_num3,DLkcat,122.5771,31359.827600000008,971.9528665766929
FAO161p_even_num2,DLkcat,122.5771,31359.827600000008,1043.97030598172
FAO141p_even_num2,DLkcat,122.5771,31359.827600000008,1043.97030598172
FAS180,DLkcat,122.5771,206944.4211999997,614.8433575734155
