metname,inchikey
3c3hmp,BITYXLXUCSKTJS-ZETCQYMHSA-L
al26da,NA
f6p,BGWGXPAPYGQALX-ARQDHWQXSA-L
dhor__S,UFIVEPVSAGBUSI-REOHCLBHSA-M
glu__D,WHUUTDBJXJRKMK-GSVOUGTGSA-M
carorn,NA
bzal,HUMNYLRZRPPJDN-UHFFFAOYSA-N
malt,GUBGYTABKSRVRQ-PICCSMPSSA-N
23dhmb,JTEYKUFKXGDTEU-VKHMYHEASA-M
alaala,DEFJQIDDEAULHB-QWWZWVQMSA-N
dcyt,CKTSBUTUHBMZGZ-SHYZEUOFSA-N
cys__L,XUJNEKJLAYXESH-REOHCLBHSA-N
hom__L,UKAUYVFTDYCKQA-VKHMYHEASA-N
mettrna,NA
2dda7p,PJWIPEXIFFQAQZ-PUFIMZNGSA-K
accoa,ZSLZBFCDCINBPY-ZSJPKINUSA-J
acser,VZXPDPZARILFQX-BYPYZUCNSA-N
2toceacp,NA
acgal6p,BRGMHAYQAZFZDJ-KEWYIRBNSA-L
aspsa,HOSWPDPVFBCLSY-VKHMYHEASA-N
fol,OVBPIULPVIDEAO-LBPRGKRZSA-L
thfglu,ZAOGJXDWOQXFBW-FGRDXJNISA-K
glu__L,WHUUTDBJXJRKMK-VKHMYHEASA-M
dxyl5p,AJPADPZSRRUGHI-RFZPGFLSSA-L
dhna,VOJUXHHACRXLTD-UHFFFAOYSA-M
man6p,NBSCHQHZLSJFNQ-QTVWNMPRSA-L
trnahis,NA
pea,NA
4abut,BTCSSZJGUNDROE-UHFFFAOYSA-N
man,WQZGKKKJIJFFOK-QTVWNMPRSA-N
2h3mb,NA
fruur,PTCIWUZVDIQTOW-XDJBDKDSSA-M
a_gal__D,NA
e4p,NGHMDNPXVRFFGS-IUYQGCFVSA-L
2mbcoa,LYNVNYDEQMMNMZ-XGXNYEOVSA-J
mana,RGHNJXZEOKUKBD-MBMOQRBOSA-M
acamoxm,RVHKMLVNOXVQRH-LURJTMIESA-L
3php,LFLUCDOSQPJJBE-UHFFFAOYSA-K
inost,CDAISMWEOUEBRE-GPIVLXJGSA-N
gdptp,KCPMACXZAITQAX-UUOKFMHZSA-H
udpglcur,HDYANYHVCAPMJV-LXQIFKJMSA-K
cpppg3,NIUVHXTXUXOFEB-UHFFFAOYSA-J
gal,WQZGKKKJIJFFOK-PHYPRBDBSA-N
thmpp,AYEKOFBPNLCAJY-UHFFFAOYSA-L
12dgr_LLA,NA
acglu,RFMMMVDNIPUKGG-YFKPBYRVSA-L
phthr,FKHAKIJOKDGEII-GBXIJSLDSA-L
o2,MYMOFIZGZYHOMD-UHFFFAOYSA-N
g3p,LXJXRIRHZLFYRP-VKHMYHEASA-L
akg,KPGXRSRHYNQIFN-UHFFFAOYSA-L
gthox,YPZRWBKMTBYPTK-BJDJZHNGSA-L
2tocdacp,NA
idp,JPXZQMKKFWMMGK-KQYNXXCUSA-K
damp,KHWCHTKSEGGWEX-RRKCRQDMSA-L
2dr1p,KBDKAJNTYKVSEK-VPENINKCSA-L
mqn7,RAKQPZMEYJZGPI-LJWNYQGCSA-N
sbt6p,GACTWZZMVMUKNG-SLPGGIOYSA-L
alatrna,NA
4mhetz,BKAWJIRCKVUVED-UHFFFAOYSA-N
sucbz,YIVWQNVQRXFZJB-UHFFFAOYSA-L
trnamet,NA
adn,OIRDTQYFTABQOQ-KQYNXXCUSA-N
4ampm,SSWDVESQMBHOQT-UHFFFAOYSA-N
5mta,WUUGFSXJNOTRMR-IOSLPCCCSA-N
ugmd,QUHLBZKCGUXHGP-AJVQVANPSA-J
uacgam,LFTYTUAZOPRMMI-CFRASDGPSA-L
2mb_p,NA
acg5p,FCVIHFVSXHOPSW-YFKPBYRVSA-K
glu5sa,KABXUUFDPUOJMW-BYPYZUCNSA-N
4r5au,XKQZIXVJVUPORE-RPDRRWSUSA-N
nac,PVNIIMVLHYAWGP-UHFFFAOYSA-M
3oxhdacp,NA
uama,NTMMCWJNQNKACG-KBKUWGQMSA-K
udpg,HSCJRCZFDFQWRP-RDKQLNKOSA-L
uaAgla,NA
CPS_LLA,NA
prpp,PQGCEDQWHSBAJP-TXICZTDVSA-I
dgdp,CIKGWCTVFSRMJU-KVQBGUIXSA-K
nmn,DAYLJWODMCOQEW-TURQNECASA-M
dmpp,CBIDRCWHNCKSTO-UHFFFAOYSA-K
g6p,NBSCHQHZLSJFNQ-GASJEMHNSA-L
psd5p,NA
uaccg,BEGZZYPUNCJHKP-DBYWSUQTSA-K
phpyr,BTNMPGBKDVTSJY-UHFFFAOYSA-M
asptrna,NA
mal__L,BJEPYKJPYRNKOW-REOHCLBHSA-L
dutp,AHCYMLUZIRLXAA-SHYZEUOFSA-J
nh3,QGZKDVFQNNGYKY-UHFFFAOYSA-O
gly,DHMQDGOQFOQNFH-UHFFFAOYSA-N
25aics,NAQGHJTUZRHGAC-ZZZDFHIKSA-J
4h2oxg,NA
lac__L,JVTAAEKCZFNVCJ-REOHCLBHSA-M
glu5p,PJRXVIJAERNUIP-VKHMYHEASA-L
3psme,QUTYKIXIUDQOLK-PRJMDXOYSA-J
pgp_LLA,NA
N1aspmd,MQTAVJHICJWXBR-UHFFFAOYSA-P
succ,KDYFGRWQOYBRFD-UHFFFAOYSA-L
trnaval,NA
actp,LIPOUNRJVLNBCD-UHFFFAOYSA-L
coa,RGJOEKWQDUBAIZ-IBOSZNHHSA-J
orot5p,KYOBSHFOBAOFBF-XVFCMESISA-K
g3ps,ZWZWYGMENQVNFU-UHNVWZDZSA-M
g1p,HXXFSFRBOHSIMQ-GASJEMHNSA-L
pyrimid,NA
glyc,PEDCQBHIVMGVHV-UHFFFAOYSA-N
hisp,CWNDERHTHMWBSI-YFKPBYRVSA-M
nicrnt,JOUIQRNQJGXQDC-ZYUZMQFOSA-L
4hglu,HBDWQSHEVMSFGY-SCQFTWEKSA-M
pnto__R,GHOKWGTUZJEAQD-ZETCQYMHSA-M
acald,IKHGUXGNUITLKF-UHFFFAOYSA-N
for,BDAGIHXWWSANSR-UHFFFAOYSA-M
dcmp,NCMVOABPESMRCP-SHYZEUOFSA-L
gam6p,XHMJOUIAFHJHBW-IVMDWMLBSA-M
galt,FBPFZTCFMRRESA-GUCUJZIJSA-N
ump,DJJCXFVJDGTHFX-XVFCMESISA-L
ichor,NTGWPRCCOQCMGE-YUMQZZPRSA-L
his__L,HNDVDQJCIGZPNO-YFKPBYRVSA-N
thdp,CXMBCXQHOXUCEO-BYPYZUCNSA-L
pep,DTBNBXWJWCWCIK-UHFFFAOYSA-K
fdp,RNBGYGVWRKECFJ-VRPWFDPXSA-J
acgam1p,FZLJPEPAYPUMMR-RTRLPJTCSA-L
ivcoa,UYVZIWWBJMYRCD-ZMHDXICWSA-J
gmh7p,NA
PG,NA
thmmp,HZSAJDVWZRBGIF-UHFFFAOYSA-M
ib_p,NA
3mop,JVQYSWDUAOAHFM-BYPYZUCNSA-M
hexacp,NA
prbamp,RTQMRTSPTLIIHM-KEOHHSTQSA-J
pro__L,ONIBWKKTOPOVIA-BYPYZUCNSA-N
ahdt,DGGUVLXVLHAAGT-XINAWCOVSA-J
tyr__L,OUYCCCASQSFEME-QMMMGPOBSA-N
sertrna,NA
tyrtrna,NA
galt1p,GACTWZZMVMUKNG-DPYQTVNSSA-L
2mahmp,AGQJQCFEPUVXNK-UHFFFAOYSA-K
co2,CURLTUGMZLYLDI-UHFFFAOYSA-N
dadp,DAEAPNUQQAICNR-RRKCRQDMSA-K
lystrna,NA
cellb,GUBGYTABKSRVRQ-QRZGKKJRSA-N
hpglu,RXWVHRYZTWZATH-XSLAGTTESA-J
uri,DRTQHJPVMGBUCF-XVFCMESISA-N
unRTA,NA
glutrna,NA
xu5p__D,FNZLKVNUWIIPSJ-RFZPGFLSSA-L
succoa,VNOYUJKHFWYWIR-ITIYDSSPSA-I
hco3,BVKZGUZCCUSVTD-UHFFFAOYSA-M
pyrin,NA
leu__L,ROHFNLRQFUQHCH-YFKPBYRVSA-N
xan,LRFVTYWOQMYALW-UHFFFAOYSA-N
2aeppn,NA
2ahhmp,NA
dha,RXKJFZQQPQGTFL-UHFFFAOYSA-N
4mop,BKAJNAXTPSGJCU-UHFFFAOYSA-M
acgala,NA
fpram,PMCOGCVKOAOZQM-ZRTZXPPTSA-M
so4,QAOWNCQODCNURD-UHFFFAOYSA-L
aicar,NOTGFIUVDGNKRI-UUOKFMHZSA-L
3hmp,DBXBTMSZEOQQDU-UHFFFAOYSA-M
h2o,XLYOFNOQVPJJNP-UHFFFAOYSA-N
malcoa,LTYOQGRJFJAKNA-DVVLENMVSA-I
uamag,OJZCATPXPWFLHF-HPUCEMLMSA-J
iv_p,NA
r5p,KTVPXOYAKDPRHY-AIHAYLRMSA-L
sbzcoa,AVOVYFCDODUXLY-HSJNEKGZSA-I
g6p_B,NBSCHQHZLSJFNQ-VFUOTHLCSA-L
hxan,FDGQSTZJBFJUBT-UHFFFAOYSA-N
2ttdeacp,NA
dgmp,LTFMZDNNPPEQNG-KVQBGUIXSA-L
cdp,ZWIADYZPOWUWEW-XVFCMESISA-K
val__L,KZSNJWFQEVHDMF-BYPYZUCNSA-N
2cocdacp,NA
glyb,KWIUHFFTVRNATP-UHFFFAOYSA-N
3c2hmp,RNQHMTFBUSSBJQ-CRCLSJGQSA-L
gmp,RQFCJASXJCIDSX-UUOKFMHZSA-L
glcn__D,RGHNJXZEOKUKBD-SQOUGZDYSA-M
maltttr,LUEWUZLMQUOBSB-ZLBHSGTGSA-N
suc6p,PJTTXANTBQDXME-UGDNZRGBSA-L
thf,MSTNYGQPCMXVAQ-RYUDHWBXSA-L
gln__L,ZDXPYRJPNDTMRX-VKHMYHEASA-N
