reactions,metabolites,metabolitestotal,gpr,genes
AMALT1,malt_c,malt,llmg_1875,llmg_1875
AMALT1,malttr_c,malttr,llmg_1875,llmg_1875
AMALT2,malt_c,malt,llmg_1875,llmg_1875
AMALT2,maltttr_c,maltttr,llmg_1875,llmg_1875
AMALT3,malt_c,malt,llmg_1875,llmg_1875
AMALT3,maltpt_c,maltpt,llmg_1875,llmg_1875
AMALT4,malt_c,malt,llmg_1875,llmg_1875
AMALT4,malthx_c,malthx,llmg_1875,llmg_1875
ACGAMT,uacgam_c,uacgam,LLMG_RS09905,LLMG_RS09905
ACGAMT,udcpp_c,udcpp,LLMG_RS09905,LLMG_RS09905
ACGK,acglu_c,acglu,LLMG_RS08820,LLMG_RS08820
ACHBS,2obut_c,2obut,LLMG_RS06630,LLMG_RS06630
ACHBS,pyr_c,pyr,LLMG_RS06630,LLMG_RS06630
ACOATA,ACP_c,ACP,LLMG_RS08965,LLMG_RS08965
ACOATA,accoa_c,accoa,LLMG_RS08965,LLMG_RS08965
ACLS_num1,pyr_c,pyr,LLMG_RS06480,LLMG_RS06480
ACLDC_num1,alac__S_c,alac__S,LLMG_RS07390,LLMG_RS07390
ACODA_1,acorn_c,acorn,LLMG_RS02810,LLMG_RS02810
ACKILE_num1,2mb_p_c,2mb_p,LLMG_RS11480,LLMG_RS11480
ACKLEU_num1,iv_p_c,iv_p,LLMG_RS11480,LLMG_RS11480
2S6HCCi,akg_c,akg,LLMG_RS09160,LLMG_RS09160
2S6HCCi,ichor_c,ichor,LLMG_RS09160,LLMG_RS09160
ACKVAL_num1,ib_p_c,ib_p,LLMG_RS11480,LLMG_RS11480
AALDH,pacald_c,pacald,LLMG_RS09975,LLMG_RS09975
ACKr_num1,ac_c,ac,LLMG_RS11480,LLMG_RS11480
ACOTA,acorn_c,acorn,LLMG_RS08825,LLMG_RS08825
ACOTA,akg_c,akg,LLMG_RS08825,LLMG_RS08825
ACTD,actn__R_c,actn__R,LLMG_RS08260,LLMG_RS08260
AB6PGH_num1,arbt6p_c,arbt6p,LLMG_RS02245,LLMG_RS02245
ACPS2,apoACP_c,apoACP,LLMG_RS08960 and LLMG_RS08575,LLMG_RS08575
ACPS2,apoACP_c,apoACP,LLMG_RS08960 and LLMG_RS08575,LLMG_RS08960
ACPSc_num1,ACP_2_c,ACP_2,LLMG_RS02035,LLMG_RS02035
ADADir,dcyt_c,dcyt,LLMG_RS03940,LLMG_RS03940
ADA_num1,adn_c,adn,LLMG_RS09230,LLMG_RS09230
ADCS,chor_c,chor,LLMG_RS05855 and LLMG_RS05860,LLMG_RS05860
ADCS,chor_c,chor,LLMG_RS05855 and LLMG_RS05860,LLMG_RS05855
ADCS,gln__L_c,gln__L,LLMG_RS05855 and LLMG_RS05860,LLMG_RS05860
ADCS,gln__L_c,gln__L,LLMG_RS05855 and LLMG_RS05860,LLMG_RS05855
ADPDS,al26da_c,al26da,LLMG_RS01525,LLMG_RS01525
ADPT,ade_c,ade,LLMG_RS03160,LLMG_RS03160
ADPT,prpp_c,prpp,LLMG_RS03160,LLMG_RS03160
ADPRDP_num1,adprib_c,adprib,LLMG_RS10355,LLMG_RS10355
