,kcat,data_type,MW,kcat_MW
GAMAN6Ptex,5705.62417175931,fill,18.0153,1140155702.0051575
GAMptspp,5705.62417175931,fill,64729.394099999976,317324.8769577703
GALCTNLtex,5705.62417175931,fill,18.0153,1140155702.0051575
GAMtex,5705.62417175931,fill,18.0153,1140155702.0051575
GALCTNtex,5705.62417175931,fill,18.0153,1140155702.0051575
GAPD,125.234,Other_species,18.0153,25025528.300944198
GALCTtex,5705.62417175931,fill,18.0153,1140155702.0051575
GALKr,23.971307142857142,Other_species,18.0153,4790189.76726925
GARFT,6.3756,Other_species,18.0153,1274037.068491782
GALtex,5705.62417175931,fill,18.0153,1140155702.0051575
DDGLCNtex,5705.62417175931,fill,18.0153,1140155702.0051575
DDGLK,15.344999999999999,Other_species,18.0153,3066393.5654693507
GALTtex,5705.62417175931,fill,18.0153,1140155702.0051575
DDPA,35.97373913043478,Other_species,18.0153,7188637.484225364
GALURt2rpp,5705.62417175931,fill,18.0153,1140155702.0051575
GALURtex,5705.62417175931,fill,18.0153,1140155702.0051575
DGK1,272.12,Other_species,18.0153,54377778.88794525
DGMPtex,5705.62417175931,fill,18.0153,1140155702.0051575
GBBTNtex,5705.62417175931,fill,18.0153,1140155702.0051575
DGSNtex,5705.62417175931,fill,18.0153,1140155702.0051575
DHAD1,14.895461538461538,Other_species,18.0153,2976562.22979698
DHAD2,14.895461538461538,Other_species,18.0153,2976562.22979698
DHAtex,5705.62417175931,fill,18.0153,1140155702.0051575
GDPDPK_num1,15.121666666666666,Other_species,18.0153,3021764.833225092
GDPtex,5705.62417175931,fill,18.0153,1140155702.0051575
GF6PTA,12.19958375,Other_species,18.0153,2437844.5821052105
GHMT2r,67.43848454545454,Other_species,18.0153,13476242.1033031
GK1,272.12,Other_species,18.0153,54377778.88794525
GLBRAN2,500.075,Other_species,18.0153,99930059.44946796
GLCNt2rpp_num1,5705.62417175931,fill,18.0153,1140155702.0051575
GLCNtex,5705.62417175931,fill,18.0153,1140155702.0051575
GLCP,5705.62417175931,fill,18.0153,1140155702.0051575
GLCP2,49.310544680851066,Other_species,18.0153,9853733.262896752
GLCptspp_num1,5705.62417175931,fill,54.0459,380051900.66838586
GLCRtex,5705.62417175931,fill,18.0153,1140155702.0051575
GLCS1,303.75,Other_species,18.0153,60698406.35459859
GLCtex_copy1,5705.62417175931,fill,18.0153,1140155702.0051575
GLCtex_copy2,5705.62417175931,fill,18.0153,1140155702.0051575
GLCUR1Ptex,5705.62417175931,fill,18.0153,1140155702.0051575
GLCURt2rpp,5705.62417175931,fill,18.0153,1140155702.0051575
GLCURtex,5705.62417175931,fill,18.0153,1140155702.0051575
GLDBRAN2,500.075,Other_species,18.0153,99930059.44946796
GLGC,104.63045454545454,Other_species,18.0153,20908318.838078544
12PPDRtex,5705.62417175931,fill,18.0153,1140155702.0051575
12PPDStex,5705.62417175931,fill,18.0153,1140155702.0051575
14GLUCANabcpp,5705.62417175931,fill,72.0612,285038925.50128937
23CAMPtex,5705.62417175931,fill,18.0153,1140155702.0051575
5DGLCNtex,5705.62417175931,fill,18.0153,1140155702.0051575
2AGPG180tipp,5705.62417175931,fill,42840.58050000002,479457.7192606787
23CCMPtex,5705.62417175931,fill,18.0153,1140155702.0051575
2AGPG181tipp,5705.62417175931,fill,42840.58050000002,479457.7192606787
2AGPGAT120,5705.62417175931,fill,18.0153,1140155702.0051575
