metname,inchikey
1hdecg3p,NA
air,PDACUKOKVHBVHJ-ZRTZXPPTSA-M
ocdca,QIQXTHQIDYTFRH-UHFFFAOYSA-M
h2,UFHFLCQGNIYNRP-UHFFFAOYSA-N
kokdolipid4,NA
3c2hmp,RNQHMTFBUSSBJQ-CRCLSJGQSA-L
fldrd,NA
xtsn,UBORTCNDUKBEOP-UUOKFMHZSA-N
tag6p__D,BGWGXPAPYGQALX-OEXCPVAWSA-L
athr__L,AYFVYJQAPQTCCC-HRFVKAFMSA-N
suc6p,PJTTXANTBQDXME-UGDNZRGBSA-L
acmana,MBLBDJOUHNCFQT-XAMCCFCMSA-N
thr__L,AYFVYJQAPQTCCC-GBXIJSLDSA-N
murein3p3p,QKZNHGKXDALVQW-UHFFFAOYSA-I
acald,IKHGUXGNUITLKF-UHFFFAOYSA-N
fe,NA
5aprbu,RQRINYISXYAZKL-RPDRRWSUSA-L
asntrna,NA
5mthf,ZNOVTXRBGFNYRX-STQMWFEESA-L
sectrna,NA
dgsn,YKBGVTZYEHREMT-KVQBGUIXSA-N
3ohodcoa,LGOGWHDPDVAUNY-LFZQUHGESA-J
dgmp,LTFMZDNNPPEQNG-KVQBGUIXSA-L
stys,UQZIYBXSHAGNOE-XNSRJBNMSA-N
2obut,TYEYBOSBBBHJIV-UHFFFAOYSA-M
4adcho,OIUJHGOLFKDBSU-HTQZYQBOSA-M
kdolipid4,GPNCBCJEDRRCDW-ACUQGRCXSA-I
tyrp,DCWXELXMIBXGTH-QMMMGPOBSA-L
unagamuf,PSONHUYFSWYIME-RZVIFHIQSA-K
dhf,OZRNSSUDZOLUSN-LBPRGKRZSA-L
murein5p5p,WSONNHVKPYOZEY-UHFFFAOYSA-E
murein5p4p,YJNGRCZHKAYCMA-VZNOAHCOSA-E
pg161,GHQNERCMPIDAAU-ANXSUKRNSA-M
alatrna,NA
etha,HZAXFHJVJLSVMW-UHFFFAOYSA-O
din,VGONTNSXDCQUGY-RRKCRQDMSA-N
clpn161,UYSHBKYVDAZLKJ-GMUISZSCSA-L
12dgr140,NA
malt6p,ITPHOIFCAFNCLL-ASMJPISFSA-L
zn2,PTFCDOFLOPIGGS-UHFFFAOYSA-N
arg__L,ODKSFYDXXFIFQN-BYPYZUCNSA-O
taur,XOAAWQZATWQOTB-UHFFFAOYSA-N
glycogen,NA
r5p,KTVPXOYAKDPRHY-AIHAYLRMSA-L
pg181,NA
pyam5p,ZMJGSOSNSPKHNH-UHFFFAOYSA-M
nicrnt,JOUIQRNQJGXQDC-ZYUZMQFOSA-L
ap4a,YOAHKNVSNCMZGQ-XPWFQUROSA-J
acgal1p,FZLJPEPAYPUMMR-JAJWTYFOSA-L
acgam6p,BRGMHAYQAZFZDJ-RTRLPJTCSA-L
lac__L,JVTAAEKCZFNVCJ-REOHCLBHSA-M
dcacoa,NA
5mta,WUUGFSXJNOTRMR-IOSLPCCCSA-N
mi1p__D,INAPMGSXUVUWAF-UOTPTPDRSA-L
rbflvrd,SGSVWAYHEWEQET-SCRDCRAPSA-N
pa161,NA
25dkglcn,RXMWXENJQAINCC-DMTCNVIQSA-M
pa120,NA
f1p,RHKKZBWRNHGJEZ-VRPWFDPXSA-L
cbi,XQRJFEVDQXEIAX-JFYQDRLCSA-M
glu5sa,KABXUUFDPUOJMW-BYPYZUCNSA-N
succoa,VNOYUJKHFWYWIR-ITIYDSSPSA-I
26dap_LL,GMKMEZVLHJARHF-WHFBIAKZSA-N
6hmhptpp,FCQGJGLSOWZZON-UHFFFAOYSA-K
td2coa,MBCVYCOKMMMWLX-YYMFEJJQSA-J
kdo2lipid4,XAOLJGCZESYRFT-VHSKNIDJSA-H
gam6p,XHMJOUIAFHJHBW-IVMDWMLBSA-M
25aics,NAQGHJTUZRHGAC-ZZZDFHIKSA-J
murein4px4p4p,NPJMJVATSCHTAI-UHFFFAOYSA-F
1agpg120,IACXMECMZISNLR-UHFFFAOYSA-M
23cump,HWDMHJDYMFRXOX-XVFCMESISA-M
cobalt2,XLJKHNWPARRRJB-UHFFFAOYSA-N
acorn,JRLGPAXAGHMNOL-LURJTMIESA-N
ppap,FMNMEQSRDWIBFO-UHFFFAOYSA-L
pg141,NA
pgp161,PTJJTQQVMKSSOK-WXUKJITCSA-K
ru5p__L,FNZLKVNUWIIPSJ-CRCLSJGQSA-L
chol,OEYIOHPDSNJKLS-UHFFFAOYSA-N
paps,GACDQMDRPRGCTN-KQYNXXCUSA-J
gthrd,RWSXRVCMGQZWBV-WDSKDSINSA-M
12dgr180,NA
galct__D,DSLZVSRJTYRBFB-DUHBMQHGSA-L
dmso,IAZDPXIOMUYVGZ-UHFFFAOYSA-N
tre,HDTRYLNUVZCQOY-LIZSDCNHSA-N
2dda7p,PJWIPEXIFFQAQZ-PUFIMZNGSA-K
pg140,BPHQZTVXXXJVHI-AJQTZOPKSA-M
adocbi,KQXSPGAEBZWHMC-OCUXTBADSA-N
fe2,CWYNVVGOOAEACU-UHFFFAOYSA-N
pe120,NA
dsbgox,NA
cynt,XLJMAIOERFSOGZ-UHFFFAOYSA-M
3amp,LNQVTSROQXJCDD-KQYNXXCUSA-L
protrna,NA
acgam1p,FZLJPEPAYPUMMR-RTRLPJTCSA-L
allul6p,GSXOAOHZAIYLCY-NGJCXOISSA-L
2ddglcn,WPAMZTWLKIDIOP-WVZVXSGGSA-M
dgtp,HAAZLUGHYHWQIW-KVQBGUIXSA-J
tcynt,ZMZDMBWJUHKJPS-UHFFFAOYSA-M
3ocmrs7eACP,NA
pap,WHTCPDAXWFLDIH-KQYNXXCUSA-J
cdpdtdec7eg,VDJIEKQUDMPHPA-WNAWUNHNSA-L
pgp181,NA
mso3,AFVFQIVMOAPDHO-UHFFFAOYSA-M
dd2coa,IRFYVBULXZMEDE-DEEZISNZSA-J
glc__D,WQZGKKKJIJFFOK-GASJEMHNSA-N
citr__L,RHGKLRLOHDJJDR-BYPYZUCNSA-N
1ddecg3p,STTKJLVEXMKLNA-CQSZACIVSA-L
od2coa,NBCCUIHOHUKBMK-ZDDAFBBHSA-J
succ,KDYFGRWQOYBRFD-UHFFFAOYSA-L
sheme,DLKSSIHHLYNIKN-QIISWYHFSA-D
2odecg3p,NA
ppp9,KSFOVUSSGSKXFI-UJJXFSCMSA-L
uLa4n,NA
3hoctaACP,NA
cdpdhdecg,NA
apg160,BSAFHIMUDGXOPA-OKPYTHRESA-M
xtp,CAEFEWVYEZABLA-UUOKFMHZSA-J
trnapro,NA
salc,YGSDEFSMJLZEOE-UHFFFAOYSA-M
2agpg141,NA
kokdo_laur_hde_lipid4,NA
u3hga,ZFPNNOXCEDQJQS-SSVOXRMNSA-M
12ppd__S,DNIAPMSPPWPWGF-VKHMYHEASA-N
imp,GRSZFWQUAKGDAV-KQYNXXCUSA-L
Sfglutth,FHXAGOICBFGEBF-BQBZGAKWSA-M
34dhpac,IADQVXRMSNIUEL-UHFFFAOYSA-N
pydx,RADKZDMFGJYCBB-UHFFFAOYSA-N
octeACP,NA
g3pi,BMVUIWJCUQSHLZ-UJGXJMNGSA-M
unaga,NEVJGTXBHJNFAZ-JXCMATCVSA-L
4hba,BVJSUAQZOZWCKN-UHFFFAOYSA-N
ahdt,DGGUVLXVLHAAGT-XINAWCOVSA-J
alac__S,NMDWGEGFJUBKLB-YFKPBYRVSA-M
prlp,BLKFNHOCHNCLII-GHVQHMAVSA-J
rhcys,IQFWYNFDWRYSRA-BLELIYKESA-N
cmp,IERHLVCPSMICTF-XVFCMESISA-L
uacgam,LFTYTUAZOPRMMI-CFRASDGPSA-L
gam,MSWZFWKMSRAUBD-IVMDWMLBSA-O
3hddecACP,NA
aso4,DJHGAFSJWGLOIV-UHFFFAOYSA-L
dgdp,CIKGWCTVFSRMJU-KVQBGUIXSA-K
fum,VZCYOOQTPOCHFL-OWOJBTEDSA-L
fmettrna,NA
maltpt,FTNIPWXXIGNQQF-DWTFCAFKSA-N
3hhcoa,VAAHKRMGOFIORX-IKTBLOROSA-J
trnaphe,NA
grxrd,NA
ps180,TZCPCKNHXULUIY-RGULYWFUSA-M
ile__L,AGPKZVBTJJNPAG-WHFBIAKZSA-N
aacald,LYIIBVSRGJSHAV-UHFFFAOYSA-O
1tdecg3p,FAZBDRGXCKPVJU-MRXNPFEDSA-L
glcur,AEMOLEFTQBMNLQ-AQKNRBDQSA-M
glyb,KWIUHFFTVRNATP-UHFFFAOYSA-N
ps120,NA
N1aspmd,MQTAVJHICJWXBR-UHFFFAOYSA-P
cpg160,OBXHKDVMOWISFV-UHFFFAOYSA-M
lac__D,JVTAAEKCZFNVCJ-UWTATZPHSA-M
glu1sa,MPUUQNGXJSEWTF-BYPYZUCNSA-N
sulfac,AGGIJOLULBJGTQ-UHFFFAOYSA-L
1agpg180,HFJVKBVEKQHVTO-XZOQPEGZSA-M
mnl1p,GACTWZZMVMUKNG-KVTDHHQDSA-L
glx,HHLFWLYXYJOTON-UHFFFAOYSA-M
murein5p3p,SBOXLYQXPDGZLN-UHFFFAOYSA-G
kokdo_laur_lipid4,NA
2odec11eg3p,NA
amet,MEFKEPWMEQBLKI-AIRLBKTGSA-O
3pg,OSJPPGNTCRNQQC-UWTATZPHSA-K
fe3hox,NA
3odcoa,AZCVXMAPLHSIKY-HSJNEKGZSA-J
apg181,NA
sucr,CZMRCDWAGMRECN-UGDNZRGBSA-N
2agpe161,NA
sucgsa,XTOKIEIBKARFSZ-LURJTMIESA-L
butso3,NA
gar,OBQMLSFOUZUIOB-HJZCUYRDSA-M
tre6p,LABSPYBHMPDTEL-LIZSDCNHSA-L
fad,IMGVNJNCCGXBHD-UYBVJOGSSA-K
tym,DZGWFCGJZKJUFP-UHFFFAOYSA-O
2omhmbl,QURLIMHPCRKMJP-WDXILIIOSA-N
dscl,OQIIYZQTTMKFAU-ZNLOQLQNSA-G
2ahbut,VUQLHQFKACOHNZ-LURJTMIESA-M
pphn,FPWMCUPFBRFMLH-XGAOUMNUSA-L
kdo8p,IZZNRKJLBIYBJN-HXUQBWEZSA-K
ocACP,NA
mg2,JLVVSXFLKOJNIY-UHFFFAOYSA-N
dmpp,CBIDRCWHNCKSTO-UHFFFAOYSA-K
trnaile,NA
trnagly,NA
dump,JSRLJPSBLDHEIO-SHYZEUOFSA-L
ddca,NA
skm,JXOHGGNKMLTUBP-HSUXUTPPSA-M
5caiz,JHLXDWGVSYMXPL-XVFCMESISA-K
pmcoa,LYCRXMTYUZDUGA-UYRKPTJQSA-I
alaala,DEFJQIDDEAULHB-QWWZWVQMSA-N
dsbaox,NA
tdeACP,NA
hisp,CWNDERHTHMWBSI-YFKPBYRVSA-M
fuc__L,PNNNRSAQSRJVSB-KCDKBNATSA-N
1odec11eg3p,NA
2p4c2me,HTJXTKBIUVFUAR-XHIBXCGHSA-J
thymd,IQFYYKKMVGJFEH-XLPZGREQSA-N
gp4g,OLGWXCQXRSSQPO-MHARETSRSA-J
peamn,BHHGXPLMPWCGHP-UHFFFAOYSA-O
10fthf,AUFGTPPARQZWDO-YPMHNXCESA-L
g3ps,ZWZWYGMENQVNFU-UHNVWZDZSA-M
hx2coa,OINXHIBNZUUIMR-IXUYQXAASA-J
pser__L,BZQFBWGGLXLEPQ-REOHCLBHSA-L
hkmpp,YIEMFVNCENFBSD-XQRVVYSFSA-L
