reactions,metabolites,metabolitestotal,gpr,genes
GAMptspp,gam_p,gam,YPO1758 and YPO1757 and YPO1756 and YPO2993,YPO1757
GAMptspp,gam_p,gam,YPO1758 and YPO1757 and YPO1756 and YPO2993,YPO1756
GAMptspp,gam_p,gam,YPO1758 and YPO1757 and YPO1756 and YPO2993,YPO1758
GAMptspp,gam_p,gam,YPO1758 and YPO1757 and YPO1756 and YPO2993,YPO2993
GAMptspp,pep_c,pep,YPO1758 and YPO1757 and YPO1756 and YPO2993,YPO1757
GAMptspp,pep_c,pep,YPO1758 and YPO1757 and YPO1756 and YPO2993,YPO1756
GAMptspp,pep_c,pep,YPO1758 and YPO1757 and YPO1756 and YPO2993,YPO1758
GAMptspp,pep_c,pep,YPO1758 and YPO1757 and YPO1756 and YPO2993,YPO2993
GAPD,g3p_c,g3p,YPO2157,YPO2157
GALKr,gal_c,gal,YPO1137,YPO1137
GARFT,10fthf_c,10fthf,YPO2829,YPO2829
GARFT,gar_c,gar,YPO2829,YPO2829
DDGLK,2ddglcn_c,2ddglcn,YPO3990,YPO3990
DDPA,e4p_c,e4p,YPO3286,YPO3286
DDPA,pep_c,pep,YPO3286,YPO3286
GALURt2rpp,galur_p,galur,YPO0577,YPO0577
GART,for_c,for,YPO1775,YPO1775
GART,gar_c,gar,YPO1775,YPO1775
GF6PTA,f6p_c,f6p,YPO4118,YPO4118
GF6PTA,gln__L_c,gln__L,YPO4118,YPO4118
GHMT2r,ser__L_c,ser__L,YPO2907,YPO2907
GHMT2r,thf_c,thf,YPO2907,YPO2907
GLCabcpp,glc__D_p,glc__D,YPO1508 and YPO1507 and YPO1509,YPO1507
GLCabcpp,glc__D_p,glc__D,YPO1508 and YPO1507 and YPO1509,YPO1508
GLCabcpp,glc__D_p,glc__D,YPO1508 and YPO1507 and YPO1509,YPO1509
GLCNt2rpp_num1,glcn_p,glcn,YPO3954,YPO3954
GLCP,glycogen_c,glycogen,YPO3938,YPO3938
GLCP2,bglycogen_c,bglycogen,YPO3938,YPO3938
GLCptspp_num1,glc__D_p,glc__D,YPO2995 and YPO1608 and YPO2993,YPO1608
GLCptspp_num1,glc__D_p,glc__D,YPO2995 and YPO1608 and YPO2993,YPO2995
GLCptspp_num1,glc__D_p,glc__D,YPO2995 and YPO1608 and YPO2993,YPO2993
GLCptspp_num1,pep_c,pep,YPO2995 and YPO1608 and YPO2993,YPO1608
GLCptspp_num1,pep_c,pep,YPO2995 and YPO1608 and YPO2993,YPO2995
GLCptspp_num1,pep_c,pep,YPO2995 and YPO1608 and YPO2993,YPO2993
GLCURt2rpp,glcur_p,glcur,YPO0577,YPO0577
GLGC,g1p_c,g1p,YPO3940,YPO3940
GLNabcpp,gln__L_p,gln__L,YPO2512 and YPO2513 and YPO2514,YPO2512
GLNabcpp,gln__L_p,gln__L,YPO2512 and YPO2513 and YPO2514,YPO2514
GLNabcpp,gln__L_p,gln__L,YPO2512 and YPO2513 and YPO2514,YPO2513
14GLUCANabcpp,14glucan_p,14glucan,YPO3714 and YPO3715 and YPO3716 and YPO3712,YPO3712
14GLUCANabcpp,14glucan_p,14glucan,YPO3714 and YPO3715 and YPO3716 and YPO3712,YPO3714
14GLUCANabcpp,14glucan_p,14glucan,YPO3714 and YPO3715 and YPO3716 and YPO3712,YPO3716
14GLUCANabcpp,14glucan_p,14glucan,YPO3714 and YPO3715 and YPO3716 and YPO3712,YPO3715
