,kcat,data_type,MW,kcat_MW
12PPDRtex_num1,7698.431506098694,fill,116764.55729999997,237352.44720493024
12PPDStex_num1,7698.431506098694,fill,116764.55729999997,237352.44720493024
14GLUCANabcpp,7698.431506098694,fill,324934.2418000002,85292.19102434184
23CAMPtex_num1,7698.431506098694,fill,116764.55729999997,237352.44720493024
23CCMPtex_num1,7698.431506098694,fill,116764.55729999997,237352.44720493024
23CGMPtex_num1,7698.431506098694,fill,116764.55729999997,237352.44720493024
23CUMPtex_num1,7698.431506098694,fill,116764.55729999997,237352.44720493024
23DAPPAtex_num1,7698.431506098694,fill,116764.55729999997,237352.44720493024
23PDE2pp,10.12,Other_species,212764.19880000106,171.2318153405413
23PDE4pp,10.12,Other_species,212764.19880000106,171.2318153405413
23PDE7pp,10.12,Other_species,212764.19880000106,171.2318153405413
23PDE9pp,10.12,Other_species,212764.19880000106,171.2318153405413
26DAHtex_num1,7698.431506098694,fill,116764.55729999997,237352.44720493024
2AGPA120tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPA140tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPA141tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPA160tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPA161tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPA180tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPA181tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPE120tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPE140tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPE141tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPE160tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPE161tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPE180tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPE181tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPEAT120,7698.431506098694,fill,322956.16800000146,85814.5970506907
2AGPEAT140,7698.431506098694,fill,322956.16800000146,85814.5970506907
2AGPEAT141,7698.431506098694,fill,322956.16800000146,85814.5970506907
2AGPEAT161,7698.431506098694,fill,322956.16800000146,85814.5970506907
2AGPEAT181,7698.431506098694,fill,322956.16800000146,85814.5970506907
2AGPG120tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPG140tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPG141tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPG160tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPG161tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPG180tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPG181tipp,7698.431506098694,fill,166692.58400000006,166260.2663952662
2AGPGAT120,7698.431506098694,fill,322956.16800000146,85814.5970506907
2AGPGAT140,7698.431506098694,fill,322956.16800000146,85814.5970506907
2AGPGAT141,7698.431506098694,fill,322956.16800000146,85814.5970506907
2AGPGAT160,7698.431506098694,fill,322956.16800000146,85814.5970506907
2AGPGAT161,7698.431506098694,fill,322956.16800000146,85814.5970506907
2AGPGAT180,7698.431506098694,fill,322956.16800000146,85814.5970506907
2AGPGAT181,7698.431506098694,fill,322956.16800000146,85814.5970506907
2DGULRGx,7698.431506098694,fill,70754.0752000001,391699.7479454761
2DGULRGy,7698.431506098694,fill,70754.0752000001,391699.7479454761
2DGULRx,7698.431506098694,fill,70754.0752000001,391699.7479454761
2DGULRy,7698.431506098694,fill,70754.0752000001,391699.7479454761
2MAHMP_num1,7698.431506098694,fill,30328.516000000003,913805.127225984
34dhpactex_num1,7698.431506098694,fill,116764.55729999997,237352.44720493024
3AMPtex_num1,7698.431506098694,fill,116764.55729999997,237352.44720493024
3CMPtex_num1,7698.431506098694,fill,116764.55729999997,237352.44720493024
3GMPtex_num1,7698.431506098694,fill,118040.47439999998,234786.86918895761
3HAD100_num1,8.881378260869566,Other_species,37937.677200000006,842.7759446255827
4HTHRS,274.2119310886667,Other_species,141090.5544000002,6996.662222479712
4PCP,7698.431506098694,fill,33641.05910000001,823825.2350965753
3HAD120_num1,8.881378260869566,Other_species,17032.75699999999,1877.1454168653058
4PEPTabcpp,7698.431506098694,fill,601261.9044000003,46093.64607859443
3HAD140_num1,8.881378260869566,Other_species,37937.677200000006,842.7759446255827
4PEPTtex_num1,7698.431506098694,fill,116764.55729999997,237352.44720493024
5DGLCNR,3.1500000000000004,Other_species,82735.16910000003,137.0638402430001
5DGLCNt2rpp,7698.431506098694,fill,138095.15310000017,200690.2689907316
3HAD160_num1,8.881378260869566,Other_species,37937.677200000006,842.7759446255827
5DGLCNtex_num1,7698.431506098694,fill,116764.55729999997,237352.44720493024
5DOAN,7698.431506098694,fill,48707.370599999995,568997.1164642441
5MTRtex_num1,7698.431506098694,fill,41263.352800000044,671645.6986974472
A5PISO_num1,118.03846153846153,Other_species,140782.9412000002,3018.3945435177548
AACPS1,0.016,Other_species,340235.00100000144,0.1692947516590151
AACPS2,0.016,Other_species,340235.00100000144,0.1692947516590151
3HAD60_num1,8.881378260869566,Other_species,37937.677200000006,842.7759446255827
3HAD80_num1,8.881378260869566,Other_species,37937.677200000006,842.7759446255827
AACPS3,0.016,Other_species,340235.00100000144,0.1692947516590151
AACPS4,7698.431506098694,fill,340235.00100000144,81456.50312430724
AACPS5,7698.431506098694,fill,340235.00100000144,81456.50312430724
