metname,inchikey
gam,MSWZFWKMSRAUBD-IVMDWMLBSA-O
gicolipa,JIYBFSMTJJSDHN-XHEUBBKESA-C
1odec11eg3p,NA
dudp,QHWZTVCCBMIIKE-SHYZEUOFSA-K
lgt__S,VDYDCVUWILIYQF-CSMHCCOUSA-M
od2coa,NBCCUIHOHUKBMK-ZDDAFBBHSA-J
ggbutal,JZNLEPLZUABCSQ-ZETCQYMHSA-N
appl,HXKKHQJGJAFBHI-GSVOUGTGSA-O
rfamp,JQXXHWHPUNPDRT-WLSIYKJHSA-N
arbtn,NA
fadh2,YPZRHBJKEMOYQH-UYBVJOGSSA-L
myrsACP,NA
cellb,GUBGYTABKSRVRQ-QRZGKKJRSA-N
dxyl5p,AJPADPZSRRUGHI-RFZPGFLSSA-L
kdo2lipid4,XAOLJGCZESYRFT-VHSKNIDJSA-H
malthp,ZHZITDGOAFCURV-VVTKTIMZSA-N
pheme,KABFMIBPWCXCRK-RGGAHWMASA-J
sucbz,YIVWQNVQRXFZJB-UHFFFAOYSA-L
3psme,QUTYKIXIUDQOLK-PRJMDXOYSA-J
pdx5p,WHOMFKWHIQZTHY-UHFFFAOYSA-L
nicrnt,JOUIQRNQJGXQDC-ZYUZMQFOSA-L
uracp,AJFKXWQDHFYKFK-UPHRSURJSA-N
acolipa,IOAOXSQGQQYOQU-WSFSDJJVSA-E
6apa,NGHVIOIJCVXTGV-ALEPSDHESA-N
gthox,YPZRWBKMTBYPTK-BJDJZHNGSA-L
pg160,BIABMEZBCHDPBV-MPQUPPDSSA-M
h2mb4p,MDSIZRKJVDMQOQ-GORDUTHDSA-K
uagmda,PNWZQTONLRRPST-KLDRQJOASA-J
hxa,FUZZWVXGSFPDMH-UHFFFAOYSA-M
pg141,NA
rml1p,KNYGWWDTPGSEPD-OTWZMJIISA-L
3ohexACP,NA
tdecoa,NA
kdo8p,IZZNRKJLBIYBJN-HXUQBWEZSA-K
ni2,VEQPNABPJHWNSG-UHFFFAOYSA-N
3hpp,ALRHLSYJTWAHJZ-UHFFFAOYSA-M
pe140,NA
hcys__L,FFFHZYDWPBMWHY-UHFFFAOYSA-N
2amsa,XMTCKNXTTXDPJX-REOHCLBHSA-N
galt1p,GACTWZZMVMUKNG-DPYQTVNSSA-L
murein5p4p,YJNGRCZHKAYCMA-VZNOAHCOSA-E
3ophb,UTIBHEBNILDQKX-LQOKPSQISA-M
e4p,NGHMDNPXVRFFGS-IUYQGCFVSA-L
chtbs,NA
stcoa,SIARJEKBADXQJG-LFZQUHGESA-J
trnagln,NA
sufse,NA
pa161,NA
anhm,NA
fald,WSFSSNUMVMOOMR-UHFFFAOYSA-N
man,WQZGKKKJIJFFOK-QTVWNMPRSA-N
ACP,NA
oc2coa,CPSDNAXXKWVYIY-NTLMCJQISA-J
cdpdddecg,NA
dmso,IAZDPXIOMUYVGZ-UHFFFAOYSA-N
2dhp,PKVVTUWHANFMQC-UHFFFAOYSA-M
pgp180,UZNYMWWMHBZMLI-IOLBBIBUSA-K
trdox,NA
ps120,NA
2tdecg3p,NA
cph4,QSIYONWVWDSRRO-UHFFFAOYSA-M
phetrna,NA
ctbtcoa,WAUPBDVHJXXZGW-HXPULJKESA-K
icolipaBR1,NA
uppg3,HUHWZXWWOFSFKF-UHFFFAOYSA-F
dhpppn,QZDSXQJWBGMRLU-UHFFFAOYSA-M
3oddecACP,NA
asntrna,NA
6pgl,IJOJIVNDFQSGAB-SQOUGZDYSA-L
apg141,NA
mi1p__D,INAPMGSXUVUWAF-UOTPTPDRSA-L
btd_RR,NA
udcpo4,NA
cbm,KXDHJXZQYSOELW-UHFFFAOYSA-M
cyan,LELOWRISYMNNSU-UHFFFAOYSA-N
pydam,NHZMQXZHNVQTQA-UHFFFAOYSA-O
quln,GJAWHXHKYYXBSV-UHFFFAOYSA-L
2shchc,QJYRAJSESKVEAE-PSASIEDQSA-L
2ommbl,HDSGDGSLNMIMKU-KFSSTAEESA-N
pgp120,NA
5cmhmsa,NLXIEJRQAIHYPN-IOBHVTPZSA-L
feroxB,NA
t3c11vaceACP,NA
hco3,BVKZGUZCCUSVTD-UHFFFAOYSA-M
murein5px4p,NQXCJQVWBSGGNW-UHFFFAOYSA-E
glu__D,WHUUTDBJXJRKMK-GSVOUGTGSA-M
dhmpt,NA
4mop,BKAJNAXTPSGJCU-UHFFFAOYSA-M
trnamet,NA
hphhlipa,OCKKDDJUVZAABC-XSAOWLIJSA-G
trnatyr,NA
g3pc,SUHOQUVVVLNYQR-MRVPVSSYSA-N
acac,WDJHALXBUFZDSR-UHFFFAOYSA-M
clpn161,UYSHBKYVDAZLKJ-GMUISZSCSA-L
actACP,NA
4ppcys,XQYALQVLCNHCFT-CBAPKCEASA-K
micit,HHKPKXCSHMJWCF-WVBDSBKLSA-K
udpglcur,HDYANYHVCAPMJV-LXQIFKJMSA-K
dms,QMMFVYPAHWMCMS-UHFFFAOYSA-N
rib__D,HMFHBZSHGGEWLO-SOOFDHNKSA-N
pppi,UNXRWKVEANCORM-UHFFFAOYSA-I
pe181,NA
3hcddec5eACP,NA
2dda7p,PJWIPEXIFFQAQZ-PUFIMZNGSA-K
histrna,NA
4abutn,DZQLQEYLEYWJIB-UHFFFAOYSA-O
glyc,PEDCQBHIVMGVHV-UHFFFAOYSA-N
xmp,DCTLYFZHFGENCW-UUOKFMHZSA-L
pgp141,NA
salchs4fe,NA
clpn141,NA
gggagicolipa,DJHBKVISRABJNG-HEIPHTFDSA-C
sucorn,VWXQFHJBQHTHMK-LURJTMIESA-M
ala__L,QNAYBMKLOCPYGJ-REOHCLBHSA-N
gdpmann,MVMSCBBUIHUTGJ-GDJBGNAASA-L
na1,FKNQFGJONOIPTF-UHFFFAOYSA-N
ctbt,GUYHPGUANSLONG-SNAWJCMRSA-N
nh4,QGZKDVFQNNGYKY-UHFFFAOYSA-O
bz,WPYMKLBDIGXBTP-UHFFFAOYSA-M
suchms,GNISQJGXJIDKDJ-YFKPBYRVSA-M
glutar,JFCQEDHGNNZCLN-UHFFFAOYSA-L
btal,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N
12dgr180,NA
cpe160,DTFRUHREBAYLCS-UHFFFAOYSA-M
cl,VEXZGXHMUGYJMC-UHFFFAOYSA-M
udp,XCCTYIAWTASOJW-XVFCMESISA-K
adocbip,MQCMBMUJJHSGIF-QMUWONGRSA-K
dopa,VYFYYTLLBUKUHU-UHFFFAOYSA-O
13ppd,YPFDHNVEDLHUCE-UHFFFAOYSA-N
cenchddd,AEUBLTTWYCDTGM-HXOXMVQHSA-M
mpt,HPEUEJRPDGMIMY-IFQPEPLCSA-K
tdec2eACP,NA
ohpb,MZJFVXDTNBHTKZ-UWTATZPHSA-K
moadcoo,NA
indole,SIKJAQJRHWYJAI-UHFFFAOYSA-N
pgp161,PTJJTQQVMKSSOK-WXUKJITCSA-K
tmao,UYPYRKYUKCHHIB-UHFFFAOYSA-N
3ohcoa,NFOYYXQAVVYWKV-HDRQGHTBSA-J
amob,UOKVQQMBGVMXPU-CJPDYEHRSA-N
na15dap,QZBYOYPROVGOGE-UHFFFAOYSA-Q
iletrna,NA
glyc__R,RBNPOMFGQQGHHO-UWTATZPHSA-M
lcts,GUBGYTABKSRVRQ-QKKXKWKRSA-N
paps,GACDQMDRPRGCTN-KQYNXXCUSA-J
3hhexACP,NA
2ohph,YGTMSXVYLRCOLD-MGDAWYEDSA-N
xyl__D,SRBFZHDQGSBBOR-IOVATXLUSA-N
13dpg,LJQLQCAXBUHEAZ-UWTATZPHSA-J
murein3px4p,LOVDDQLBOGPFKC-UHFFFAOYSA-H
moadcosh,NA
adn,OIRDTQYFTABQOQ-KQYNXXCUSA-N
3hpppn,QVWAEZJXDYOKEH-UHFFFAOYSA-M
4mpetz,OCYMERZCMYJQQO-UHFFFAOYSA-L
icit,ODBLHEXUDAPZAU-UHFFFAOYSA-K
ttdceap,NA
acetol,XLSMFKSTNGKWQX-UHFFFAOYSA-N
ps140,NA
ugmda,IMWOXEZVYQDRDF-MCZXNMLPSA-J
abt__D,HEBKCHPVOIAQTA-QWWZWVQMSA-N
4c2me,YFAUKWZNPVBCFF-XHIBXCGHSA-L
duri,MXHRCPNRJAMMIM-SHYZEUOFSA-N
2hh24dd,NA
citr__L,RHGKLRLOHDJJDR-BYPYZUCNSA-N
4hba,BVJSUAQZOZWCKN-UHFFFAOYSA-N
5drib,WDRISBUVHBMJEF-MROZADKFSA-N
cu2,JPVYNHNXODAKFH-UHFFFAOYSA-N
lipopb,NA
cdec3eACP,NA
apg181,NA
trnasecys,NA
g3ps,ZWZWYGMENQVNFU-UHNVWZDZSA-M
malttr,FYGDTMLNYKFZSV-PXXRMHSHSA-N
thptdn,IDAICLIJTRXNER-UHFFFAOYSA-N
5aop,ZGXJTSGNIOSYLO-UHFFFAOYSA-N
ragund,ORYXFVQODWYDMG-JXWMOMLFSA-L
betald,SXKNCCSPZDCRFD-UHFFFAOYSA-N
1odecg3p,LAYXSTYJRSVXIH-HXUWFJFHSA-L
amet,MEFKEPWMEQBLKI-AIRLBKTGSA-O
trnaleu,NA
aacald,LYIIBVSRGJSHAV-UHFFFAOYSA-O
2agpg120,NA
frulysp,NA
xylu__L,ZAQJHHRNXZUBTE-WVZVXSGGSA-N
2odec11eg3p,NA
acgam1p,FZLJPEPAYPUMMR-RTRLPJTCSA-L
clpn120,NA
apg120,AJCVDIXUOBZCPE-ZESVVUHVSA-M
apg161,NA
hx2coa,OINXHIBNZUUIMR-IXUYQXAASA-J
3hadpcoa,OTEACGAEDCIMBS-NOTSHUFBSA-I
acmum6p,NMEMTQKUEVNSPV-MKFCKLDKSA-K
pro__L,ONIBWKKTOPOVIA-BYPYZUCNSA-N
trnahis,NA
gln__L,ZDXPYRJPNDTMRX-VKHMYHEASA-N
2hymeph,CQRYARSYNCAZFO-UHFFFAOYSA-N
fecrm,GGUNGDGGXMHBMJ-OCIDDWSYSA-N
5aptn,JJMDCOVWQOJGCB-UHFFFAOYSA-N
alaala,DEFJQIDDEAULHB-QWWZWVQMSA-N
5cmhm,HJIBROWPWNLWHX-IKENXXAYSA-K
ipdp,NUHSROFQTUXZQQ-UHFFFAOYSA-K
glutcoa,SYKWLIJQEHRDNH-CKRMAKSASA-I
murein5p3p,SBOXLYQXPDGZLN-UHFFFAOYSA-G
lyx__L,SRBFZHDQGSBBOR-AEQNFAKKSA-N
no2,IOVCWXUNBOPUCH-UHFFFAOYSA-M
alac__S,NMDWGEGFJUBKLB-YFKPBYRVSA-M
acmalt,IJVLHLCOMOKFHH-DURRTVQMSA-N
asptrna,NA
thmpp,AYEKOFBPNLCAJY-UHFFFAOYSA-L
rml,QZNPNKJXABGCRC-FUTKDDECSA-N
s17bp,OKHXOUGRECCASI-SHUUEZRQSA-J
lystrna,NA
lipa,DIXUKJUHGLIZGU-OIPVZEHTSA-H
malt6p,ITPHOIFCAFNCLL-ASMJPISFSA-L
cd2,WLZRMCYVCSSEQC-UHFFFAOYSA-N
sl2a6o,SDVXSCSNVVZWDD-LURJTMIESA-K
2agpg160,ODJYINYQGFIIRK-UHFFFAOYSA-M
colipa20Oag,NA
psclys,BFSYFTQDGRDJNV-CDEVMZEPSA-O
3fe4s,NA
Sfglutth,FHXAGOICBFGEBF-BQBZGAKWSA-M
3gmp,ZDPUTNZENXVHJC-UUOKFMHZSA-L
feroxE,MZFKJKOHYACYNT-UHFFFAOYSA-N
r5p,KTVPXOYAKDPRHY-AIHAYLRMSA-L
co2,CURLTUGMZLYLDI-UHFFFAOYSA-N
xdp,YMOPVQQBWLGDOD-UUOKFMHZSA-K
cys__D,XUJNEKJLAYXESH-UWTATZPHSA-N
23ddhb,INCSWYKICIYAHB-WDSKDSINSA-M
gua,UYTPUPDQBNUYGX-UHFFFAOYSA-N
ru5p__D,FNZLKVNUWIIPSJ-UHNVWZDZSA-L
gtp,XKMLYUALXHKNFT-UUOKFMHZSA-J
fum,VZCYOOQTPOCHFL-OWOJBTEDSA-L
flxso,NA
r1p,YXJDFQJKERBOBM-TXICZTDVSA-L
3hoxpac,FVMDYYGIDFPZAX-UHFFFAOYSA-M
val__L,KZSNJWFQEVHDMF-BYPYZUCNSA-N
hxan,FDGQSTZJBFJUBT-UHFFFAOYSA-N
fe3dhbzs,IHUQSEJNRLOEKL-UHFFFAOYSA-N
mdhdhf,CCVJVKWZZMMBHB-WVZVXSGGSA-N
spmd,ATHGHQPFGPMSJY-UHFFFAOYSA-Q
itp,HAEJPQIATWHALX-KQYNXXCUSA-J
udpLa4fn,QGYFHZBDXXNYAX-RTXATJJPSA-L
3pg,OSJPPGNTCRNQQC-UWTATZPHSA-K
n2o,GQPLMRYTRLFLPF-UHFFFAOYSA-N
cyst__L,ILRYLPWNYFXEMH-WHFBIAKZSA-N
4hthr,JBNUARFQOCGDRK-GBXIJSLDSA-N
ppa,NA
gthrd,RWSXRVCMGQZWBV-WDSKDSINSA-M
dcaACP,NA
occoa,KQMZYOXOBSXMII-CECATXLMSA-J
5mta,WUUGFSXJNOTRMR-IOSLPCCCSA-N
2sephchc,XYCATPIYKOARSZ-OAIFWDMCSA-K
nadp,XJLXINKUBYWONI-NNYOXOHSSA-K
1agpg180,HFJVKBVEKQHVTO-XZOQPEGZSA-M
ca2,BHPQYMZQTOCNFJ-UHFFFAOYSA-N
phhlipa,XNYUHCDJIRFEJF-LIOVHSHWSA-G
h2s,RWSOTUBLDIXVET-UHFFFAOYSA-M
2tdec7eg3p,NA
chol,OEYIOHPDSNJKLS-UHFFFAOYSA-N
ttrcyc,OFVLGDICTFRJMM-WESIUVDSSA-N
1agpe161,NA
udpg,HSCJRCZFDFQWRP-RDKQLNKOSA-L
3cmp,UOOOPKANIPLQPU-XVFCMESISA-L
4crsol,IWDCLRJOBJJRNH-UHFFFAOYSA-N
arg__L,ODKSFYDXXFIFQN-BYPYZUCNSA-O
maltttr,LUEWUZLMQUOBSB-ZLBHSGTGSA-N
aspsa,HOSWPDPVFBCLSY-VKHMYHEASA-N
gar,OBQMLSFOUZUIOB-HJZCUYRDSA-M
uama,NTMMCWJNQNKACG-KBKUWGQMSA-K
1tdecg3p,FAZBDRGXCKPVJU-MRXNPFEDSA-L
iscu_2fe2s,NA
LalaLglu,VYZAGTDAHUIRQA-WHFBIAKZSA-M
sufbcd_4fe4s,NA
cdpdtdecg,ICFWXMWHAMIZGF-WNAWUNHNSA-L
aact,BCDGQXUMWHRQCB-UHFFFAOYSA-O
fe3hox,NA
uamr,NQBRVZNDBBMBLJ-MQTLHLSBSA-K
26dap__M,GMKMEZVLHJARHF-SYDPRGILSA-N
3php,LFLUCDOSQPJJBE-UHFFFAOYSA-K
dmbzid,LJUQGASMPRMWIW-UHFFFAOYSA-N
dcamp,OFBHPPMPBOJXRT-DPXQIYNJSA-J
frulys,BFSYFTQDGRDJNV-AYHFEMFVSA-O
mthgxl,AIJULSRZWUXGPQ-UHFFFAOYSA-N
bmoco1gdp,NA
imp,GRSZFWQUAKGDAV-KQYNXXCUSA-L
pphn,FPWMCUPFBRFMLH-XGAOUMNUSA-L
tre,HDTRYLNUVZCQOY-LIZSDCNHSA-N
o16aund,NYDKXESIKHJNQU-FIYHCCFRSA-L
2ohed,HYVSZVZMTYIHKF-IWQZZHSRSA-L
murein4px4px4p,NA
phpyr,BTNMPGBKDVTSJY-UHFFFAOYSA-M
cpg180,ACOSNNHXZDLJJE-UHFFFAOYSA-M
ppp9,KSFOVUSSGSKXFI-UJJXFSCMSA-L
colipaB,NA
indpyr,RSTKLPZEZYGQPY-UHFFFAOYSA-M
moco,NA
apg140,HLSZVIULNVUBQI-YWPUXERESA-M
ap5a,OIMACDRJUANHTJ-XPWFQUROSA-I
etoh,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
acon_C,GTZCVFVGUGFEME-IWQZZHSRSA-K
octa,WWZKQHOCKIZLMA-UHFFFAOYSA-M
murein5p5p5p,FOZGDVCGOFWZKF-SSRSPRHQSA-G
3htdcoa,OXBHKMHNDGRDCZ-STLSENOWSA-J
iscu_4fe4s,NA
zn2,PTFCDOFLOPIGGS-UHFFFAOYSA-N
grxox,NA
dtbt,AUTOLBMXDDTRRT-UHFFFAOYSA-M
2oph,VUNQJPPPTJIREN-CMAXTTDKSA-N
asp__L,CKLJMWTZIZZHCS-REOHCLBHSA-M
4abz,ALYNCZNDIQEVRV-UHFFFAOYSA-M
udcpp,UFPHFKCTOZIAFY-RDQGWRCRSA-L
ppcoa,QAQREVBBADEHPA-IEXPHMLFSA-J
accoa,ZSLZBFCDCINBPY-ZSJPKINUSA-J
34hpp,KKADPXVIOXHVKN-UHFFFAOYSA-M
thf,MSTNYGQPCMXVAQ-RYUDHWBXSA-L
chtbs6p,KYKNQNQCPWDNAK-CBTAGEKQSA-L
lac__L,JVTAAEKCZFNVCJ-REOHCLBHSA-M
