metname,inchikey,Canonical_SMILES
gam,MSWZFWKMSRAUBD-IVMDWMLBSA-O,C(C1C(C(C(C(O1)O)[NH3+])O)O)O
gicolipa,JIYBFSMTJJSDHN-XHEUBBKESA-C,CCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)OC1C(C(OC(C1OP(=O)([O-])[O-])COC2(CC(C(C(O2)C(CO)O)OC3C(C(C(C(O3)C(CO)O)OP(=O)([O-])[O-])OC4C(C(C(C(O4)C(COC5C(C(C(C(O5)C(CO)O)O)O)O)O)OP(=O)([O-])[O-])OC6C(C(C(C(O6)CO)O)O)O)O)O)OC7(CC(C(C(O7)C(CO)O)OC8C(C(C(C(O8)C)O)O)O)OC9(CC(C(C(O9)C(CO)O)O)O)C(=O)[O-])C(=O)[O-])C(=O)[O-])OCC1C(C(C(C(O1)OP(=O)(O)O)N=C(CC(CCCCCCCCCCC)O)[O-])OC(=O)CC(CCCCCCCCCCC)O)O)N=C(CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[O-]
1odec11eg3p,NA,noinchikey_inpubchem
dudp,QHWZTVCCBMIIKE-SHYZEUOFSA-K,C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)([O-])OP(=O)([O-])[O-])O
lgt__S,VDYDCVUWILIYQF-CSMHCCOUSA-M,CC(C(=O)SCC(C(=O)NCC(=O)[O-])NC(=O)CCC(C(=O)[O-])[NH3+])O
od2coa,NBCCUIHOHUKBMK-ZDDAFBBHSA-J,CCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
ggbutal,JZNLEPLZUABCSQ-ZETCQYMHSA-N,C(CC=O)CNC(=O)CCC(C(=O)O)N
appl,HXKKHQJGJAFBHI-GSVOUGTGSA-O,CC(C[NH3+])O
rfamp,JQXXHWHPUNPDRT-WLSIYKJHSA-N,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C
arbtn,NA,noinchikey_inpubchem
fadh2,YPZRHBJKEMOYQH-UYBVJOGSSA-L,CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)CC(C(C(COP(=O)([O-])OP(=O)([O-])OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O
myrsACP,NA,noinchikey_inpubchem
cellb,GUBGYTABKSRVRQ-QRZGKKJRSA-N,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
dxyl5p,AJPADPZSRRUGHI-RFZPGFLSSA-L,CC(=O)C(C(COP(=O)([O-])[O-])O)O
kdo2lipid4,XAOLJGCZESYRFT-VHSKNIDJSA-H,CCCCCCCCCCCC(CC(=O)NC1C(C(C(OC1OP(=O)([O-])[O-])COC2C(C(C(C(O2)COC3(CC(C(C(O3)C(CO)O)O)OC4(CC(C(C(O4)C(CO)O)O)O)C(=O)[O-])C(=O)[O-])OP(=O)([O-])[O-])OC(=O)CC(CCCCCCCCCCC)O)NC(=O)CC(CCCCCCCCCCC)O)O)OC(=O)CC(CCCCCCCCCCC)O)O
malthp,ZHZITDGOAFCURV-VVTKTIMZSA-N,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC(C(CO)O)C(C(C=O)O)O)CO)CO)CO)CO)CO)O)O)O)O
pheme,KABFMIBPWCXCRK-RGGAHWMASA-J,noinchikey_inpubchem
sucbz,YIVWQNVQRXFZJB-UHFFFAOYSA-L,C1=CC=C(C(=C1)C(=O)CCC(=O)[O-])C(=O)[O-]
3psme,QUTYKIXIUDQOLK-PRJMDXOYSA-J,C=C(C(=O)[O-])OC1CC(=CC(C1O)OP(=O)([O-])[O-])C(=O)[O-]
pdx5p,WHOMFKWHIQZTHY-UHFFFAOYSA-L,CC1=NC=C(C(=C1O)CO)COP(=O)([O-])[O-]
nicrnt,JOUIQRNQJGXQDC-ZYUZMQFOSA-L,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])[O-])O)O)C(=O)[O-]
uracp,AJFKXWQDHFYKFK-UPHRSURJSA-N,C(=CNC(=O)N)C(=O)OO
acolipa,IOAOXSQGQQYOQU-WSFSDJJVSA-E,CCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)OC1C(C(OC(C1OP(=O)(O)OC2C(C(C(CO2)N)O)O)COC3(CC(C(C(O3)C(CO)O)OC4C(C(C(C(O4)C(CO)O)OP(=O)([O-])[O-])OC5C(C(C(C(O5)C(COC6C(C(C(C(O6)C(CO)O)O)O)O)O)OP(=O)([O-])[O-])OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)OC9C(C(C(C(O9)CO)O)O)OC1C(C(C(C(O1)COC1C(C(C(C(O1)C(CO)O)O)O)O)O)O)O)O)O)O)OC1(CC(C(C(O1)C(CO)O)OC1C(C(C(C(O1)C)O)O)O)OC1(CC(C(C(O1)C(CO)O)O)O)C(=O)[O-])C(=O)[O-])C(=O)[O-])OCC1C(C(C(C(O1)OP(=O)(O)O)N=C(CC(CCCCCCCCCCC)O)[O-])OC(=O)CC(CCCCCCCCCCC)O)O)N=C(CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[O-]
6apa,NGHVIOIJCVXTGV-ALEPSDHESA-N,CC1(C(N2C(S1)C(C2=O)N)C(=O)O)C
gthox,YPZRWBKMTBYPTK-BJDJZHNGSA-L,C(CC(=O)NC(CSSCC(C(=O)NCC(=O)[O-])NC(=O)CCC(C(=O)[O-])[NH3+])C(=O)NCC(=O)[O-])C(C(=O)[O-])[NH3+]
pg160,BIABMEZBCHDPBV-MPQUPPDSSA-M,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(CO)O)OC(=O)CCCCCCCCCCCCCCC
h2mb4p,MDSIZRKJVDMQOQ-GORDUTHDSA-K,CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CO
uagmda,PNWZQTONLRRPST-KLDRQJOASA-J,CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)[O-])[NH3+])C(=O)NC(C)C(=O)NC(C)C(=O)[O-])C(=O)[O-])NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C
hxa,FUZZWVXGSFPDMH-UHFFFAOYSA-M,CCCCCC(=O)[O-]
pg141,NA,noinchikey_inpubchem
rml1p,KNYGWWDTPGSEPD-OTWZMJIISA-L,CC(C(C(C(=O)COP(=O)([O-])[O-])O)O)O
3ohexACP,NA,noinchikey_inpubchem
tdecoa,NA,noinchikey_inpubchem
kdo8p,IZZNRKJLBIYBJN-HXUQBWEZSA-K,C1C(C(C(OC1(C(=O)[O-])O)C(COP(=O)([O-])[O-])O)O)O
ni2,VEQPNABPJHWNSG-UHFFFAOYSA-N,[Ni+2]
3hpp,ALRHLSYJTWAHJZ-UHFFFAOYSA-M,C(CO)C(=O)[O-]
