reactions,metabolites,metabolitestotal,gpr,genes
14GLUCANabcpp,14glucan_p,14glucan,SSON_4212 and SSON_4211 and SSON_4210 and SSON_4213,SSON_4210
14GLUCANabcpp,14glucan_p,14glucan,SSON_4212 and SSON_4211 and SSON_4210 and SSON_4213,SSON_4211
14GLUCANabcpp,14glucan_p,14glucan,SSON_4212 and SSON_4211 and SSON_4210 and SSON_4213,SSON_4213
14GLUCANabcpp,14glucan_p,14glucan,SSON_4212 and SSON_4211 and SSON_4210 and SSON_4213,SSON_4212
23PDE2pp,23cump_p,23cump,SSON_4398,SSON_4398
23PDE4pp,23ccmp_p,23ccmp,SSON_4398,SSON_4398
23PDE7pp,23camp_p,23camp,SSON_4398,SSON_4398
23PDE9pp,23cgmp_p,23cgmp,SSON_4398,SSON_4398
2AGPEAT120,2agpe120_c,2agpe120,SSON_2996,SSON_2996
2AGPEAT120,ddca_c,ddca,SSON_2996,SSON_2996
2AGPEAT140,2agpe140_c,2agpe140,SSON_2996,SSON_2996
2AGPEAT140,ttdca_c,ttdca,SSON_2996,SSON_2996
2AGPEAT141,2agpe141_c,2agpe141,SSON_2996,SSON_2996
2AGPEAT141,ttdcea_c,ttdcea,SSON_2996,SSON_2996
2AGPEAT160,2agpe160_c,2agpe160,SSON_2996,SSON_2996
2AGPEAT160,hdca_c,hdca,SSON_2996,SSON_2996
2AGPEAT161,2agpe161_c,2agpe161,SSON_2996,SSON_2996
2AGPEAT161,hdcea_c,hdcea,SSON_2996,SSON_2996
2AGPEAT180,2agpe180_c,2agpe180,SSON_2996,SSON_2996
2AGPEAT180,ocdca_c,ocdca,SSON_2996,SSON_2996
2AGPEAT181,2agpe181_c,2agpe181,SSON_2996,SSON_2996
2AGPEAT181,ocdcea_c,ocdcea,SSON_2996,SSON_2996
2AGPGAT120,2agpg120_c,2agpg120,SSON_2996,SSON_2996
2AGPGAT120,ddca_c,ddca,SSON_2996,SSON_2996
2AGPGAT140,2agpg140_c,2agpg140,SSON_2996,SSON_2996
