reactions,data_type,kcat,MW,kcat_MW
ACHBS_num1,DLkcat,396066.896,11105.639399999995,3811883.7363621905
ACLS_num1,DLkcat,372541.5801,11105.639399999995,3585468.0223056623
SHK3Dr_num1,DLkcat,122148.233,31241.43800000001,7037666.428798825
SHK3Dr_reverse_num1,DLkcat,56889.6055,31241.43800000001,3277739.3249312006
QUINDH_reverse,DLkcat,49468.9092,31241.43800000001,2850190.076397891
QUINDH,DLkcat,42164.1009,31241.43800000001,2429317.8060497716
TMAOR1,DLkcat,8452.2754,87411.02950000034,107819.09244820086
TMAOR2,DLkcat,8452.2754,87411.02950000034,107819.09244820086
SERAT_reverse,DLkcat,5365.4251,29316.30439999998,329433.24125124066
OCBT,DLkcat,4783.5106,36892.67040000006,466776.6787627271
OCBT_reverse,DLkcat,1933.6889,36892.67040000006,188690.0558979322
UNK3,DLkcat,1580.7122,43563.24280000009,65313.82369909327
GLCDpp_num1,DLkcat,1539.0525,86752.37200000043,31933.35739569157
OP4ENH,DLkcat,1498.5284,28936.64030000001,93215.7670011193
DXPRIi,DLkcat,1489.5195,43387.53750000009,61795.05117108788
SHK3Dr_num2,DLkcat,1238.7797,29433.380800000006,75757.6397747689
SERAT,DLkcat,1186.9467,29316.30439999998,72877.6734901143
PPNDH,DLkcat,951.6858,43114.84450000003,15892.757678854658
PHETA1_num1,DLkcat,857.0121,43563.24280000009,35411.08698179826
TYRTA_num1,DLkcat,857.0121,43563.24280000009,35411.08698179826
TRPTA,DLkcat,857.0121,43563.24280000009,35411.08698179826
ALPATE160pp,DLkcat,833.0053,8323.394100000001,11852.929881376573
SHK3Dr_reverse_num2,DLkcat,784.1182,29433.380800000006,47952.791070470565
TMAOR1pp,DLkcat,771.2771,40194.883400000035,11152.74259066854
TMAOR2pp,DLkcat,771.2771,40194.883400000035,11152.74259066854
DHNCOAS,DLkcat,652.1642,31618.731900000002,74253.1714246263
LEUTAi_num2,DLkcat,628.7389,43563.24280000009,25979.012287854694
ALPATG160pp,DLkcat,607.9257,8323.394100000001,8650.245917026903
AKGDH,DLkcat,559.4043,50687.87920000004,10080.556418650405
ALLTN,DLkcat,538.932,54941.61030000015,8828.25962601971
CYSS_num1,DLkcat,524.9727,34489.22420000003,54796.87536723422
NTRIR4pp,DLkcat,497.4062,53702.33420000006,3333.8231483586183
PHETA1_reverse_num1,DLkcat,466.2367,43563.24280000009,19264.54520047801
