,kcat,data_type,MW,kcat_MW
SOPSII,1517.8423993491574,fill,52394.02360000008,104291.14357342386
CBFCub,1517.8423993491574,fill,3327.9545,1641919.2743341192
CBFCuc,1517.8423993491574,fill,3327.9545,1641919.2743341192
CBFCua,1517.8423993491574,fill,3327.9545,1641919.2743341192
TRNFE,1517.8423993491574,fill,24270.536400000005,225138.51970972365
APTRS,1517.8423993491574,fill,22759.817500000012,240082.4451978564
PACL,1517.8423993491574,fill,15636.63809999998,349450.6045808513
ARSNR,1517.8423993491574,fill,32066.555799999973,170402.85435509638
CBFC2ub,1517.8423993491574,fill,3327.9545,1641919.2743341192
NDH1_3u_1,1517.8423993491574,fill,31117.735100000013,175598.66166663796
NDH1_4pp_1,1517.8423993491574,fill,31117.735100000013,175598.66166663796
NDH1_1p_1,1517.8423993491574,fill,31117.735100000013,175598.66166663796
FQRa,1517.8423993491574,fill,3327.9545,1641919.2743341192
CBFCue,1517.8423993491574,fill,3327.9545,1641919.2743341192
NDH1_1u_1,1517.8423993491574,fill,6577.4337,830754.4989251608
CBFCuf,1517.8423993491574,fill,3327.9545,1641919.2743341192
CBFCpb,1517.8423993491574,fill,3327.9545,1641919.2743341192
CBFCpc,1517.8423993491574,fill,3327.9545,1641919.2743341192
FQRb,1517.8423993491574,fill,3327.9545,1641919.2743341192
CBFCpa,1517.8423993491574,fill,3327.9545,1641919.2743341192
CBFC2pb,1517.8423993491574,fill,3327.9545,1641919.2743341192
CBFCud,1517.8423993491574,fill,3327.9545,1641919.2743341192
CBFCpd,1517.8423993491574,fill,3327.9545,1641919.2743341192
CBFCpe,1517.8423993491574,fill,3327.9545,1641919.2743341192
CBFCpf,1517.8423993491574,fill,3327.9545,1641919.2743341192
PSIIa,1517.8423993491574,fill,52394.02360000008,104291.14357342386
PSIIb,1517.8423993491574,fill,52394.02360000008,104291.14357342386
PSIIc,1517.8423993491574,fill,52394.02360000008,104291.14357342386
OECc,1517.8423993491574,fill,52394.02360000008,104291.14357342386
OECd,1517.8423993491574,fill,52394.02360000008,104291.14357342386
OECe,1517.8423993491574,fill,52394.02360000008,104291.14357342386
OECb,1517.8423993491574,fill,52394.02360000008,104291.14357342386
OECa,1517.8423993491574,fill,52394.02360000008,104291.14357342386
ARSNR_reverse,1517.8423993491574,fill,32066.555799999973,170402.85435509638
3OAR40_2_num3,1517.8423993491574,fill,28689.306300000004,190462.34790476496
3OAR60_num3,25.627636363636363,Other_species,28689.306300000004,3215.8146294771477
3OAR80_num3,25.627636363636363,Other_species,28689.306300000004,3215.8146294771477
3OAR100_num3,25.627636363636363,Other_species,28689.306300000004,3215.8146294771477
3OAR120_num3,25.627636363636363,Other_species,28689.306300000004,3215.8146294771477
3OAR140_num3,25.627636363636363,Other_species,28689.306300000004,3215.8146294771477
3OAR160_num3,25.627636363636363,Other_species,28689.306300000004,3215.8146294771477
3OAR180_num3,25.627636363636363,Other_species,28689.306300000004,3215.8146294771477
3OAR40_2_reverse_num3,1517.8423993491574,fill,28689.306300000004,190462.34790476496
3OAR60_reverse_num3,25.627636363636363,Other_species,28689.306300000004,3215.8146294771477
3OAR80_reverse_num3,25.627636363636363,Other_species,28689.306300000004,3215.8146294771477
3OAR100_reverse_num3,25.627636363636363,Other_species,28689.306300000004,3215.8146294771477
3OAR120_reverse_num3,25.627636363636363,Other_species,28689.306300000004,3215.8146294771477
3OAR160_reverse_num3,25.627636363636363,Other_species,28689.306300000004,3215.8146294771477
