metname,inchikey,Canonical_SMILES
3hoctACP,NA,noinchikey_inpubchem
fmettrna,NA,noinchikey_inpubchem
trdrd,NA,noinchikey_inpubchem
thm,MYVIATVLJGTBFV-UHFFFAOYSA-M,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.[Cl-]
nmn,DAYLJWODMCOQEW-TURQNECASA-M,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])[O-])O)O)C(=O)N
malth,NA,noinchikey_inpubchem
phytof,NA,noinchikey_inpubchem
pre8,IGCZFSMEIXUSJY-FKUSVXTQSA-G,CC1C2=NC(CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)[O-])CC(=O)[O-])(C(C4CCC(=O)[O-])(C)CC(=O)[O-])C)C)C(C3CCC(=O)[O-])(C)CC(=O)[O-])(C(=C2CCC(=O)[O-])C)C
bilirub,BPYKTIZUTYGOLE-IFADSCNNSA-L,CC1=C(NC(=C1CCC(=O)[O-])CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)[O-])C=C4C(=C(C(=O)N4)C=C)C
hemeO,FISPASSVCDRERW-ARQJTVBPSA-J,noinchikey_inpubchem
dnacyt,NA,noinchikey_inpubchem
5drib,WDRISBUVHBMJEF-MROZADKFSA-N,CC(C(C(C=O)O)O)O
mn2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,[Mn+2]
trnacys,NA,noinchikey_inpubchem
tyrtrna,NA,noinchikey_inpubchem
no,MWUXSHHQAYIFBG-UHFFFAOYSA-N,[N]=O
dtdprham,NA,noinchikey_inpubchem
e4p,NGHMDNPXVRFFGS-IUYQGCFVSA-L,C(C(C(C=O)O)O)OP(=O)([O-])[O-]
h2co3_x,NA,noinchikey_inpubchem
rdRieskeB6_y,NA,noinchikey_inpubchem
s4_u,NA,noinchikey_inpubchem
pg160,BIABMEZBCHDPBV-MPQUPPDSSA-M,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(CO)O)OC(=O)CCCCCCCCCCCCCCC
so3,LSNNMFCWUKXFEE-UHFFFAOYSA-L,[O-]S(=O)[O-]
pgp180,UZNYMWWMHBZMLI-IOLBBIBUSA-K,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(COP(=O)([O-])[O-])O)OC(=O)CCCCCCCCCCCCCCCCC
3hddecACP,NA,noinchikey_inpubchem
phycynbn,NA,noinchikey_inpubchem
2oph,VUNQJPPPTJIREN-CMAXTTDKSA-N,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC=CC=C1O)C)C)C)C)C)C)C)C
15gl,NA,noinchikey_inpubchem
arsni,NA,noinchikey_inpubchem
dmtphllqne,UDYIPZFWVJJQJF-KQPZCCJBSA-N,CC(C)CCCC(C)CCCC(C)CCCC(=CCC1=CC(=O)C2=CC=CC=C2C1=O)C
acser,VZXPDPZARILFQX-BYPYZUCNSA-N,CC(=O)OCC(C(=O)O)N
cdec3eACP,NA,noinchikey_inpubchem
xmp,DCTLYFZHFGENCW-UUOKFMHZSA-L,C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])[O-])O)O)NC(=O)NC2=O
methf,MEANFMOQMXYMCT-OLZOCXBDSA-M,C1C2CN(C=[N+]2C3=C(N1)NC(=NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
dhap,GNGACRATGGDKBX-UHFFFAOYSA-L,C(C(=O)COP(=O)([O-])[O-])O
