reactions,metabolites,metabolitestotal,gpr,genes
DDPA,e4p_c,e4p,SGL_RS03435,SGL_RS03435
DDPA,pep_c,pep,SGL_RS03435,SGL_RS03435
HPPK,2ahhmp_c,2ahhmp,SGL_RS02755,SGL_RS02755
PAPSR,paps_c,paps,SGL_RS03060,SGL_RS03060
PAPSR,trdrd_c,trdrd,SGL_RS03060,SGL_RS03060
BPNT2,paps_c,paps,SGL_RS16880,SGL_RS16880
SHK3Dr,3dhsk_c,3dhsk,SGL_RS17415,SGL_RS17415
SHKK,skm_c,skm,SGL_RS03075,SGL_RS03075
BPNT,pap_c,pap,SGL_RS16880,SGL_RS16880
PSCVT,pep_c,pep,SGL_RS11755,SGL_RS11755
PSCVT,skm5p_c,skm5p,SGL_RS11755,SGL_RS11755
SULR_syn,fdxrd_c,fdxrd,SGL_RS03380,SGL_RS03380
ORNTA,akg_c,akg,SGL_RS04875,SGL_RS04875
ORNTA,orn_c,orn,SGL_RS04875,SGL_RS04875
GHMT2r,ser__L_c,ser__L,SGL_RS04690,SGL_RS04690
GHMT2r,thf_c,thf,SGL_RS04690,SGL_RS04690
ANPRT,anth_c,anth,SGL_RS07485,SGL_RS07485
ANPRT,prpp_c,prpp,SGL_RS07485,SGL_RS07485
ANS,chor_c,chor,SGL_RS13880 and SGL_RS02440,SGL_RS13880
ANS,chor_c,chor,SGL_RS13880 and SGL_RS02440,SGL_RS02440
ANS,gln__L_c,gln__L,SGL_RS13880 and SGL_RS02440,SGL_RS13880
ANS,gln__L_c,gln__L,SGL_RS13880 and SGL_RS02440,SGL_RS02440
IGPS,2cpr5p_c,2cpr5p,SGL_RS16890,SGL_RS16890
PHCD,1p3h5c_c,1p3h5c,SGL_RS11170,SGL_RS11170
GLYCLa,gly_c,gly,SGL_RS11955 and SGL_RS07170,SGL_RS11955
GLYCLa,gly_c,gly,SGL_RS11955 and SGL_RS07170,SGL_RS07170
GLYCLa,lprot_c,lprot,SGL_RS11955 and SGL_RS07170,SGL_RS11955
GLYCLa,lprot_c,lprot,SGL_RS11955 and SGL_RS07170,SGL_RS07170
GLYCLb,samprot_c,samprot,SGL_RS12745,SGL_RS12745
GLYCLb,thf_c,thf,SGL_RS12745,SGL_RS12745
HPROb,1p3h5c_c,1p3h5c,SGL_RS17305,SGL_RS17305
GLYCLc,dhlprot_c,dhlprot,SGL_RS12745,SGL_RS12745
PPNDH,pphn_c,pphn,SGL_RS03135,SGL_RS03135
ACGK,acglu_c,acglu,SGL_RS05885,SGL_RS05885
METS,5mthf_c,5mthf,SGL_RS14710,SGL_RS14710
METS,hcys__L_c,hcys__L,SGL_RS14710,SGL_RS14710
AGPR,acg5sa_c,acg5sa,SGL_RS15325,SGL_RS15325
PPND,pphn_c,pphn,SGL_RS09070,SGL_RS09070
AHCi,ahcys_c,ahcys,SGL_RS09665,SGL_RS09665
ACOTA,acorn_c,acorn,SGL_RS04875,SGL_RS04875
ACOTA,akg_c,akg,SGL_RS04875,SGL_RS04875
GLUN_1,gln__L_c,gln__L,SGL_RS09060,SGL_RS09060
OCBT,cbp_c,cbp,SGL_RS16800,SGL_RS16800
OCBT,orn_c,orn,SGL_RS16800,SGL_RS16800
DNAMTn3r,amet_c,amet,SGL_RS13525,SGL_RS13525
DNAMTn3r,dnacyt_c,dnacyt,SGL_RS13525,SGL_RS13525
METAT,met__L_c,met__L,SGL_RS03470,SGL_RS03470
GLUSx,akg_c,akg,SGL_RS02895 and SGL_RS04160,SGL_RS02895
GLUSx,akg_c,akg,SGL_RS02895 and SGL_RS04160,SGL_RS04160
GLUSx,gln__L_c,gln__L,SGL_RS02895 and SGL_RS04160,SGL_RS02895
GLUSx,gln__L_c,gln__L,SGL_RS02895 and SGL_RS04160,SGL_RS04160
GLNS_1_num1,glu__L_c,glu__L,SGL_RS11925,SGL_RS11925
GLNS_1_num1,nh3_c,nh3,SGL_RS11925,SGL_RS11925
GLUDy_1,glu__L_c,glu__L,SGL_RS16330,SGL_RS16330
HPYRRy,hpyr_c,hpyr,SGL_RS08600,SGL_RS08600
GLU5K,glu__L_c,glu__L,SGL_RS04550,SGL_RS04550
ARGSS,asp__L_c,asp__L,SGL_RS18195,SGL_RS18195
ARGSS,citr__L_c,citr__L,SGL_RS18195,SGL_RS18195
CBMK4,nh3_c,nh3,SGL_RS18255,SGL_RS18255
SPT_syn,glx_c,glx,SGL_RS11200,SGL_RS11200
SPT_syn,ser__L_c,ser__L,SGL_RS11200,SGL_RS11200
GLYTA,glu__L_c,glu__L,SGL_RS11200,SGL_RS11200
GLYTA,glx_c,glx,SGL_RS11200,SGL_RS11200
NAR_syn,fdxrd_c,fdxrd,SGL_RS06575,SGL_RS06575
PUTA3,glu5sa_c,glu5sa,SGL_RS11170,SGL_RS11170
G5SD_num1,glu5p_c,glu5p,SGL_RS14505,SGL_RS14505
NOR_syn_1,fdxrd_c,fdxrd,SGL_RS14775,SGL_RS14775
GLYCK2,glyc__R_c,glyc__R,SGL_RS06360,SGL_RS06360
GLMS_syn,akg_c,akg,SGL_RS17380,SGL_RS17380
GLMS_syn,fdxrd_c,fdxrd,SGL_RS17380,SGL_RS17380
GLMS_syn,gln__L_c,gln__L,SGL_RS17380,SGL_RS17380
P5CD,1pyr5c_c,1pyr5c,SGL_RS11170,SGL_RS11170
P5CR,1pyr5c_c,1pyr5c,SGL_RS17305,SGL_RS17305
ACGS,accoa_c,accoa,SGL_RS10330,SGL_RS10330
ACGS,glu__L_c,glu__L,SGL_RS10330,SGL_RS10330
TRSARyr,2h3oppan_c,2h3oppan,SGL_RS13640,SGL_RS13640
ORNTAC,acorn_c,acorn,SGL_RS10330,SGL_RS10330
ORNTAC,glu__L_c,glu__L,SGL_RS10330,SGL_RS10330
TRSARr,2h3oppan_c,2h3oppan,SGL_RS13640,SGL_RS13640
ACODA_num1,acorn_c,acorn,SGL_RS15740,SGL_RS15740
GLXCL,glx_c,glx,SGL_RS09150,SGL_RS09150
GLXO3r,glx_c,glx,SGL_RS11230,SGL_RS11230
GLYALDDr,glyald_c,glyald,SGL_RS15360,SGL_RS15360
PSTA,3php_c,3php,SGL_RS11200,SGL_RS11200
PSTA,glu__L_c,glu__L,SGL_RS11200,SGL_RS11200
ACLSa_1,pyr_c,pyr,SGL_RS13860 and SGL_RS09150 and SGL_RS09105,SGL_RS09105
ACLSa_1,pyr_c,pyr,SGL_RS13860 and SGL_RS09150 and SGL_RS09105,SGL_RS09150
ACLSa_1,pyr_c,pyr,SGL_RS13860 and SGL_RS09150 and SGL_RS09105,SGL_RS13860
ACLSa_1,thmpp_c,thmpp,SGL_RS13860 and SGL_RS09150 and SGL_RS09105,SGL_RS09105
ACLSa_1,thmpp_c,thmpp,SGL_RS13860 and SGL_RS09150 and SGL_RS09105,SGL_RS09150
ACLSa_1,thmpp_c,thmpp,SGL_RS13860 and SGL_RS09150 and SGL_RS09105,SGL_RS13860
PSP_1,pser_c,pser,SGL_RS02245,SGL_RS02245
HEX1_num1,glc__D_c,glc__D,SGL_RS15590,SGL_RS15590
FBP_num1,fdp_c,fdp,SGL_RS11420,SGL_RS11420
