,kcat,data_type,MW,kcat_MW
3OAR80,25.627636363636363,Other_species,102039.62199999996,904.1535934844109
2AGPEAT120,6934.6720332306295,fill,80212.76190000036,311232.51123996207
2AGPEAT140,6934.6720332306295,fill,80212.76190000036,311232.51123996207
2AGPEAT141,6934.6720332306295,fill,80212.76190000036,311232.51123996207
2AGPEAT161,6934.6720332306295,fill,80212.76190000036,311232.51123996207
2AGPEAT181,6934.6720332306295,fill,80212.76190000036,311232.51123996207
3OAS121,0.17085714285714285,Other_species,84873.2252000001,7.247111357395588
2AGPG120tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
2AGPG140tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
2AGPG141tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
2AGPG160tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
3OAS141,0.17085714285714285,Other_species,84873.2252000001,7.247111357395588
2AGPG161tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
2AGPG180tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
2AGPG181tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
2AGPGAT120,6934.6720332306295,fill,80212.76190000036,311232.51123996207
2AGPGAT140,6934.6720332306295,fill,80212.76190000036,311232.51123996207
2AGPGAT141,6934.6720332306295,fill,80212.76190000036,311232.51123996207
2AGPGAT160,6934.6720332306295,fill,80212.76190000036,311232.51123996207
2AGPGAT161,6934.6720332306295,fill,80212.76190000036,311232.51123996207
2AGPGAT180,6934.6720332306295,fill,80212.76190000036,311232.51123996207
2AGPGAT181,6934.6720332306295,fill,80212.76190000036,311232.51123996207
3OAS161,0.17085714285714285,Other_species,84873.2252000001,7.247111357395588
3OAS180_num1,0.17085714285714285,Other_species,84873.2252000001,7.247111357395588
3OAS181,0.029,Other_species,85717.93120000011,1.2179481998510933
3OXCOAT_num1,143.429166625,Other_species,162314.82600000015,3181.132694865468
3PEPTabcpp,6934.6720332306295,fill,330350.11900000024,75570.78954656058
12PPDt,6934.6720332306295,fill,28508.471500000003,875698.2751471001
3PEPTtex_num1,6934.6720332306295,fill,113550.78929999995,219855.97346816747
2DGLCNRx,6934.6720332306295,fill,70864.3782,352290.10616832395
2DGLCNRy,27.85,Other_species,70864.3782,1414.815208242383
13PPDH,27.164545454545454,Database,41465.13160000006,2358.42405083223
2DGULRx,6934.6720332306295,fill,70864.3782,352290.10616832395
3UMPtex_num1,6934.6720332306295,fill,113550.78929999995,219855.97346816747
2DGULRy,6934.6720332306295,fill,70864.3782,352290.10616832395
42A12BOOXpp,25.181,Other_species,83600.44900000028,1084.3434584902732
14GLUCANabcpp,6934.6720332306295,fill,173262.6672000001,144086.54630032295
4HOXPACDtex_num1,6934.6720332306295,fill,113550.78929999995,219855.97346816747
23CAMPtex_num1,6934.6720332306295,fill,113550.78929999995,219855.97346816747
23CCMPtex_num1,6934.6720332306295,fill,113550.78929999995,219855.97346816747
23CGMPtex_num1,6934.6720332306295,fill,113550.78929999995,219855.97346816747
23CUMPtex_num1,6934.6720332306295,fill,113550.78929999995,219855.97346816747
2MAHMP_num1,6934.6720332306295,fill,60716.94480000003,411167.2516109581
4HTHRS,274.2119310886667,Other_species,46694.96740000005,21140.671187602093
34dhpactex_num1,6934.6720332306295,fill,113550.78929999995,219855.97346816747
3AMPtex_num1,6934.6720332306295,fill,113550.78929999995,219855.97346816747
23DAPPAtex_num1,6934.6720332306295,fill,113550.78929999995,219855.97346816747
23PDE2pp,10.12,Other_species,141278.60360000064,257.8734434773238
23PDE4pp,10.12,Other_species,141278.60360000064,257.8734434773238
3CMPtex_num1,6934.6720332306295,fill,113550.78929999995,219855.97346816747
23PDE7pp,10.12,Other_species,141278.60360000064,257.8734434773238
4PCP,6934.6720332306295,fill,100220.01000000001,249100.14796077413
23PDE9pp,10.12,Other_species,141278.60360000064,257.8734434773238
3GMPtex_num1,6934.6720332306295,fill,113550.78929999995,219855.97346816747
3HAD100_num1,8.881378260869566,Other_species,17024.73509999999,1878.0299106757
3HAD120_num1,8.881378260869566,Other_species,17024.73509999999,1878.0299106757
26DAHtex_num1,6934.6720332306295,fill,113550.78929999995,219855.97346816747
2AGPA120tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
2AGPA140tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
3HAD140_num1,8.881378260869566,Other_species,17024.73509999999,1878.0299106757
3HAD160_num1,8.881378260869566,Other_species,38167.852000000006,837.6935054959455
2AGPA141tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
2AGPA160tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
2AGPA161tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
2AGPA180tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
2AGPA181tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
2AGPE120tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
4PEPTabcpp,6934.6720332306295,fill,272447.8051000001,91631.56704627184
2AGPE140tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
2AGPE141tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
2AGPE160tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
3HAD60_num1,8.881378260869566,Other_species,38167.852000000006,837.6935054959455
4PEPTtex_num1,6934.6720332306295,fill,113550.78929999995,219855.97346816747
3HAD80_num1,8.881378260869566,Other_species,17024.73509999999,1878.0299106757
2AGPE161tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
2AGPE180tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
3HCINNMH,0.7135,Other_species,368189.83440000075,6.976292553502381
5DGLCNtex_num1,6934.6720332306295,fill,113550.78929999995,219855.97346816747
3HPPPNH,0.7135,Other_species,368189.83440000075,6.976292553502381
2AGPE181tipp,6934.6720332306295,fill,41697.26310000002,598716.0178776878
3NTD2pp,27.41375,Other_species,141278.60360000064,698.545267897874
5DOAN,6934.6720332306295,fill,49007.73620000001,509405.6827630055
3NTD4pp,27.41375,Other_species,141278.60360000064,698.545267897874
3NTD7pp,27.41375,Other_species,141278.60360000064,698.545267897874
