metname,inchikey,Canonical_SMILES
3hadpcoa,OTEACGAEDCIMBS-NOTSHUFBSA-I,CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CC(CCC(=O)[O-])O)O
udcpp,UFPHFKCTOZIAFY-RDQGWRCRSA-L,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)([O-])[O-])C)C)C)C)C)C)C)C)C)C)C
uaccg,BEGZZYPUNCJHKP-DBYWSUQTSA-K,CC(=O)NC1C(C(C(OC1OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)OC(=C)C(=O)[O-]
ocdcea,ZQPPMHVWECSIRJ-KTKRTIGZSA-M,CCCCCCCCC=CCCCCCCCC(=O)[O-]
34dhpac,IADQVXRMSNIUEL-UHFFFAOYSA-N,C1=CC(=C(C=C1CC=O)O)O
all6p,VFRROHXSMXFLSN-BGPJRJDNSA-L,C(C(C(C(C(C=O)O)O)O)O)OP(=O)([O-])[O-]
2tpr3dpcoa,NFWZJXFBUKDGOX-HWCXJHOSSA-H,CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)OC4C(C(C(O4)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)O)C(C(=O)NCCC(=O)NCCS)O
glu__D,WHUUTDBJXJRKMK-GSVOUGTGSA-M,C(CC(=O)O)C(C(=O)[O-])N
dtdp,UJLXYODCHAELLY-XLPZGREQSA-K,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)([O-])OP(=O)([O-])[O-])O
copre5,CMNLELJQIRWSFR-GFSZXBFJSA-M,noinchikey_inpubchem
citr__L,RHGKLRLOHDJJDR-BYPYZUCNSA-N,C(CC(C(=O)O)N)CNC(=O)N
3dhsk,SLWWJZMPHJJOPH-PHDIDXHHSA-M,C1C(C(C(=O)C=C1C(=O)[O-])O)O
na1,FKNQFGJONOIPTF-UHFFFAOYSA-N,[Na+]
cddec5eACP,NA,noinchikey_inpubchem
pmtcoa,MNBKLUUYKPBKDU-BBECNAHFSA-J,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
phe__L,COLNVLDHVKWLRT-QMMMGPOBSA-N,C1=CC=C(C=C1)CC(C(=O)O)N
