reactions,metabolites,metabolitestotal,gpr,genes
3OAR80,3ooctACP_c,3ooctACP,KPN_01091,KPN_01091
2AGPEAT120,2agpe120_c,2agpe120,KPN_03245,KPN_03245
2AGPEAT120,ddca_c,ddca,KPN_03245,KPN_03245
2AGPEAT140,2agpe140_c,2agpe140,KPN_03245,KPN_03245
2AGPEAT140,ttdca_c,ttdca,KPN_03245,KPN_03245
3OAS100_num1,malACP_c,malACP,KPN_01093,KPN_01093
3OAS100_num1,ocACP_c,ocACP,KPN_01093,KPN_01093
2AGPEAT141,2agpe141_c,2agpe141,KPN_03245,KPN_03245
2AGPEAT141,ttdcea_c,ttdcea,KPN_03245,KPN_03245
3OAS120_num1,dcaACP_c,dcaACP,KPN_02713,KPN_02713
3OAS120_num1,malACP_c,malACP,KPN_02713,KPN_02713
2AGPEAT160,2agpe160_c,2agpe160,KPN_03245,KPN_03245
2AGPEAT160,hdca_c,hdca,KPN_03245,KPN_03245
2AGPEAT161,2agpe161_c,2agpe161,KPN_03245,KPN_03245
2AGPEAT161,hdcea_c,hdcea,KPN_03245,KPN_03245
2AGPEAT180,2agpe180_c,2agpe180,KPN_03245,KPN_03245
2AGPEAT180,ocdca_c,ocdca,KPN_03245,KPN_03245
2AGPEAT181,2agpe181_c,2agpe181,KPN_03245,KPN_03245
2AGPEAT181,ocdcea_c,ocdcea,KPN_03245,KPN_03245
3OAS121,cdec3eACP_c,cdec3eACP,KPN_02713,KPN_02713
3OAS121,malACP_c,malACP,KPN_02713,KPN_02713
3OAS140_num1,ddcaACP_c,ddcaACP,KPN_01093,KPN_01093
3OAS140_num1,malACP_c,malACP,KPN_01093,KPN_01093
3OAS141,cddec5eACP_c,cddec5eACP,KPN_02713,KPN_02713
3OAS141,malACP_c,malACP,KPN_02713,KPN_02713
2AGPGAT120,2agpg120_c,2agpg120,KPN_03245,KPN_03245
2AGPGAT120,ddca_c,ddca,KPN_03245,KPN_03245
2AGPGAT140,2agpg140_c,2agpg140,KPN_03245,KPN_03245
2AGPGAT140,ttdca_c,ttdca,KPN_03245,KPN_03245
2AGPGAT141,2agpg141_c,2agpg141,KPN_03245,KPN_03245
2AGPGAT141,ttdcea_c,ttdcea,KPN_03245,KPN_03245
2AGPGAT160,2agpg160_c,2agpg160,KPN_03245,KPN_03245
2AGPGAT160,hdca_c,hdca,KPN_03245,KPN_03245
2AGPGAT161,2agpg161_c,2agpg161,KPN_03245,KPN_03245
2AGPGAT161,hdcea_c,hdcea,KPN_03245,KPN_03245
2AGPGAT180,2agpg180_c,2agpg180,KPN_03245,KPN_03245
2AGPGAT180,ocdca_c,ocdca,KPN_03245,KPN_03245
3OAS160_num1,malACP_c,malACP,KPN_02713,KPN_02713
3OAS160_num1,myrsACP_c,myrsACP,KPN_02713,KPN_02713
2AGPGAT181,2agpg181_c,2agpg181,KPN_03245,KPN_03245
2AGPGAT181,ocdcea_c,ocdcea,KPN_03245,KPN_03245
3OAS161,malACP_c,malACP,KPN_02713,KPN_02713
3OAS161,tdeACP_c,tdeACP,KPN_02713,KPN_02713
3OAS180_num1,malACP_c,malACP,KPN_02713,KPN_02713
3OAS180_num1,palmACP_c,palmACP,KPN_02713,KPN_02713
3OAS181,hdeACP_c,hdeACP,KPN_01093,KPN_01093
3OAS181,malACP_c,malACP,KPN_01093,KPN_01093
3OAS60_num1,butACP_c,butACP,KPN_02713,KPN_02713
3OAS60_num1,malACP_c,malACP,KPN_02713,KPN_02713
3OAS80_num1,hexACP_c,hexACP,KPN_02713,KPN_02713
3OAS80_num1,malACP_c,malACP,KPN_02713,KPN_02713
3OXCOAT_num1,oxadpcoa_c,oxadpcoa,KPN_03268,KPN_03268
3PEPTabcpp,LalaDgluMdap_p,LalaDgluMdap,KPN_02194 and KPN_02193 and KPN_01310 and KPN_02195 and KPN_02196,KPN_02194
3PEPTabcpp,LalaDgluMdap_p,LalaDgluMdap,KPN_02194 and KPN_02193 and KPN_01310 and KPN_02195 and KPN_02196,KPN_02195
3PEPTabcpp,LalaDgluMdap_p,LalaDgluMdap,KPN_02194 and KPN_02193 and KPN_01310 and KPN_02195 and KPN_02196,KPN_02196
3PEPTabcpp,LalaDgluMdap_p,LalaDgluMdap,KPN_02194 and KPN_02193 and KPN_01310 and KPN_02195 and KPN_02196,KPN_01310
3PEPTabcpp,LalaDgluMdap_p,LalaDgluMdap,KPN_02194 and KPN_02193 and KPN_01310 and KPN_02195 and KPN_02196,KPN_02193
2DGLCNRx,2dhglcn_c,2dhglcn,KPN_03915,KPN_03915
2DGLCNRy,2dhglcn_c,2dhglcn,KPN_03915,KPN_03915
13PPDH,3hppnl_c,3hppnl,KPN_03491,KPN_03491
2DGULRx,2dhguln_c,2dhguln,KPN_03915,KPN_03915
2DGULRy,2dhguln_c,2dhguln,KPN_03915,KPN_03915
42A12BOOXpp,dopa_p,dopa,KPN_01467,KPN_01467
14GLUCANabcpp,14glucan_p,14glucan,KPN_04423 and KPN_04421 and KPN_04424 and KPN_04422,KPN_04422
14GLUCANabcpp,14glucan_p,14glucan,KPN_04423 and KPN_04421 and KPN_04424 and KPN_04422,KPN_04423
14GLUCANabcpp,14glucan_p,14glucan,KPN_04423 and KPN_04421 and KPN_04424 and KPN_04422,KPN_04421
14GLUCANabcpp,14glucan_p,14glucan,KPN_04423 and KPN_04421 and KPN_04424 and KPN_04422,KPN_04424
2MAHMP_num1,2mahmp_c,2mahmp,KPN_00408,KPN_00408
4HTHRS,phthr_c,phthr,KPN_00004,KPN_00004
23PDE2pp,23cump_p,23cump,KPN_04607,KPN_04607
23PDE4pp,23ccmp_p,23ccmp,KPN_04607,KPN_04607
23PDE7pp,23camp_p,23camp,KPN_04607,KPN_04607
4PCP,LalaDgluMdapDala_c,LalaDgluMdapDala,KPN_02306,KPN_02306
23PDE9pp,23cgmp_p,23cgmp,KPN_04607,KPN_04607
4PEPTabcpp,LalaDgluMdapDala_p,LalaDgluMdapDala,KPN_02194 and KPN_02197 and KPN_02193 and KPN_02195 and KPN_02196,KPN_02194
4PEPTabcpp,LalaDgluMdapDala_p,LalaDgluMdapDala,KPN_02194 and KPN_02197 and KPN_02193 and KPN_02195 and KPN_02196,KPN_02197
4PEPTabcpp,LalaDgluMdapDala_p,LalaDgluMdapDala,KPN_02194 and KPN_02197 and KPN_02193 and KPN_02195 and KPN_02196,KPN_02196
4PEPTabcpp,LalaDgluMdapDala_p,LalaDgluMdapDala,KPN_02194 and KPN_02197 and KPN_02193 and KPN_02195 and KPN_02196,KPN_02195
4PEPTabcpp,LalaDgluMdapDala_p,LalaDgluMdapDala,KPN_02194 and KPN_02197 and KPN_02193 and KPN_02195 and KPN_02196,KPN_02193
3HCINNMH,3hcinnm_c,3hcinnm,KPN_02122,KPN_02122
3HPPPNH,3hpppn_c,3hpppn,KPN_02122,KPN_02122
3NTD2pp,3ump_p,3ump,KPN_04607,KPN_04607
5DOAN,dad_5_c,dad_5,KPN_00174,KPN_00174
3NTD4pp,3cmp_p,3cmp,KPN_04607,KPN_04607
3NTD7pp,3amp_p,3amp,KPN_04607,KPN_04607
3NTD9pp,3gmp_p,3gmp,KPN_04607,KPN_04607
ACGAMK,acgam_c,acgam,KPN_01116,KPN_01116
ACGAMT,uacgam_c,uacgam,KPN_04284,KPN_04284
ACGAMT,udcpp_c,udcpp,KPN_04284,KPN_04284
AACPS1,ACP_c,ACP,KPN_01092 and KPN_03245,KPN_03245
AACPS1,ACP_c,ACP,KPN_01092 and KPN_03245,KPN_01092
AACPS1,ttdca_c,ttdca,KPN_01092 and KPN_03245,KPN_03245
AACPS1,ttdca_c,ttdca,KPN_01092 and KPN_03245,KPN_01092
ACGAptspp_num1,acgam_p,acgam,KPN_02764 and KPN_01099 and KPN_02763 and KPN_02762,KPN_02764
ACGAptspp_num1,acgam_p,acgam,KPN_02764 and KPN_01099 and KPN_02763 and KPN_02762,KPN_01099
ACGAptspp_num1,acgam_p,acgam,KPN_02764 and KPN_01099 and KPN_02763 and KPN_02762,KPN_02762
ACGAptspp_num1,acgam_p,acgam,KPN_02764 and KPN_01099 and KPN_02763 and KPN_02762,KPN_02763
ACGAptspp_num1,pep_c,pep,KPN_02764 and KPN_01099 and KPN_02763 and KPN_02762,KPN_02764
ACGAptspp_num1,pep_c,pep,KPN_02764 and KPN_01099 and KPN_02763 and KPN_02762,KPN_01099
ACGAptspp_num1,pep_c,pep,KPN_02764 and KPN_01099 and KPN_02763 and KPN_02762,KPN_02762
ACGAptspp_num1,pep_c,pep,KPN_02764 and KPN_01099 and KPN_02763 and KPN_02762,KPN_02763
AACPS2,ACP_c,ACP,KPN_01092 and KPN_03245,KPN_03245
AACPS2,ACP_c,ACP,KPN_01092 and KPN_03245,KPN_01092
AACPS2,ttdcea_c,ttdcea,KPN_01092 and KPN_03245,KPN_03245
AACPS2,ttdcea_c,ttdcea,KPN_01092 and KPN_03245,KPN_01092
AACPS3,ACP_c,ACP,KPN_01092 and KPN_03245,KPN_03245
AACPS3,ACP_c,ACP,KPN_01092 and KPN_03245,KPN_01092
AACPS3,hdca_c,hdca,KPN_01092 and KPN_03245,KPN_03245
AACPS3,hdca_c,hdca,KPN_01092 and KPN_03245,KPN_01092
ACGK,acglu_c,acglu,KPN_04248,KPN_04248
ACGS,accoa_c,accoa,KPN_03226,KPN_03226
ACGS,glu__L_c,glu__L,KPN_03226,KPN_03226
AACPS4,ACP_c,ACP,KPN_01092 and KPN_03245,KPN_03245
AACPS4,ACP_c,ACP,KPN_01092 and KPN_03245,KPN_01092
AACPS4,hdcea_c,hdcea,KPN_01092 and KPN_03245,KPN_03245
AACPS4,hdcea_c,hdcea,KPN_01092 and KPN_03245,KPN_01092
ACHBS_num1,2obut_c,2obut,KPN_00082 and KPN_00083,KPN_00083
ACHBS_num1,2obut_c,2obut,KPN_00082 and KPN_00083,KPN_00082
ACHBS_num1,pyr_c,pyr,KPN_00082 and KPN_00083,KPN_00083
ACHBS_num1,pyr_c,pyr,KPN_00082 and KPN_00083,KPN_00082
ACKr_num1,ac_c,ac,KPN_02364,KPN_02364
3OADPCOAT,3oxoadp_c,3oxoadp,KPN_01538 and KPN_01539,KPN_01539
