reactions,data_type,kcat,MW,kcat_MW
PHACOAOR,DLkcat,16260.2878,27944.1557,222553.02100520307
UREA,DLkcat,7253.9861,60303.93090000013,314305.6141493986
OBTFL_num1,DLkcat,6482.2851,85144.91580000044,82351.38979389856
ilvg_num2,DLkcat,6163.0139,18034.538,273556.1669997717
ACHBS_num2,DLkcat,6163.0139,59180.54880000007,316665.219776432
ACLS_num1,DLkcat,5678.2344,10883.50829999999,291756.49664169934
SERASr_reverse,DLkcat,5087.2549,141677.92920000042,64632.92392616346
ALLTN,DLkcat,3532.048,35545.275200000026,89430.82258088684
MTRPOX,DLkcat,3037.4832,40304.76350000006,271306.3809442768
HPA3MO,DLkcat,2955.2807,58855.28640000008,17527.979904035197
DNTPPA_num1,DLkcat,2949.8528,16831.939899999998,315455.9172350657
NNATr_reverse,DLkcat,2625.6458,24799.098400000013,381155.989122572
TMAOR1,DLkcat,2340.853,90016.03490000045,23744.312042119032
TMAOR2,DLkcat,2340.853,90016.03490000045,23744.312042119032
ACCOAC,DLkcat,1911.5484,16436.8099,51181.71149817652
SERASr,DLkcat,1130.6739,141677.92920000042,14365.067526692746
OCBT,DLkcat,1091.562,37049.96980000008,53031.395453391044
AMPTASEPG_num4,DLkcat,848.5501,54847.249200000064,5569.6145286352785
PHEt2rpp_reverse_num2,DLkcat,668.0653,49550.35570000005,24268.595512826945
SERt2rpp_num2,DLkcat,644.4814,48781.19110000004,11890.510397971802
SKMt2pp,DLkcat,617.535,47716.552900000046,46590.24730179111
FECRMabcpp,DLkcat,589.9881,70177.65710000039,4028.5526873923245
ALPATE160pp,DLkcat,550.2178,8386.305800000002,23933.867611359587
ACONMT,DLkcat,530.0277,29809.8737,32004.49185398595
AKGDH,DLkcat,488.47,50562.79530000004,4397.4020659570415
SERAT,DLkcat,445.9117,29305.366299999987,27388.876555349536
ACMUMptspp,DLkcat,442.7709,18246.846600000008,7996.788359638654
TREptspp_num1,DLkcat,419.9795,50908.838,7501.277690695855
ALPATG160pp,DLkcat,408.0893,8386.305800000002,17751.434577020966
SDPTA_reverse_num3,DLkcat,407.939,43490.99280000001,16883.730462920128
MALTabcpp,DLkcat,405.2867,40642.53780000003,8420.926120892584
ACGAptspp_num1,DLkcat,382.5784,18246.846600000008,6850.578829546737
GLCptspp_num2,DLkcat,361.6352,63252.78180000026,6119.358742457896
GLCDpp_num2,DLkcat,361.6352,39940.082999999984,16297.997177421996
ALLTAMH,DLkcat,338.7143,44309.7708000001,6879.8114839266855
RBFSa,DLkcat,319.6943,23054.32070000001,24960.602721207037
MALTptspp,DLkcat,311.1031,56505.36650000006,5264.286979781706
TMN,DLkcat,311.1031,25651.9129,21830.168462797177
GLCptspp_num3,DLkcat,311.1031,9119.2594,5570.717820625424
PDH,DLkcat,310.0339,65914.98270000027,593.066391237809
DALAt2pp,DLkcat,279.7822,51201.70170000011,19671.53212800343
PPPGO,DLkcat,278.8476,20784.71819999999,12074.39223303976
MALS,DLkcat,260.7649,60297.87300000019,3892.150723127484
DHFR_reverse_num1,DLkcat,253.2276,17965.1043,8457.315775227646
OMPHHX,DLkcat,249.126,42134.73670000005,10642.686655260371
FRD2,DLkcat,212.4061,27237.0104,5168.070897170195
FRD3,DLkcat,212.4061,27237.0104,5168.070897170196
GMHEPAT,DLkcat,211.6779,25723.526699999973,14812.129940176532
URCN,DLkcat,192.7671,61552.06480000021,5637.191556894753
GLUDxi_reverse_num2,DLkcat,192.1809,46378.50690000007,2486.2495088215055
THDPS,DLkcat,176.0494,29831.67549999999,7081.7101774923785
UAGCVT,DLkcat,175.0851,44584.74020000007,4712.422211221042
ARBTNabcpp,DLkcat,169.8064,70177.65710000039,1159.4708928136279
FECRMtonex,DLkcat,158.3288,27096.9391,976.9280700280624
GLUTRS,DLkcat,156.1557,53602.88060000012,10487.505777814462
FDH5pp_1_num2,DLkcat,154.8276,89931.09420000047,2478.760392677823
PRASCSi,DLkcat,152.0996,26877.54970000001,10186.169612031259
UM3PL,DLkcat,152.0996,48532.0022000001,2820.6056580125955
PHETA1_num2,DLkcat,152.0996,43538.7965000001,6288.168300655701
G1PACT,DLkcat,149.4362,49115.318200000016,3651.069494649023
GLYCDx_num2,DLkcat,148.7424,38747.875300000014,4606.468835208622
FLDR_num2,DLkcat,148.7424,19764.7589,5622.179565110599
ASPabcpp,DLkcat,146.59,26586.68759999999,2315.514443639793
ilvg_num1,DLkcat,138.6673,58956.94200000011,1956.4435313322422
UPPDC1,DLkcat,138.5937,39211.61700000006,6362.111003991487
UAAGDS,DLkcat,138.5937,53328.02930000008,3118.6684035218937
UDPKAAT,DLkcat,135.0999,41319.63360000007,5885.333407215876
PGPP160_num2,DLkcat,134.5121,17547.656999999992,27595.909812916918
PGPP160pp_num2,DLkcat,134.5121,28923.29870000001,8371.167566720178
GLYCLTt2rpp,DLkcat,126.3844,59309.756000000176,3835.6576614477945
NADPHQR3,DLkcat,126.3318,21809.4563,10426.543278843681
AGPR,DLkcat,125.3784,35814.56420000004,6301.378364950195
FEENTERtonex,DLkcat,123.5664,27096.9391,1711.960643853327
PLIPA1G160pp,DLkcat,122.6165,32599.16179999999,6770.410274781975
