,kcat,data_type,MW,kcat_MW
2S6HCCi,0.275,Database,128182.51360000041,7.723362354161207
3AMBAt2,204069.68559953777,fill,102168.0392000001,7190613.3651073845
FDH_num1,23.175384615384615,Other_species,226945.9676000008,367.62664478108275
FDMO_1,204069.68559953777,fill,83603.11320000008,8787362.575851245
AAMYL_1,817254.1715623897,Brenda_SA,72376.9906000004,40649866.66666667
ABTA,20.610285,Other_species,94496.8694,785.1797257529042
FBA_num1,5.414017542105263,Other_species,62742.68480000006,310.64120404963813
FBA2_num1,5.414017542105263,Other_species,60800.47100000004,320.56434483178487
FBP,32.684642857142855,Other_species,297968.35080000106,394.8899739512666
FDMO1,204069.68559953777,fill,83603.11320000008,8787362.575851245
FDMO2_1,204069.68559953777,fill,83603.11320000008,8787362.575851245
FDMO3_1,204069.68559953777,fill,83603.11320000008,8787362.575851245
AB6PGH_num1,25.360565217391304,Other_species,48710.81210000003,1874.286854326714
ABUTD_num1,1.374,Database,107763.36860000007,45.900569592996156
MACCOAT,80.0,Database,82245.52739999996,3501.7101732391607
ACACT2r,80.0,Database,82245.52739999996,3501.7101732391607
ACACT3r,80.0,Database,82245.52739999996,3501.7101732391607
ACACT4r,80.0,Database,82245.52739999996,3501.7101732391607
ACACT5r_1,224.8,Other_species,82245.52739999996,9839.805586802042
ACACT6r_1,204069.68559953777,fill,82245.52739999996,8932411.17642023
ACACT7r,80.0,Database,82245.52739999996,3501.7101732391607
FDMO4_1,204069.68559953777,fill,83603.11320000008,8787362.575851245
FDMO5_1,204069.68559953777,fill,83603.11320000008,8787362.575851245
FDMO6_1,204069.68559953777,fill,83603.11320000008,8787362.575851245
ACACT1r,80.0,Database,82357.62640000001,3496.9439090099854
ACCOAC,10.213722222222222,Other_species,156423.7754,235.0627320301847
ACGApts,204069.68559953777,fill,193115.00020000036,3804214.4183387705
ACGK,63.46666666666667,Other_species,27723.965800000005,8241.245197323104
FE2abc,204069.68559953777,fill,107094.16060000003,6859859.249490543
ACGS,2.1999998,Other_species,86553.18000000002,91.50442860678254
FOLD3,77.02221538461538,Other_species,62002.615400000075,4472.069018311364
ACKr,494.38461538461536,Other_species,86273.74540000009,20629.504458544274
ACLDC,2.2,Database,28798.995200000012,275.00959477919554
ACODA_1,1254.6363636363637,Other_species,47152.83110000004,95788.3292206161
ACOAD20_num1,9.710525,Other_species,40918.309900000066,854.333673248805
ACONT,999.0,Database,99332.77320000049,36205.57328807148
ACOAD2_num1,129.87142857142857,Other_species,41445.75870000004,11280.699341067737
ACOAD1_num1,14.316153333333332,Other_species,65334.76180000017,788.8320180574971
ACOADH2_num1,9.710525,Other_species,42139.20350000006,829.5811761131164
ACOTA,1.185,Other_species,81954.84479999998,52.05305446445066
ACPS1,0.4839212,Database,41152.82339999995,42.3328504843243
APRAUR,0.21666666666666667,Other_species,157219.40320000015,4.961219697595184
APSR,0.8716,Other_species,107897.0580000001,29.081052423134622
ACPpds,0.107,Other_species,45953.93459999997,8.382307268200714
ACS,827.4769230769231,Other_species,64891.2043000002,45906.32821830545
ALKP_num1,778.0759375,Other_species,50273.61350000005,55716.571377945555
APTA1i,204069.68559953777,fill,87070.91060000022,8437385.839839075
ACS2,17.503333333333334,Other_species,64891.2043000002,971.0406931066897
ACTD2_num1,204069.68559953777,fill,116024.55520000003,6331856.794382571
ACTNabc,204069.68559953777,fill,181083.55310000008,4056971.7988283476
ACTNabc1,204069.68559953777,fill,181083.55310000008,4056971.7988283476
ALCD2y_num1,2.125,Database,82415.58980000006,92.82224417206069
ADADir,896.9052278021978,Other_species,50887.02140000004,63451.51929226318
ADNK1,756.3037077850468,Other_species,50887.02140000004,53504.671193550465
ADD,42.42490151513636,Other_species,62891.06890000022,2428.4790849609867
ALLTN,703.8131814818182,Other_species,193322.08480000033,13106.249376297546
ARABRr_num1,570.5090909090909,Other_species,63535.2546000001,32325.875456123915
ARAI,241.7,Database,56121.220500000054,15504.295741394277
ARBTpts,204069.68559953777,fill,337967.556600001,2173731.9272566345
ADCS,0.0045000000000000005,Database,74935.19810000005,0.21618679086403844
