metname,inchikey,Canonical_SMILES
ddcal,HFJRKMMYBMWEAD-UHFFFAOYSA-N,CCCCCCCCCCCC=O
lipo4_24_BS,NA,noinchikey_inpubchem
fald,WSFSSNUMVMOOMR-UHFFFAOYSA-N,C=O
ala_L_trp__L,WUGMRIBZSVSJNP-UFBFGSQYSA-N,CC(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)N
3htdcoa,OXBHKMHNDGRDCZ-STLSENOWSA-J,CCCCCCCCCCCC(CC(=O)SCCN=C(CCN=C(C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)[O-])[O-])O
tcam_BS,NA,noinchikey_inpubchem
uaccg,BEGZZYPUNCJHKP-DBYWSUQTSA-K,CC(=O)NC1C(C(C(OC1OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)OC(=C)C(=O)[O-]
g1p_B,HXXFSFRBOHSIMQ-DVKNGEFBSA-L,C(C1C(C(C(C(O1)OP(=O)([O-])[O-])O)O)O)O
23dhba,ULPVJDOMCRTJSN-RVXWVPLUSA-M,C1=CC(=C(C(=C1)O)O)C(=O)OP(=O)([O-])OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O
4ampm,SSWDVESQMBHOQT-UHFFFAOYSA-N,noinchikey_inpubchem
fprica,ABCOOORLYAOBOZ-KQYNXXCUSA-L,C1=NC(=C(N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)NC=O)C(=O)N
etoh,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO
o2,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O
mmalsa__S,NA,noinchikey_inpubchem
melib,DLRVVLDZNNYCBX-ZZFZYMBESA-N,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O
acmalt,IJVLHLCOMOKFHH-DURRTVQMSA-N,CC(=O)OCC1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O
asn__L,DCXYFEDJOCDNAF-REOHCLBHSA-N,C(C(C(=O)O)N)C(=O)N
ala_L_his__L,NA,noinchikey_inpubchem
3hmp,DBXBTMSZEOQQDU-UHFFFAOYSA-M,CC(CO)C(=O)[O-]
imzacd,MQSRGWNVEZRLDK-UHFFFAOYSA-N,C1=C(NC=N1)CC=O
rnam,JLEBZPBDRKPWTD-TURQNECASA-O,C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)N
ptdcal,XGQJZNCFDLXSIJ-UHFFFAOYSA-N,CCCCCCCCCCCCCCC=O
