reactions,metabolites,metabolitestotal,gpr,genes
2S6HCCi,akg_c,akg,BSU30820,BSU30820
2S6HCCi,ichor_c,ichor,BSU30820,BSU30820
26DPAi,23dhdp_c,23dhdp,BSU16730 and BSU16740,BSU16730
26DPAi,23dhdp_c,23dhdp,BSU16730 and BSU16740,BSU16740
3AMBAt2,3amba_e,3amba,BSU06310,BSU06310
FDH_num1,for_c,for,BSU36710 and BSU12160,BSU36710
FDH_num1,for_c,for,BSU36710 and BSU12160,BSU12160
FDMO_1,fmnRD_c,fmnRD,BSU08860,BSU08860
FDMO_1,mso3_c,mso3,BSU08860,BSU08860
ABTA,4abut_c,4abut,BSU03900,BSU03900
ABTA,akg_c,akg,BSU03900,BSU03900
FBP,fdp_c,fdp,BSU40190,BSU40190
FCLT_2,ppp9_c,ppp9,BSU10130,BSU10130
FDMO1,eths_c,eths,BSU08860,BSU08860
FDMO1,fmnRD_c,fmnRD,BSU08860,BSU08860
FDMO2_1,buts_c,buts,BSU08860,BSU08860
FDMO2_1,fmnRD_c,fmnRD,BSU08860,BSU08860
FDMO3_1,fmnRD_c,fmnRD,BSU08860,BSU08860
FDMO3_1,hexs_c,hexs,BSU08860,BSU08860
AB6PGH_num1,arbt6p_c,arbt6p,BSU38560,BSU38560
ABUTD_num1,4abutn_c,4abutn,BSU19310,BSU19310
MACCOAT,2maacoa_c,2maacoa,BSU32830,BSU32830
ACACT2r,accoa_c,accoa,BSU32830,BSU32830
ACACT2r,btcoa_c,btcoa,BSU32830,BSU32830
ACACT3r,accoa_c,accoa,BSU32830,BSU32830
ACACT3r,hxcoa_c,hxcoa,BSU32830,BSU32830
ACACT4r,accoa_c,accoa,BSU32830,BSU32830
ACACT4r,occoa_c,occoa,BSU32830,BSU32830
ACACT5r_1,accoa_c,accoa,BSU32830,BSU32830
ACACT5r_1,dccoa_c,dccoa,BSU32830,BSU32830
ACACT6r_1,accoa_c,accoa,BSU32830,BSU32830
ACACT6r_1,ddcoa_c,ddcoa,BSU32830,BSU32830
ACACT7r,accoa_c,accoa,BSU32830,BSU32830
ACACT7r,tdcoa_c,tdcoa,BSU32830,BSU32830
FDMO4_1,fmnRD_c,fmnRD,BSU08860,BSU08860
FDMO4_1,taur_c,taur,BSU08860,BSU08860
FDMO5_1,fmnRD_c,fmnRD,BSU08860,BSU08860
FDMO5_1,sula_c,sula,BSU08860,BSU08860
FDMO6_1,fmnRD_c,fmnRD,BSU08860,BSU08860
FDMO6_1,istnt_c,istnt,BSU08860,BSU08860
