reactions,data_type,kcat,MW,kcat_MW
UREA,DLkcat,198872.767,13643.426699999985,8297420.644325603
26DPAi,DLkcat,2688.8021,21869.11729999999,179863.85264203514
ASPTA_reverse,DLkcat,914.9785,43087.48710000007,38223.65635242621
APATi,DLkcat,414.0406,24960.428,14929.092562034593
ALLTN,DLkcat,356.0858,48330.52120000008,6630.948974744339
ASPTA,DLkcat,313.1683,43087.48710000007,13082.752741920729
ARGN_1,DLkcat,310.1346,32153.457399999985,17361.81192135189
CS_num2,DLkcat,295.8451,41728.072900000036,12761.700768596951
IG3PS_1,DLkcat,294.073,27293.85580000001,38787.586765223525
IPPMIa_reverse,DLkcat,293.1384,23021.5739,13993.613117615963
IPPMIb,DLkcat,293.1384,23021.5739,13993.613117615963
OIVD2,DLkcat,287.5732,50435.20070000006,769.521438667652
OCOAT1_reverse,DLkcat,284.1827,25398.822000000007,20994.63944133095
GLXO1_num2,DLkcat,281.0133,52820.45330000008,9576.289266718566
PDH,DLkcat,256.13,41547.79099999998,719.281261969075
GTHPe_reverse,DLkcat,252.2266,18255.7297,49738.67245635216
PSP_D,DLkcat,247.6326,22143.771800000013,20129.30245243946
PSP_L,DLkcat,247.6326,22143.771800000013,20129.30245243946
OIVD1r,DLkcat,241.919,50435.20070000006,647.3546802033003
PUNP1_reverse_num1,DLkcat,219.2568,29126.282700000003,9033.35872654975
PUNP2_reverse_num2,DLkcat,219.2568,29126.282700000003,9033.35872654975
SUCR,DLkcat,200.0165,66080.53150000017,5448.347521236252
OCOAT1,DLkcat,198.2929,25398.822000000007,14649.33628709944
ACTNabc,DLkcat,193.5299,36950.30600000002,3847.4374291477257
ACTNabc1,DLkcat,193.5299,36950.30600000002,3847.4374291477257
ALATA_L,DLkcat,188.1343,42309.932000000066,4001.917800293315
SUCD1_reverse,DLkcat,173.1767,65151.19610000011,5351.411176141405
METabc_num1,DLkcat,168.4246,30354.794700000028,6590.813373076339
METDabc_num2,DLkcat,168.4246,30354.794700000028,6590.813373076339
PGCD,DLkcat,166.9228,57128.79260000009,5259.362684307799
UPP3MT_2_num2,DLkcat,162.9432,28515.431200000035,20571.160782587052
ADPT,DLkcat,159.5276,18874.6917,15213.47657297099
MLTG4,DLkcat,156.7497,66080.53150000017,4269.78194023756
MLTG3,DLkcat,149.5024,66080.53150000017,4072.3691818368516
MLTG5,DLkcat,148.2185,66080.53150000017,4037.396400178762
TMPPP,DLkcat,140.9998,23680.683999999987,21435.161247876127
MLTG2,DLkcat,140.1895,66080.53150000017,3818.6905321728436
