,kcat_mw,flux,enz useage,enz ratio
GAPD,734.5388025047492,13.939409060478148,0.01897709013185593,0.08359951599936533
ENO,946.2281746010016,13.326510420001364,0.014083823307862068,0.06204327448397386
FBA_num1,478.2702717559981,6.618245692570828,0.013837878043875778,0.06095981517125893
NADH16pp,1295.6284956242823,16.459406040668128,0.012703800585010574,0.05596387922912147
RBFSa,0.0371367331187242,0.0003287110158282,0.008851371357230804,0.03899282536225024
KARA2,12.48404238841,0.1070628730017703,0.008575978010228953,0.037779638811581286
KARA1_reverse,38.284396657790666,0.3222130771039686,0.008416302860512757,0.03707622405512228
ACCOAC,113.14815929771412,0.8893409196873235,0.007859968073782801,0.03462541001666432
5DKGR_num1,404.5158369708164,2.1127855760432555,0.005222998416736108,0.023008803597956422
METS_num2,13.18003861893036,0.0568828516729148,0.004315833459790817,0.01901248220172166
PGK_reverse,3677.20376864746,13.939409060478148,0.0037907632912073585,0.016699397758622725
GND,769.2113447018627,2.844770893378895,0.0036982955503360327,0.016292050882537587
PFL_num3,580.5635665736229,1.8179167420027,0.0031312966342888224,0.013794258300831816
PGM_reverse_num2,4323.713430888406,13.326510420001364,0.0030821909529890204,0.013577933713608019
GHMT2r,127.10574050127326,0.3909442657509824,0.0030757404363421824,0.013549517340714459
GLNS,192.2199878653617,0.5772552373557347,0.0030030968359027604,0.013229501479747843
PPC,417.9175591999402,1.09070774024129,0.00260986339585572,0.011497195576456917
METAT,0.1287196860669879,0.0003309220764729,0.0025708738622985967,0.011325435516733906
PGI,2077.044031545716,5.04244353057785,0.002427701798322163,0.010694721578511732
ATPS4rpp_num2,12744.657385002283,30.00265457188247,0.002354135828491485,0.010370642416262047
ARGSS,50.50262132653552,0.1090023416971787,0.002158350177358136,0.009508150561049056
GTPCI,0.1159858271762847,0.0002465332618711,0.002125546438500617,0.009363640698240604
MCOATA,431.2704864151284,0.8893401826671086,0.002062140143323083,0.00908431781199596
