,fluxes,reduced_costs
ALATA_D2_num1,0.0,91.2574669345246
SHCHD2,0.00015169443895754223,-242.67970888857235
CPPPGO,0.00015169443895754223,-226.91143307268248
GTHOr,0.01779926766709888,-13.105072162330146
DHORD5,0.0,13.476879698959863
GLYCTO2,0.0003033888779144121,-10.018497077018056
GLYCTO3,0.0,4.738285019731848
GLYCTO4,0.0,-5.457678856508057
PFK_3,0.0,-3.968232648594835
TRPS2,0.0,15.51228316011003
G3PD5_num1,0.0,16.806349709055976
EX_acgam_e,0.0,502.5230687757312
EX_cellb_e,0.0,125.68261152280344
EX_chol_e,0.0,-2.0
LEUTAi_num1,0.0,-0.3423858552935428
SHK3Dr,0.2592539591078896,-3.881251185376641
G5SD,0.15037136414241928,-12.444798430279661
ALATA_L2_num1,0.0,75.64311900409666
MAN6PI,0.0,-5.201942248228711
APRAUR,0.00030338887791508446,-208.5086953494024
DB4PS,0.0006067777558301689,-114.52340369927228
RBFK,0.00015169443895754223,-318.1234956191233
ACP1_FMN_num1,0.0,659.5037303231725
RBFSb,0.00030338887791508446,-1922.3885980706982
EX_pi_e,0.0,2.0
EX_h_e,13.961934025280469,-2.0
DMATT,0.00018910786560626342,-221.5179945265793
GRTT,0.00018910786560626342,-221.5179945265795
UPP3S,0.00030338887791508446,-24.769459545705104
UPPDC1,0.00015169443895754223,-41.6893834637649
TMDPP,0.0,-11.134395876972809
EX_ade_e,0.0,670.1798040720937
EX_4abut_e,0.0,46.44247575989361
EX_ac_e,7.711579625177092,-2.0
EX_akg_e,0.0,99.4830978754726
EX_ala__L_e,0.0,57.54407390671834
EX_arg__L_e,0.0,534.1657391156735
EX_asp__L_e,0.0,82.13034138751462
EX_cytd_e,0.0,448.7640778105671
EX_dcyt_e,0.0,555.6942835491512
EX_fum_e,0.0,45.42298977706014
EX_glu__L_e,0.0,129.0945632223984
EX_gua_e,0.0,767.6769560616374
HCO3E_num1,0.0,-1.520228220557886
IMPC,0.0,21.19293469193235
IMPD,0.0,-72.39729627512497
ECOAH4_num1,0.0,-7.460729792008351
GLUTRS,0.0024271110233206757,-491.78695995572247
TMPPP,0.00015169443895754223,-944.599876757344
URIK1,0.0,42.484309550662374
URIK2,0.0,54.70906214875674
CYTDK1,0.0,36.96351898760673
CYTDK2,0.0,45.59097407126279
XPPT,0.16545441703482036,-21.17361518383384
HXPRT_num1,0.0,124.22597298916097
NDPK5_num1,0.0,-9.050245627159313
DHORTS,0.0,26.852819131055256
OMPDC,0.22502135396843131,-3.798639919425
CS,1.0884926300354758,-10.137120905774282
ICDHyr,1.0884926300354758,-8.814480293278848
ACALD_num1,0.0,3.6657457562873788
ACS,0.0,40.02696739722978
PPA_num1,0.0,-1.3927201379520806
PPCK,0.0,25.902267136720923
ME1,0.0,14.807191640820065
ALAR_num1,0.028353935446763567,-4.01012012578272
ALATA_L_num1,0.0,17.236138416833334
XYLK_num1,0.0,-12.497780833168349
RBK,0.16545441703482036,-5.208624047095782
GLYK,0.0,-7.35095618814114
PPM,0.0,10.893901697809
ASPTA_num1,0.0,27.251587201342225
FBP_num1,0.0,24.5607033154392
GLGC,0.0,90.94877848734927
PYK_num1,0.0,-3.3825335285706615
A5PISO_num1,0.0,-8.978832360477547
EX_met__L_e,0.0,787.0263872249083
EX_metsox_S__L_e,0.0,730.3792604252487
IPPMIb,0.0,14.63967277761914
ACHBS_num1,0.1976306441968421,-8.291665369805727
ACLS_num1,0.0,-3.5193201663857856
PSCVT,0.2592539591078896,-3.7979714694565008
ANS,0.03866711656351378,-40.48193604089869
ANPRT,0.03866711656351378,-20.633033803147065
CHORM_num1,0.0,-3.963027688028248
CHORS,0.2592539591078896,-5.053120609134902
IGPS,0.03866711656351378,-10.107899680723278
EX_crn_e,0.0,-2.0
EX_fe3_e,0.0,2.0
EX_glcn_e,0.0,47.45564358617714
EX_gln__L_e,0.0,144.86036881211004
EX_glyc_e,0.0,26.958029413638897
EX_man_e,0.0,61.19847292678699
EX_mn2_e,0.0,2.0
EX_rib__D_e,0.0,21.350325943011644
EX_sbt__D_e,0.0,46.63446462563563
ECOAH6_num1,0.0,-8.210568248388881
ENO,15.537603209567807,-2.325185195280209
FBA_num1,7.717733381167677,-2.737144681524228
MGSA,0.0,113.42318342718346
PPS,0.0,30.87691901188134
PGI,4.929235233597363,-2.0088265254214406
PGK,0.0,5.089480434419045
EDA,0.0,3.2643303701567774
PGL,5.070764766402637,-2.161629434433671
RPE,2.852773054064575,-2.364700121688621
TALA_num1,0.0,-2.051910216479108
TKT1_num1,0.0,-2.026793202464276
G6PDA,0.0,129.57012852675518
ALCD2x_num1,0.0,158.63667340067923
ALDD2y_num1,0.0,30.164217432911755
RMI,0.0,-17.957025954964806
EX_ura_e,0.0,275.94078939617447
EX_val__L_e,0.0,271.32962990477023
EX_xan_e,0.0,633.6309632463779
FMNAT,0.00015169443895754223,-318.1234956191228
NADDP_num1,0.0,82.65266670403321
NMNAT_num1,0.0,42.461996305657294
HMPK1_num1,0.0,-3.63940696153702
NDPK6_num1,0.01779926766709888,-9.056925583643192
NDPK8_num1,0.0,16.231894029754585
PYNP2r,0.0,8.533822954703357
DURIPP_num1,0.0,68.29005325439415
PTRCTA,0.0,218.89754728861934
CYSDS_num1,0.0,114.86186730117853
TRPAS2,0.0,97.19789221787198
NDP3_num1,0.0,26.788380749354143
CDPPH,0.0,28.742387494204294
NDP7,0.0,30.0046532357308
EX_co2_e,16.65442088194249,-2.0
PMDPHT_num1,0.0,-9.486642172724022
ILETA,0.0,84.07239104586432
VALTA,0.0,91.83262068001031
ORPT,0.0,29.215221296996077
RBFSa,0.0006067777558301689,-399.0174015067057
DHAD2,0.1976306441968421,-2.7723361622872744
G1PP_num1,0.0,40.669342192486255
PFL_num1,0.0,-6.890072672838869
FRD2,0.0,0.7836514794180403
FRD3,0.0,7.249467871020897
POX,0.0,81.25283515445312
PTAr_num1,0.0,-0.28416602027165183
ACKr_num1,0.0,4.144290948883338
EX_hxan_e,0.0,652.9899266833243
EX_ile__L_e,0.0,345.09319403231666
EX_lac__L_e,0.0,17.817178587895288
EX_leu__L_e,0.0,300.5411631047141
EX_no3_e,0.0,29.960994851760915
EX_orn_e,0.0,246.35369160648094
EX_pro__L_e,0.0,230.54895009441879
EX_pyr_e,0.0,14.946677025229292
EX_succ_e,0.0,41.521917279276906
EX_thymd_e,0.0,576.1020783309763
EX_tyr__L_e,0.0,277.25840032408547
MOAT,0.013234829615954897,-2.6565505029443557
UDCPDPS,3.741342664872118e-05,-334.8401080333206
USHD,0.013234829615954897,-5.873249035592181
LPADSS,0.013234829615954897,-3.335221892415859
TDSK,0.013234829615954897,-5.90352759512183
EX_btn_e,0.0,45226761.988603
EX_ptrc_e,0.0,269.8147916002865
EX_spmd_e,0.0,0.0
EX_thym_e,0.0,-2.0
EX_xtsn_e,0.0,683.2789475547273
NTPP1_num1,0.0,33.33121514268937
NTPP2_num1,0.0,61.881088145329855
NTPTP1,0.0,73.35483995722541
NTPTP2,0.0,125.44946097656168
IPMD_num1,0.0,-2.266761477893624
AIRC3,0.0,54.88947917227665
ADSL2r,0.3046092358679572,-13.258420714968679
EX_fe2_e,0.0,2.0
PUNP5_num1,0.0,-19.13406945993377
PUNP6_num1,0.0,-25.41682981004761
PUNP7,0.0,-14.745736662918842
RNDR1_num1,0.0,53.966229401350176
RNDR3_num1,0.0,12.761412926195845
RNDR4_num1,0.0,47.72254405211319
TMDS,0.01779926766709888,-8.747605726341135
TMDK1,0.0,42.081175928031826
PPCDC,0.00045848453747709907,-2848.4395063505126
FTHFD,0.0,73.55885339370798
EX_glc__D_e,0.0,67.58470437240153
